Motif_4_cliques,Motif_4_cliques_per_Cn4,Motif_4_cycles,Motif_4_cycles_per_Cn4,Motif_induced_connected_per_4set,Motif_square_clustering_proxy,Motif_triangle_edge_frac_ge2,Motif_triangle_edge_frac_zero,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_incidence_std,Motif_triangles,Motif_triangles_per_Cn3,Motif_wedges,Motif_wedges_per_max,Motif_5_cliques,Motif_5_cliques_per_Cn5,Motif_5_cycles,Motif_5_cycles_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_10_5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_1_5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_20_5,Motif_induced5_g_20_5_per_Cn5,Motif_induced5_g_2_5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5,Motif_induced5_g_9_5_per_Cn5,Motif_induced_connected_per_5set,Motif_induced_g_1_4,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4,Motif_induced_g_6_4_per_Cn4,sample_index
0.0,0.0,-0.17495604,0.0,0.0,0.0,0.0,0.09746549,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,-0.014404792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030349832,0.0,0.0,0.0,0.0,0.0,0.035053257,0.0,0.04792357,0.0,0.0,0.0,0.111517176,0.0,0.0,0.0,0.029223384,0.0,-0.026291903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,-0.36703587,0.0,0.045742515,0.0,0.09573728,0.0,1.4074438,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.046726346,0.0,0.0,0.0,0.0,0.14209048,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,-0.041606538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04442253,0.0,0.0,0.0,0.0,0.0,0.13721927,0.0,-0.01247136,0.0,0.0,0.0,0.1167866,0.0,0.0,0.0,-0.0060744695,0.0,-0.014003553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,0.009929914,-0.41679794,0.0,0.092878565,0.0,0.17786041,0.0,-0.20831998,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,-0.17692202,0.0,0.0,0.0,0.0,0.12093518,0.0,0.0,0.0,0.000932639,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052551804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106031716,0.0,0.0,0.0,0.0,0.0,0.057044916,0.0,-0.004507651,0.0,0.0,0.0,-0.29347074,0.0,0.0,0.0,-0.00935499,0.0,-0.04212607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,-0.1752521,-0.20155549,0.0,-0.0148417,0.0,-0.086844616,0.0,1.5670118,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,-0.17431676,0.0,0.0,0.0,0.0,0.09183763,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032860572,0.0,0.0,0.0,0.0,0.0,0.0,-0.03362225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030349832,0.0,0.0,0.0,0.0,0.0,0.035053257,0.0,0.04792357,0.0,0.0,0.0,0.10954198,0.0,0.0,0.0,0.01663058,0.0,0.04561744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009377207,0.0,0.060385052,-0.38330814,0.0,-0.013871196,0.0,0.08835407,0.0,1.1696038,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.038664334,0.0,0.0,0.0,0.0,0.0957452,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,0.00036929472,0.0,0.0,0.0,0.0,0.0,0.0,0.053867072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010855915,0.0,0.0,0.0,0.0,0.0,0.057044916,0.0,0.003940241,0.0,0.0,0.0,0.15115917,0.0,0.0,0.0,-0.0044623213,0.0,0.05616389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,-0.38330814,0.0,-0.013871196,0.0,0.12624827,0.0,1.048508,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.07461226,0.0,0.0,0.0,0.0,0.16343768,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,0.08389293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04442253,0.0,0.0,0.0,0.0,0.0,0.1446239,0.0,-0.01339224,0.0,0.0,0.0,0.2299526,0.0,0.0,0.0,-0.022954658,0.0,-0.097772434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007768915,0.0,-0.029614357,0.26175907,0.0,-0.0017105532,0.0,0.12474226,0.0,-0.26775113,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,-0.17692202,0.0,0.0,0.0,0.0,0.08296112,0.0,0.0,0.0,0.000932639,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,0.019802526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035119716,0.0,0.0,0.0,0.0,0.0,0.057044916,0.0,-0.004507651,0.0,0.0,0.0,-0.28137505,0.0,0.0,0.0,0.029223384,0.0,-0.031359397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,-0.1752521,-0.23057157,0.0,-0.0148417,0.0,0.045081962,0.0,1.5493764,0.0,0.0,0.0,0.0,0.0,6
0.0,0.0,-0.025437944,0.0,0.0,0.0,0.0,0.13346103,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,0.0825913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013074565,0.0,0.0,0.0,0.0,0.0,0.13721927,0.0,-0.026788477,0.0,0.0,0.0,0.17816085,0.0,0.0,0.0,-0.0044623213,0.0,0.09442208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,0.008792735,-0.44018573,0.0,-0.014717071,0.0,0.12550746,0.0,-0.23152457,0.0,0.0,0.0,0.0,0.0,7
0.0,0.0,-0.17603995,0.0,0.0,0.0,0.0,0.12388107,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,-0.025467131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356052,0.0,0.0,0.0,0.0,0.0,0.059114013,0.0,0.003940241,0.0,0.0,0.0,-0.50828093,0.0,0.0,0.0,-0.00178293,0.0,0.056380175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,0.13128415,0.0,-0.004424822,0.0,-0.086844616,0.0,1.5951862,0.0,0.0,0.0,0.0,0.0,8
0.0,0.0,-0.17603995,0.0,0.0,0.0,0.0,0.08715935,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,0.033928383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010855915,0.0,0.0,0.0,0.0,0.0,-0.18151668,0.0,-0.014787853,0.0,0.0,0.0,0.15071434,0.0,0.0,0.0,0.01663058,0.0,0.047321506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,-0.3773202,0.0,-0.013871196,0.0,0.0503435,0.0,1.6609001,0.0,0.0,0.0,0.0,0.0,9
