decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,72,0,0.00349034,0.012880391,0.008629065,72,0.0,0.0,0.0
2,72,0,0.012921872,0.027701134,0.019616516,72,0.0,0.0,0.0
3,71,3,0.027826216,0.05146989,0.039231647,68,0.04225352112676056,0.00411522633744856,0.00411522633744856
4,72,9,0.051497735,0.08802014,0.06898811,63,0.125,0.012345679012345678,0.01646090534979424
5,71,12,0.08855195,0.15988353,0.12244219,59,0.16901408450704225,0.01646090534979424,0.03292181069958848
6,72,24,0.1601615,0.23397546,0.19986033,48,0.3333333333333333,0.03292181069958848,0.06584362139917696
7,72,27,0.23399766,0.3325601,0.28853744,45,0.375,0.037037037037037035,0.102880658436214
8,71,32,0.33317056,0.41333064,0.37268513,39,0.4507042253521127,0.0438957475994513,0.1467764060356653
9,72,33,0.41401598,0.48283127,0.44627598,39,0.4583333333333333,0.04526748971193416,0.19204389574759945
10,71,38,0.48283288,0.5515793,0.51958954,33,0.5352112676056338,0.05212620027434842,0.24417009602194786
11,72,46,0.5534676,0.617482,0.585015,26,0.6388888888888888,0.06310013717421124,0.3072702331961591
12,72,52,0.61847174,0.6760217,0.64516145,20,0.7222222222222222,0.07133058984910837,0.37860082304526743
13,71,43,0.6775391,0.73689836,0.71013016,28,0.6056338028169014,0.05898491083676269,0.43758573388203015
14,72,48,0.7384164,0.7933504,0.7633674,24,0.6666666666666666,0.06584362139917696,0.5034293552812071
15,71,56,0.79439586,0.8400486,0.81584215,15,0.7887323943661971,0.07681755829903979,0.5802469135802469
16,72,51,0.84097266,0.878777,0.85860586,21,0.7083333333333334,0.06995884773662552,0.6502057613168725
17,72,53,0.87887347,0.9125169,0.89516735,19,0.7361111111111112,0.07270233196159122,0.7229080932784637
18,71,60,0.9126134,0.95300704,0.93249327,11,0.8450704225352113,0.0823045267489712,0.8052126200274349
19,72,72,0.95315504,0.97838676,0.9662429,0,1.0,0.09876543209876543,0.9039780521262003
20,71,70,0.9784404,0.99473274,0.9867404,1,0.9859154929577465,0.09602194787379972,1.0
