n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,timestamp
807,5,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.49987457909001454,4.592488919658672,0.9113651345988016,0.000362424634683403,1764637488.8240957
367,4,0.19875765715516736,0.6225646316108401,0.88879950890673,4.692763545078752,0.007787658410143285,0.9073991938817378,0.000390659420600581,1764637981.6086612
993,9,0.18737941654160148,0.6028265220878869,0.6092249700165663,2.623873301291946,3.998609717152556,0.9060815979133003,0.00038875219874074665,1764639997.254493
94,12,0.07750368872478823,0.6362425738131283,0.847354403733235,1.9123099563358141,9.832308858067885,0.9098235655740365,0.000345934406774619,1764640345.6456256
493,11,0.20728918619045614,0.7801997007878172,0.6053059844639466,4.711008778424265,5.632882178455394,0.9080722640956524,0.00033480851256557486,1764641611.7730784
416,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,3.049983288913105,8.331949117361646,0.8995735754188416,0.0004140417238424451,1764642105.3575473
215,7,0.06284846545853807,0.9021445641270611,0.7700623497964979,1.0397083143409445,5.677003278199916,0.9067591425140289,0.00034071051743812407,1764642522.5010343
80,11,0.14042869867723207,0.7580600944007259,0.9706635463175177,3.636359979282105,3.2654076880583545,0.9107459328190203,0.0004080839635302049,1764642794.5708559
592,8,0.2887398870613113,0.9378135394712607,0.8989280440549523,2.6984606619453992,5.8675116566384835,0.9099568300838593,0.0003982945507741103,1764643771.7003818
967,8,0.09003976278653758,0.718509402281633,0.666106775625201,0.07818203370596967,4.234014807063698,0.9127368246699963,0.00045005362265091874,1764645341.1829102
974,9,0.03743283477449994,0.9181922510322654,0.883012194250232,0.6624427892015229,0.7533312355974054,0.9139372741042017,0.0003757288152927598,1764647116.1838107
785,6,0.010651838908022742,0.7145937420946628,0.9662317237159788,0.42089913260718154,4.594457351304375,0.901488981110484,0.0004460143727193619,1764648407.5013678
61,3,0.29928281043478877,0.7385628520031438,0.7785032362364839,4.534997510114856,8.148873301606924,0.8942006707400882,0.0005215982568470058,1764648542.0565698
927,9,0.06946501110789509,0.9993664034591707,0.9223533885175551,2.971471462246133,7.6550688935014914,0.9144302776754543,0.00036894252625281816,1764650168.5516722
65,9,0.05389657256768092,0.6239990747870667,0.9817773687447312,4.054586203464105,6.274157486311301,0.9017841350943344,0.00042630660883697123,1764650390.6182745
902,12,0.13250448810711227,0.9971330638529508,0.8469768856162245,0.6299875971506342,0.8554513159219003,0.9119305825075109,0.0003977448372806451,1764652759.7654898
889,6,0.044069167962355556,0.9616060194863559,0.6391967077720329,1.1859221230273138,1.2243416409460983,0.9099627657985534,0.00041854602594503404,1764654282.3557224
91,8,0.293238987416178,0.6069295754018986,0.90310429186595,3.5983883336359734,7.39211100460854,0.9088153848789353,0.0004318719082455832,1764654511.968015
975,8,0.22601333080029423,0.9037132448979607,0.9995727661004029,0.09115847530571598,6.965382169194716,0.9104244099082879,0.000402147311045642,1764656145.3183055
965,12,0.18844653741111195,0.9749779249411844,0.7470589586913712,3.1680917096106493,9.741774011139322,0.9108655069613336,0.00043130272646645736,1764658824.6396117
