"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","FGRAPH_EIGEN1","FGRAPH_EIGEN2","FGRAPH_EIGEN3","FGRAPH_EIGEN4","FGRAPH_EIGEN5","FGRAPH_EIGEN6","FGRAPH_EIGEN7","FGRAPH_EIGEN8","FGRAPH_EIGEN9","FGRAPH_EIGEN10","FGRAPH_EIGEN11"
1,-2.2360679774997907,-2.22580021572915,-1.7320508075688774,-1.7320508075688765,-1.0000000000000004,-0.999999999999999,-0.7258601557039951,1.7320508075688754,1.732050807568878,2.2360679774997907,4.951660371433146,-3.1170843138736393,-2.9746931930049225,-2.208823701401384,-1.8090224549498741,-0.774300000401838,-0.7624530733982191,-0.10639953962916644,2.4367559559196517,2.5495902693192085,2.766430051420177,4.000000000000003
0,-2.2360679774997907,-2.22580021572915,-1.7320508075688774,-1.7320508075688765,-1.0000000000000004,-0.999999999999999,-0.7258601557039951,1.7320508075688754,1.732050807568878,2.2360679774997907,4.951660371433146,-3.10324021849737,-2.7619971973018105,-1.9999999999999998,-1.868882830309787,-1.135502122935115,-0.6604713745029953,-0.4464025754676956,2.4733429196084784,2.572814341833132,2.930339057573164,3.999999999999999
1,-2.2360679774997907,-2.22580021572915,-1.7320508075688774,-1.7320508075688765,-1.0000000000000004,-0.999999999999999,-0.7258601557039951,1.7320508075688754,1.732050807568878,2.2360679774997907,4.951660371433146,-3.40906650420927,-2.859975916490961,-2.5712014225481217,-1.2200705347189245,-1.,-0.2859239286197552,-0.14327732183964387,2.049886910348178,2.7144787443877654,2.7251499736907334,4.
1,-2.2360679774997907,-2.22580021572915,-1.7320508075688774,-1.7320508075688765,-1.0000000000000004,-0.999999999999999,-0.7258601557039951,1.7320508075688754,1.732050807568878,2.2360679774997907,4.951660371433146,-3.407683768683046,-2.8052997977092056,-2.0830014421871192,-1.3470709337799869,-1.0000000000000004,-0.9999999999999987,-0.1594776525831497,2.430873860720787,2.650162863453315,2.721496870768405,3.999999999999996
1,-2.2360679774997907,-2.22580021572915,-1.7320508075688774,-1.7320508075688765,-1.0000000000000004,-0.999999999999999,-0.7258601557039951,1.7320508075688754,1.732050807568878,2.2360679774997907,4.951660371433146,-2.999999999999999,-2.9254229177777082,-2.5181986993263403,-1.5615528128088303,-1.178194080020756,-0.5519294302312638,7.875644580934704e-16,2.4773523480089703,2.561552812808831,2.6963927793470983,4.000000000000002
0,-2.2360679774997907,-2.22580021572915,-1.7320508075688774,-1.7320508075688765,-1.0000000000000004,-0.999999999999999,-0.7258601557039951,1.7320508075688754,1.732050807568878,2.2360679774997907,4.951660371433146,-3.,-2.5181986993263408,-2.0000000000000004,-1.56155281280883,-1.4728339089952562,-1.178194080020757,-0.4625984229747764,2.5615528128088294,2.6963927793470965,2.9354323319700333,4.0000000000000036
0,-2.2360679774997907,-2.22580021572915,-1.7320508075688774,-1.7320508075688765,-1.0000000000000004,-0.999999999999999,-0.7258601557039951,1.7320508075688754,1.732050807568878,2.2360679774997907,4.951660371433146,-2.948820556449356,-2.69027630421477,-2.221754598082345,-1.5516410936874308,-1.4393782514336135,-0.9155459795835174,-0.2587569204977917,2.2494258752683254,2.8687103264631086,2.908037502217392,4.
1,-2.4728339089952525,-2.065541370996918,-1.7688644836490013,-1.4625984229747746,-1.,-0.9999999999999994,-0.6863910231749292,1.459032091208827,1.9354323319700286,2.291832545116636,4.769932241495385,-3.063418932538824,-2.8133687990861898,-2.36790949496686,-1.2416950920838927,-0.9999999999999987,-0.5202856366231932,-0.3366206806376048,2.097501929149338,2.556183091019796,2.6896136157674295,4.
0,-2.4728339089952525,-2.065541370996918,-1.7688644836490013,-1.4625984229747746,-1.,-0.9999999999999994,-0.6863910231749292,1.459032091208827,1.9354323319700286,2.291832545116636,4.769932241495385,-3.0618710443626043,-2.4964453502260384,-2.184877117387926,-1.5566230569412447,-1.193591973260511,-0.552861155788928,-0.460784850229539,1.965061129853024,2.63872377432344,2.9032696440203285,3.999999999999999
0,-2.4728339089952525,-2.065541370996918,-1.7688644836490013,-1.4625984229747746,-1.,-0.9999999999999994,-0.6863910231749292,1.459032091208827,1.9354323319700286,2.291832545116636,4.769932241495385,-3.0409050014247767,-2.5898339070946688,-2.4413844147087382,-1.4631665511164538,-0.9601946406073177,-0.6267647107820667,-0.2212254870631799,1.8373284518281694,2.601258672780787,2.904887588188246,3.9999999999999987
1,-2.3966679225525374,-2.000000000000001,-1.8552503762744967,-1.7664390312640197,-1.532088886237956,-0.4503403335994656,-0.34729635533386016,1.3341257718205863,1.8793852415718146,2.107839813332694,5.026732078537241,-3.990844088565531,-2.6227778358377547,-2.0629853230247344,-1.5890648165753098,-1.2231879741462153,-0.4198362418547459,0.10645534535694898,2.275030581205142,2.3903833066068345,3.1368270468353616,4.000000000000001
1,-2.3966679225525374,-2.000000000000001,-1.8552503762744967,-1.7664390312640197,-1.532088886237956,-0.4503403335994656,-0.34729635533386016,1.3341257718205863,1.8793852415718146,2.107839813332694,5.026732078537241,-3.3969896633547436,-2.5116498743425826,-1.9556356937978914,-1.77222289576562,-1.455886780102867,-0.580644092858294,-0.16214720864702836,2.390256884515515,2.433630662603336,3.011288661750177,4.000000000000001
1,-2.360938541604449,-2.0000000000000013,-2.,-1.566155344968527,-1.532088886237958,-0.3472963553338614,-0.3393613302204317,1.1592682540315828,1.8793852415718177,2.277269780450591,4.8299171823112355,-3.8253468607981453,-2.793604493334843,-1.9396257412968216,-1.284079043840409,-0.957386213893506,-0.442463484164949,-0.2736389121789972,2.2400161984437292,2.5201470213402017,2.755981529723739,4.000000000000001
1,-2.3379987399677584,-1.9999999999999991,-1.856406178417135,-1.7364526766583617,-1.499008804868059,-0.4882383321392958,-0.3375159098913412,1.3122827869413722,2.025563666903548,2.0950441964674105,4.822729991629618,-3.2535458180158265,-2.420239196659465,-2.,-1.7349561103235334,-1.2779978639705023,-0.43018724212096343,-0.2769147817870187,1.9633488124104566,2.5541150860745,2.8763771143923536,3.999999999999998
0,-2.3164401709691673,-2.2281724339207476,-1.8068447549220528,-1.6419555072131207,-1.0926071704213094,-0.5164892622160877,-0.3354390489467702,1.329460632079813,1.8714321965295133,2.3264401527561613,4.410615367243763,-2.814518562121187,-2.1968597944660972,-1.8820752379363983,-1.5787158152377945,-1.3226258366369243,-0.46334079409265766,-0.3458768645064165,1.6624287747032624,2.1872514239345264,2.7543327063596847,3.9999999999999996
1,-2.2734612171759947,-2.247940971793001,-1.8610293571013152,-1.6052474294721362,-1.4378287795591482,-0.4288326713887401,-0.32665684844882303,1.27194572162005,1.922828019318337,2.1401226681238863,4.846100865876889,-3.440020713626275,-2.186263157626361,-2.18362867872638,-1.621587835259449,-1.4295670563765348,-0.35893826405681223,0.12895024415416473,1.5903909398071752,2.4842454909487515,3.0164190307617225,4.
0,-2.400417722495225,-2.101764501169933,-1.7699667068145348,-1.606908593805909,-1.4315640030865164,-0.3896690597852816,-0.33225213948660387,1.1548620215121612,1.9933744921400254,2.2610624579789134,4.623243755012898,-3.251741362299547,-2.1963637833342675,-1.9461119626671473,-1.5340648593516617,-1.182512899148274,-0.47479039890447716,-0.34328139335474667,1.6446726211448346,2.478464290639923,2.805729747275367,3.999999999999998
1,-2.4334652675627506,-2.2734612171759965,-1.9525094728004344,-1.4378287795591504,-1.2809767792270668,-0.4571967282612473,-0.42883267138874004,1.2497589705911583,1.820792501055876,2.1401226681238836,5.053596776204469,-3.9341875915171185,-2.951196141626483,-1.672329244115218,-1.624937117920123,-1.1377008292174062,-0.4454667219321218,-0.05480501950305435,2.250546688349137,2.396539192560281,3.1735367849221077,4.
