"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","DEN_EIGEN12","DEN_EIGEN13"
1,-2.45101212815377,-2.2360679774997894,-1.999999999999995,-1.9099283366029207,-1.1697995204717675,-1.0000000000000004,-0.9999999999999993,-0.41421356237309637,-0.1915442391620561,2.2360679774997907,2.4142135623730927,2.6115909203873997,5.11069330400311
1,-2.3614687661858267,-2.2974720565342843,-1.9999999999999991,-1.9667211345910338,-1.1249661072437551,-1.0000000000000018,-0.9999999999999998,-0.22206015147828928,-0.16744919110853923,2.119400051699253,2.524591733002483,2.5289179572943663,4.967227665145622
1,-2.3864823416616296,-2.325391285251512,-1.9999999999999998,-1.912159229329394,-1.2854395099895013,-1.000000000000001,-0.6830311630870665,-0.17977826812412262,-0.11558306993946091,2.0946820962391457,2.279393803466943,2.6928228253514437,4.820966142325155
1,-2.386482341661631,-2.3071140276467514,-1.9999999999999978,-1.8571626603557274,-1.3566108868405813,-1.2854395099895004,-0.6458109648494039,-0.3103732555778743,-0.1155830699394593,2.0946820962391484,2.3383441353736036,2.69282282535144,5.138727659896736
1,-2.612266437034481,-2.112235980532991,-2.,-1.8028249530829443,-1.2887773620130092,-1.116781681556098,-0.6584947939566609,-0.4018598887451475,-0.11332918764846267,1.970475265853402,2.4555631331304535,2.7132347465907403,4.967297138995199
1,-2.6334241864649672,-2.195533650426871,-1.9386918983506607,-1.796519364543317,-1.302061722962536,-1.2003814642073793,-0.8701986559932495,-0.24166688298076286,0.023757276387639827,1.9959424829744898,2.277782971665316,2.6997147190789135,5.181280375823382
1,-2.528734069552738,-2.163397107905162,-2.09135438050726,-1.8395043473449726,-1.2687645984072382,-0.9999999999999997,-0.9999999999999991,-0.12918427674149316,0.07804701595940826,1.8216947835004658,2.4458044276694695,2.658972932639439,5.016419620690082
0,-2.6114244282237893,-2.106590623886196,-1.9143141594088044,-1.7519372206910135,-1.3286927760157126,-1.1121874753049728,-0.7108443901351792,-0.2827134985232493,0.06144561619712656,1.5324515584447658,2.6474508935266616,2.7042663930965234,4.873090110923837
1,-2.8014860275630538,-2.1680473160167724,-1.8973049372453052,-1.6160305804250445,-1.298590798411607,-0.9999999999999997,-0.8373669329965224,-0.34757438031326615,0.024418478132373817,1.7158825867662935,2.4458487904910093,2.763533957285308,5.016717160296587
1,-2.520297851300255,-2.254995516762786,-2.040449099004116,-1.716312167737847,-1.3700735091412213,-1.243411695820766,-0.6384864155046203,-0.24743988570274011,0.04821576230330002,2.1310838558078817,2.2522414654667644,2.5618180916925253,5.0381069657038795
