decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,9,1,0.26050788,0.3372189,0.3045666,8,0.1111111111111111,0.009345794392523364,0.009345794392523364
2,8,2,0.36677662,0.38392156,0.37483698,6,0.25,0.018691588785046728,0.02803738317757009
3,8,2,0.39302716,0.4348291,0.40649858,6,0.25,0.018691588785046728,0.046728971962616814
4,8,4,0.43608,0.4695904,0.45865914,4,0.5,0.037383177570093455,0.08411214953271026
5,8,4,0.47598055,0.51564324,0.4878327,4,0.5,0.037383177570093455,0.12149532710280372
6,9,6,0.51634526,0.5664599,0.54202396,3,0.6666666666666666,0.056074766355140186,0.17757009345794392
7,8,5,0.5726758,0.616498,0.5986521,3,0.625,0.04672897196261682,0.22429906542056074
8,8,3,0.6203909,0.6339189,0.62646794,5,0.375,0.028037383177570093,0.2523364485981308
9,8,7,0.6498921,0.6929181,0.66680014,1,0.875,0.06542056074766354,0.3177570093457944
10,8,8,0.6961413,0.71814436,0.70592064,0,1.0,0.07476635514018691,0.3925233644859813
11,9,6,0.7183892,0.74983567,0.7369845,3,0.6666666666666666,0.056074766355140186,0.4485981308411215
12,8,5,0.75221187,0.7770804,0.76429164,3,0.625,0.04672897196261682,0.4953271028037383
13,8,6,0.78023374,0.78748024,0.78349936,2,0.75,0.056074766355140186,0.5514018691588785
14,8,7,0.7878083,0.7934394,0.7905984,1,0.875,0.06542056074766354,0.616822429906542
15,8,6,0.79426533,0.80141133,0.7986274,2,0.75,0.056074766355140186,0.6728971962616822
16,9,6,0.806429,0.81912416,0.81353176,3,0.6666666666666666,0.056074766355140186,0.7289719626168224
17,8,7,0.82045186,0.8249555,0.822883,1,0.875,0.06542056074766354,0.794392523364486
18,8,7,0.8258248,0.8339098,0.8297528,1,0.875,0.06542056074766354,0.8598130841121495
19,8,8,0.8351455,0.8571399,0.8457806,0,1.0,0.07476635514018691,0.9345794392523364
20,8,7,0.85804164,0.879717,0.8676085,1,0.875,0.06542056074766354,1.0
