n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,timestamp
807,5,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.49987457909001454,4.592488919658672,0.8641221902684834,0.014573650657687547,1762072658.0707355
367,4,0.19875765715516736,0.6225646316108401,0.88879950890673,4.692763545078752,0.007787658410143285,0.8543565788409456,0.012363566554819024,1762072659.2218862
993,9,0.18737941654160148,0.6028265220878869,0.6092249700165663,2.623873301291946,3.998609717152556,0.866068641991616,0.014432244734174381,1762072661.535533
94,12,0.07750368872478823,0.6362425738131283,0.847354403733235,1.9123099563358141,9.832308858067885,0.8591176197511438,0.014105374037130324,1762072662.8133411
493,11,0.20728918619045614,0.7801997007878172,0.6053059844639466,4.711008778424265,5.632882178455394,0.8593484093403188,0.016007139960860305,1762072664.4446847
416,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,3.049983288913105,8.331949117361646,0.8605129173348954,0.01826866719967114,1762072665.6402056
215,7,0.06284846545853807,0.9021445641270611,0.7700623497964979,1.0397083143409445,5.677003278199916,0.8748380936108953,0.014271161509650975,1762072667.5282679
80,11,0.14042869867723207,0.7580600944007259,0.9706635463175177,3.636359979282105,3.2654076880583545,0.8580300304525673,0.017924446914883645,1762072668.6282668
592,8,0.2887398870613113,0.9378135394712607,0.8989280440549523,2.6984606619453992,5.8675116566384835,0.8637113773337756,0.01800935599638654,1762072670.2422214
967,8,0.09003976278653758,0.718509402281633,0.666106775625201,0.07818203370596967,4.234014807063698,0.8703647129260451,0.012448728885079476,1762072673.8050299
1000,12,0.01,1.0,0.6,0.0,1.923842162921712,0.8788909579852202,0.01406690025273539,1762072683.8626845
126,12,0.015034203279663542,0.9750518549625417,0.601707651014943,4.718752918400457,3.053728866313538,0.83936361169459,0.00555921782377325,1762072685.5984094
59,8,0.01,1.0,0.7701255210406366,1.20904146757463,0.0,0.8491940311436487,0.009308822963690575,1762072686.8312955
1000,7,0.15048990229681414,0.7584776632532599,0.8003350201714632,0.0,0.0,0.8632809590333285,0.013934237402287069,1762072689.034993
50,5,0.2917250405818303,0.8412831994349413,1.0,0.0,6.052622416610996,0.8586788213712604,0.018738615266266495,1762072689.7827573
458,12,0.25173357397441554,0.6092847959720971,0.6470168773260184,0.03351262338885638,7.255272896908371,0.8618350674976872,0.015433935693247355,1762072691.7908669
600,8,0.01,0.820600110753312,0.7797945796352695,0.0,6.462093314320826,0.8710215297689043,0.015094480110967009,1762072697.8369346
458,3,0.012540341176142302,0.7849749400941626,0.8520058972264495,0.21413824878373128,3.496701405350054,0.8542944963792409,0.010167546713854513,1762072699.3764877
1000,12,0.1823181005325237,1.0,0.7481050702697889,3.9917075872613146,3.796491521720475,0.8657170782764508,0.016296978251563735,1762072701.2518306
211,6,0.1674110312875535,0.9906478805904628,0.6,0.0,7.731770694285921,0.8726885075179028,0.015840546319224998,1762072702.7822068
