Spectral_algebraic_connectivity,Spectral_algebraic_connectivity_over_avgdeg,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Spectral_laplacian_heat_trace_t0.1,Spectral_laplacian_heat_trace_t0.1_per_node,Spectral_laplacian_heat_trace_t1.0,Spectral_laplacian_heat_trace_t1.0_per_node,Spectral_laplacian_heat_trace_t5.0,Spectral_laplacian_heat_trace_t5.0_per_node,Spectral_laplacian_mean,Spectral_laplacian_skew,Spectral_laplacian_std,Spectral_spectral_gap,Spectral_spectral_gap_rel,Spectral_adjacency_energy,Spectral_adjacency_estrada_index,Spectral_adjacency_moment_2,Spectral_adjacency_moment_3,Spectral_adjacency_moment_4,Spectral_kirchhoff_index,Spectral_laplacian_heat_trace_t0.5,Spectral_laplacian_heat_trace_t2.0,sample_index
-0.028810523,0.6186098,0.076927006,-0.0011189629,0.10122173,0.19542825,0.36988905,-0.0028936411,-0.09543982,-0.13403746,-0.20429814,0.012906648,-0.011663626,-0.0046750866,-0.35693553,-0.07322024,-0.07623271,-0.026890224,-0.0007419485,-0.03408528,0.031697154,0.0010807543,0.083162,0.25846365,0.034795914,-4.45804e-05,0.24989714,0.33021054,-0.07025554,0.12557511,-0.015390402,0
-0.2718579,-0.5399683,-0.186481,0.04113143,0.002343126,-0.21082082,-0.11259756,0.22637141,0.072661236,-0.3069945,-0.699491,-0.14599973,-0.06829063,-0.018392602,-0.19514686,0.024262903,-0.124971904,-0.008000598,-0.0014288732,0.315611,0.10672315,-0.0017613635,-0.24452682,-0.3328437,0.9092825,-4.34262e-05,0.20836586,-1.0363855,-0.08190908,-0.08825447,0.15914133,1
-0.06866419,-0.1303858,0.3426328,0.013470274,-0.063920766,-0.15677842,0.08034663,-0.091882035,0.017050104,0.24381758,0.07946093,-0.17626327,0.032183617,0.021621628,-0.28861666,-0.035825912,-0.11567453,-0.04618762,-0.0010303414,-0.04514624,-0.07847155,-0.0021234474,0.016134769,0.18812369,1.5168194,-4.2990276e-05,0.37763116,1.9792714,-0.032723784,-0.13692564,-0.1656325,2
0.17128655,0.7067435,-0.25721374,0.021188876,-0.038314648,-0.1782106,-0.0014123023,-0.08642377,-0.62102866,-0.15294696,0.6277301,0.12793514,-0.012694427,-0.03455113,-0.17141503,-0.089237325,0.13329566,0.06663079,-0.00035270394,0.0075448,-0.0132413795,0.001775888,0.13970178,-0.40840593,-0.27994162,-4.457625e-05,-0.72607726,0.008166361,-0.12495381,-0.08400703,-0.14528584,3
-0.017181002,-0.02250034,-0.061705053,-0.012811628,-0.48329613,0.12061119,-0.061976347,0.120472535,0.49903885,0.34765255,0.29376537,-0.014295911,0.053220075,-0.04125236,-0.08567898,-0.035291262,-0.1343209,-0.035627335,-0.00031842344,-0.10935349,-0.07202278,0.00096601545,0.084914915,-0.322836,-0.2070275,-4.121664e-05,-0.36681637,-1.0849599,0.35079402,-0.11582862,-0.007918333,4
0.16633104,0.6526292,0.20443277,-0.019906668,0.21801558,-0.05906895,-0.09555454,0.3275459,0.31297725,0.19098692,-0.41959894,0.55447376,-0.024928598,0.047936462,-0.012357901,0.03691367,-0.041820917,-0.004261202,-0.0003138713,0.44165647,0.030353667,4.3983724e-05,0.1892372,1.2469162,1.4782512,-4.414673e-05,0.1466261,0.5096467,-0.0861888,0.12025794,-0.10876233,5
-0.53242683,-6.83509,-0.13941658,-0.15864354,-0.23442043,-0.64581627,-0.50982255,0.4666875,-1.0714355,-0.81020004,-0.91243654,-0.13849162,-0.1580858,-0.0064643724,-0.37856457,-0.12931177,-0.29111814,-0.025458176,-0.00013273404,0.99186444,0.040707614,-0.0051916763,-1.2750038,0.60597724,0.8752159,-4.4524073e-05,0.1869204,0.27181602,-0.7007688,-0.13788088,-0.37987256,6
0.21746364,0.5684827,0.026560085,-0.035051584,-0.21797544,-0.1682587,-0.53512394,-0.32613465,-0.028302936,0.40240872,0.3874854,0.13648584,0.016297817,0.020835523,-0.106522895,-0.019464877,0.065966636,0.023648487,-0.0009584107,-0.13897961,0.02673652,0.0009853994,0.12379142,-0.11758985,-0.06507832,-4.552948e-05,-0.3244606,-0.8221515,0.1985813,-0.077573806,0.18375398,7
-0.34941354,-1.4215984,-0.09709938,-0.008070375,-0.72815776,-0.09634618,-0.07676469,0.110091,-0.4312062,0.37729797,-0.31220284,-0.07799539,0.06456117,-0.019372812,0.0143461935,-0.08033344,-0.21988083,-0.05882024,-0.00935225,-0.13878372,0.18142462,-0.001980851,-0.39867058,-0.4013966,0.34218937,-4.4650944e-05,-0.33125246,-1.1607555,-0.16138913,0.0046944926,-0.09794576,8
0.02193893,0.49194345,0.05723068,-0.02585921,-0.11151755,0.34627312,-0.22215769,-0.008485264,0.10789478,0.0917499,0.30307853,-0.1680023,0.088865116,-0.006345784,-0.12774016,-0.037507176,-0.1785543,-0.050823484,-0.00021175863,0.06403725,0.061917208,0.0009937559,0.10237735,-0.24967787,0.14616175,-4.2826203e-05,-0.18356895,-0.95984006,0.31125274,0.020755561,-0.091160305,9
