n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,timestamp
807,5,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.49987457909001454,4.592488919658672,0.8938527971938608,0.0019652721839542955,1762095921.933067
367,4,0.19875765715516736,0.6225646316108401,0.88879950890673,4.692763545078752,0.007787658410143285,0.88882055623309,0.0013847778530028491,1762095936.1254277
993,9,0.18737941654160148,0.6028265220878869,0.6092249700165663,2.623873301291946,3.998609717152556,0.8926394545071122,0.0019418864685802149,1762096026.8365707
94,12,0.07750368872478823,0.6362425738131283,0.847354403733235,1.9123099563358141,9.832308858067885,0.8892763902778217,0.0018359894775705453,1762096042.8646793
493,11,0.20728918619045614,0.7801997007878172,0.6053059844639466,4.711008778424265,5.632882178455394,0.8945250422227901,0.0018627763151977579,1762096105.9523416
416,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,3.049983288913105,8.331949117361646,0.8796318808699107,0.0013529308287783314,1762096119.5167613
215,7,0.06284846545853807,0.9021445641270611,0.7700623497964979,1.0397083143409445,5.677003278199916,0.886631475850258,0.0015088270912324967,1762096132.238223
80,11,0.14042869867723207,0.7580600944007259,0.9706635463175177,3.636359979282105,3.2654076880583545,0.8918121128344418,0.0018155251800850128,1762096145.3822477
592,8,0.2887398870613113,0.9378135394712607,0.8989280440549523,2.6984606619453992,5.8675116566384835,0.8948647564814809,0.001983982228867969,1762096191.949855
967,8,0.09003976278653758,0.718509402281633,0.666106775625201,0.07818203370596967,4.234014807063698,0.8973810082532392,0.0017209961965879985,1762096255.8324184
1000,4,0.012092076238421769,0.6764761427623569,0.61407847777329,0.2809447412381156,4.782197833203707,0.8769521653077013,0.001266659571892657,1762096289.0208359
990,10,0.019437085165015827,0.9058766323675408,0.6623541278180844,1.4002815703683733,8.401556540904178,0.8960008576375558,0.001699560785694315,1762096383.5395353
93,12,0.29532883806779686,0.8934037369522205,0.8225261354819269,3.3056178821872613,1.3929841233240312,0.891389459566591,0.0013594586166674923,1762096402.5143673
910,3,0.2993792382128923,0.9728073388708044,0.8456818052458019,0.6134006036595148,2.8596726440818077,0.8910390898692331,0.0015186894413087857,1762096428.7403624
68,6,0.2984286221197596,0.8728285071802805,0.7053640736358293,3.925540505471986,0.4992118474770436,0.885965376326505,0.0013124746888845498,1762096433.8460157
972,12,0.13681576226043995,0.9963391328890048,0.8079260349590591,3.7302038302742204,4.3629703259833175,0.8989081478446256,0.0017369812753020059,1762096580.3255317
978,9,0.16363593675623198,0.9983219106767489,0.8296081128399668,0.9311866227822947,2.1364358385165243,0.8989873370347515,0.0020191711984425273,1762096663.6090674
885,12,0.29987198103633667,0.9858470974818659,0.7906667228838685,3.372207828646382,2.8544100330899043,0.8950222885058974,0.0018599324210987597,1762096770.5420792
998,11,0.031470407003635834,0.62200317713864,0.7955524121692122,0.4147030860909435,0.05280246672280887,0.8988536184639317,0.0017115742804195066,1762096905.4450147
993,12,0.11356681985020299,0.6062375795342438,0.8662175602959166,3.74448466036252,7.732138318615339,0.895645323196503,0.0015024154303764179,1762097070.3614023
