decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,2,1,0.7101189,0.71354795,0.7118334,1,0.5,0.041666666666666664,0.041666666666666664
2,2,1,0.734241,0.734241,0.734241,1,0.5,0.041666666666666664,0.08333333333333333
3,1,1,0.7353882,0.7353882,0.7353882,0,1.0,0.041666666666666664,0.125
4,2,2,0.7359195,0.7418892,0.73890436,0,1.0,0.08333333333333333,0.20833333333333331
5,1,1,0.74466676,0.74466676,0.74466676,0,1.0,0.041666666666666664,0.24999999999999997
6,2,2,0.77592736,0.7762282,0.77607775,0,1.0,0.08333333333333333,0.3333333333333333
7,1,1,0.7875016,0.7875016,0.7875016,0,1.0,0.041666666666666664,0.375
8,2,2,0.7923276,0.79282725,0.7925774,0,1.0,0.08333333333333333,0.4583333333333333
9,1,0,0.79613835,0.79613835,0.79613835,1,0.0,0.0,0.4583333333333333
10,2,1,0.79624605,0.79864436,0.7974452,1,0.5,0.041666666666666664,0.5
11,1,1,0.803904,0.803904,0.803904,0,1.0,0.041666666666666664,0.5416666666666666
12,3,3,0.8042115,0.8042115,0.80421144,0,1.0,0.125,0.6666666666666666
13,1,1,0.80818194,0.80818194,0.80818194,0,1.0,0.041666666666666664,0.7083333333333333
14,1,0,0.8089885,0.8089885,0.8089885,1,0.0,0.0,0.7083333333333333
15,2,2,0.8090943,0.824976,0.8170352,0,1.0,0.08333333333333333,0.7916666666666666
16,1,1,0.82577026,0.82577026,0.82577026,0,1.0,0.041666666666666664,0.8333333333333333
17,2,1,0.8309289,0.84085286,0.8358909,1,0.5,0.041666666666666664,0.8749999999999999
19,4,3,0.8432149,0.8432149,0.8432149,1,0.75,0.125,0.9999999999999999
