"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","DEN_EIGEN12","FGRAPH_EIGEN1","FGRAPH_EIGEN2","FGRAPH_EIGEN3","FGRAPH_EIGEN4","FGRAPH_EIGEN5","FGRAPH_EIGEN6","FGRAPH_EIGEN7","FGRAPH_EIGEN8","FGRAPH_EIGEN9","FGRAPH_EIGEN10","FGRAPH_EIGEN11","FGRAPH_EIGEN12"
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.305578622963984,-2.828427124746191,-2.0000000000000004,-1.9999999999999998,-1.667741600526078,-0.7320508075688769,-0.22673875389757916,-1.3322677463736704e-15,2.7320508075688776,2.828427124746191,3.2000589773876404,4.
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.2633376966527496,-2.5521046203129543,-2.4452806096275777,-1.9999999999999998,-1.2872919336747042,-0.8402522772039622,-0.3974332567803654,-0.0717712722725663,2.6177065732964993,3.0423545175623117,3.1974105756660673,4.000000000000001
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.0430584296741205,-2.0000000000000004,-2.,-1.9999999999999991,-1.5384445650378105,-1.2360679774997907,-1.2360679774997894,-0.29684178463434663,2.8783447793462793,3.2360679774997894,3.2360679774997894,4.000000000000001
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.0634466902107738,-2.6675033627724978,-2.0000000000000004,-2.,-1.5114070682622502,-1.2360679774997896,-0.536404931281719,-0.035763308734714394,2.80236509508502,3.012160266176938,3.2360679774997907,3.9999999999999996
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.1695889318293866,-2.7426156179958316,-2.,-1.7919966095149418,-1.59135224165622,-1.3580321439498706,-0.3484351918652569,0.09251149839042372,2.567287903494328,3.096806914803784,3.245414420122972,4.000000000000003
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.197715377901232,-3.082080941708692,-2.0000000000000004,-1.9464051092398302,-1.410178603105632,-0.6523816991424147,-0.3980257185273263,-0.11336860492259151,2.749529935201298,2.890285263341648,3.1603408560047708,4.000000000000002
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.2485377884165807,-2.622844130241185,-2.0000000000000004,-1.9999999999999996,-1.4720957271228399,-1.2360679774997898,-0.3227465574850716,8.8817841955397455e-16,2.484248679452893,3.181975523812783,3.236067977499789,4.0000000000000036
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.4650284661396697,-2.514694199050892,-2.,-1.8340351761795919,-1.406081538501401,-1.3355410694484824,-0.4036045650042394,0.09027807804744399,2.6928857896120846,2.9260364315111445,3.2497847151536083,3.9999999999999996
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.5873097525902637,-2.661293391142493,-2.402339789724227,-1.8490600716169368,-1.400357653038117,-0.5538015745988545,-0.200759542676287,0.16590452570677314,2.2660360211984427,2.999077912495742,3.2239033159862176,4.000000000000001
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.597379350363969,-2.8518414637631597,-2.418239163869576,-1.642663448591268,-1.4882872906511648,-0.5286457622773015,-1.8680043955409886e-16,0.1817295118422688,2.1561497086719954,2.9361461142430465,3.25303114475913,4.000000000000001
1,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.5173688927012132,-2.6733740832565025,-2.4247935959024973,-1.84090066456328,-1.3619438954949183,-0.8543287329869812,-0.18978968900480941,0.29764130088605417,2.7087531967110876,2.8307346993632305,3.0253703569498285,4.
1,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.5298904632347776,-2.890347241286929,-1.9999999999999996,-1.906415837840503,-1.495910462699572,-0.7758169699401224,-0.18848044069799783,0.20138255771963537,2.6529974031598735,2.9606921162069857,2.971789338613404,3.9999999999999996
