threshold,precision,recall,f1,balanced_accuracy
0.01,0.514846619832625,1.0,0.6797300179274453,0.5113829787234042
0.02,0.5290387793743541,1.0,0.6919846714593364,0.5384042553191489
0.03,0.5408042888359491,1.0,0.7019749785053289,0.5597365754812563
0.04,0.5548158512759752,1.0,0.7136671997761506,0.5839057750759878
0.05,0.5634091684950088,1.0,0.720733903146754,0.5981256332320163
0.060000000000000005,0.5706888376911136,0.9986301369863014,0.7262690397317769,0.609517702738338
0.06999999999999999,0.577203493194911,0.9972508266414739,0.7311293203987382,0.6194866088627835
0.08,0.5833293009634828,0.9958715162966463,0.7356524201008625,0.6287564268413323
0.09,0.5883163012219663,0.9931317902692488,0.73886092538761,0.6359377289745434
0.09999999999999999,0.5947776508792229,0.9917619272555502,0.7435422763449857,0.6452072047625269
0.11,0.5998517308432283,0.9876428908833255,0.746285995434503,0.6516887200110648
0.12,0.6033589449820395,0.9849031648559283,0.7481668537113518,0.6559976817187442
0.13,0.6072885489798642,0.978044402456306,0.7491661703837716,0.660395048239298
0.14,0.6104112153300977,0.9739159187529524,0.7503250855849333,0.6640248286773881
0.15000000000000002,0.6122671105266042,0.9725460557392538,0.7512987663703788,0.6661818424592927
0.16,0.6171718223106002,0.9711761927255551,0.7545817764612207,0.6726093729585221
0.17,0.6200606289121716,0.9656778460085027,0.7550870115627983,0.6755542218897631
0.18000000000000002,0.6228813810771451,0.9656778460085027,0.7571420433723325,0.6791003211805432
0.19,0.6278283997481928,0.9629381199811053,0.7599114951638903,0.6848479860290532
0.2,0.6304119997690851,0.9601794992914503,0.760959615639599,0.6877341265454211
0.21000000000000002,0.6324970076060754,0.9547000472366557,0.7607442956542391,0.6892699830914788
0.22,0.63189670777944,0.9478223901747758,0.7581390025009718,0.6872597259891103
0.23,0.6354982682182546,0.9437033538025508,0.759429561914732,0.6908942300927647
0.24000000000000002,0.6398355459270642,0.9423240434577231,0.7620782788264613,0.6958884654978585
0.25,0.6406379279514891,0.9382144544166273,0.7612866367521671,0.695971462264038
0.26,0.6467981045621277,0.9313367973547472,0.7632867632264283,0.7017727553136451
0.27,0.6491329645849782,0.9230987246102975,0.7620525728657952,0.7026233238046421
0.28,0.6523679713154648,0.9203589985829004,0.763324964012107,0.7055138457960094
0.29000000000000004,0.654207158548668,0.9121398205007086,0.7617283268707389,0.7056747734722387
0.3,0.6546865805017328,0.9039111950873879,0.7591477438024811,0.7044125377665915
0.31,0.6549222960643022,0.8915635333018423,0.7548919216301788,0.701800003732988
0.32,0.6551830509892765,0.8847142182333491,0.7526894654641925,0.7005131374854688
0.33,0.6589812926560382,0.8806046291922532,0.7536814657381371,0.7034380795404023
0.34,0.6643628314061797,0.8723760037789324,0.7541782930339707,0.707160646266366
0.35000000000000003,0.6657351546988008,0.8668965517241378,0.7530010501934423,0.7072628655277224
0.36000000000000004,0.6712841803632854,0.8600472366556448,0.7538331376762114,0.7109405382872955
0.37,0.6749468664098144,0.8545583372697214,0.7539766251643922,0.713175825169815
0.38,0.6754147918221026,0.8422106754841758,0.7493661567898943,0.7105582252800817
0.39,0.6789223029965801,0.8353519130845536,0.7487368212419686,0.7121187123680114
0.4,0.6801493945018988,0.8257439773264054,0.7456216003636094,0.710881107204236
0.41000000000000003,0.685268434873306,0.8216154936230516,0.7469917268592321,0.7145108876423262
0.42000000000000004,0.6876334291877982,0.8106376948512046,0.7438897404378076,0.7139966589757543
0.43,0.6923505186565247,0.8065186584789797,0.744879929331723,0.7169219432212527
0.44,0.6963492750987628,0.8024090694378838,0.7454330399946776,0.7191325995619003
0.45,0.6960763348130253,0.7955503070382617,0.7422841149874797,0.717126723934531
0.46,0.6968490104373212,0.7886915446386396,0.7397158562430661,0.7158351340214474
0.47000000000000003,0.7061585926842422,0.780444024563061,0.741156206276078,0.7209768248448537
0.48000000000000004,0.7093974019481,0.7667264997638167,0.7367330920445674,0.7198070188788688
0.49,0.7088376666343745,0.7612376003778933,0.7338745214986487,0.7177768549001928
0.5,0.710872137770496,0.754378837978271,0.7316759023093485,0.7171894189891356
0.51,0.7114996354934091,0.7502692489371753,0.7300633560195107,0.7165530641848997
0.52,0.7125589344309056,0.7338119981105338,0.7227044521662215,0.7126000213450338
0.53,0.7146817765623502,0.7173736419461502,0.7155479530272653,0.7093555139821937
0.54,0.7144611902789417,0.703656117146906,0.7086256967782115,0.7053437627274551
0.55,0.7144483105334862,0.6871988663202645,0.7002328280214039,0.7006663024610441
0.56,0.7165563220293102,0.6762210675484177,0.6953984941241492,0.6987437657904195
0.5700000000000001,0.7242144623329821,0.6679735474728389,0.6945399117846305,0.7017274019025795
0.5800000000000001,0.7260612519650221,0.657005196032121,0.689509361030125,0.6997943913291305
0.59,0.7316698749804738,0.6501558809636278,0.6882068391630165,0.701349470370365
0.6,0.733786914342867,0.6405668398677374,0.6836199446259981,0.699407026823433
0.61,0.7338643569218741,0.6254983467170525,0.6750225310416056,0.6947147255368444
0.62,0.7444284355742771,0.6144922059518187,0.6730487449649226,0.6977425568766187
0.63,0.7460392041267502,0.6048842701936703,0.6679273973866597,0.6957754684301685
0.64,0.752272286454232,0.5966556447803496,0.6653325184127468,0.6966307605867299
0.65,0.7653141606082782,0.5870382616910723,0.6642417110318308,0.7003580366206121
0.66,0.7738985442692079,0.5788096362777515,0.6619837955038229,0.7019377462037187
0.67,0.7777361311222408,0.5664808691544639,0.655313588970394,0.6993346595012442
0.68,0.7819807621161672,0.5500425129900803,0.6457150799895095,0.6953809322802479
0.6900000000000001,0.7872642648975482,0.5376854038734058,0.6389082439505281,0.6934678285831061
0.7000000000000001,0.7905378529911405,0.5239489844119036,0.6301449560096033,0.6901457181431352
0.7100000000000001,0.7975134752869412,0.5143504959848842,0.625290315113786,0.6896119247908212
0.72,0.8037161970268931,0.5061218705715635,0.6210534350231806,0.6890589089433299
0.73,0.8052718385279996,0.49514407179971665,0.6131261989342007,0.685702734988004
0.74,0.8169192324204353,0.4910344827586207,0.6133500011946218,0.6886124794745483
0.75,0.8197344611448084,0.4759565422768068,0.602177183372311,0.6839154545223953
0.76,0.8306171868654906,0.46085025980160604,0.592619209351169,0.6820512697184322
0.77,0.8346550745330674,0.4526216343882853,0.58679476614793,0.6800747482984992
0.78,0.8409205885134444,0.43754369390647146,0.5754866313754603,0.6760869432045021
0.79,0.8457144862074439,0.43069437883797823,0.5705982141682995,0.6747950111008534
0.8,0.8459289960177042,0.410108644307983,0.552218249660584,0.6666399351225831
0.81,0.8476870796273781,0.3922815304676429,0.5360647931824756,0.6598591036330109
0.8200000000000001,0.8559263854425145,0.3785829003306566,0.5245015187815907,0.6565660195675573
0.8300000000000001,0.8687640928339657,0.36350495984884273,0.5121862011653069,0.6532975660439756
0.8400000000000001,0.8727677453653685,0.3470477090222012,0.4962505376255069,0.6472067319173822
0.85,0.8807302563249149,0.33333963155408597,0.4830137568620375,0.643199704328208
0.86,0.8873117143956799,0.31275389702409073,0.4615779373529777,0.635753848208094
0.87,0.9076117165426973,0.28941898913556924,0.43804594201374636,0.6297702848413409
