decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,72,0,0.0014938561,0.004751638,0.0032116512,72,0.0,0.0,0.0
2,72,0,0.0047784615,0.013519189,0.008567766,72,0.0,0.0,0.0
3,71,1,0.013559216,0.02776503,0.020450398,70,0.014084507042253521,0.0013717421124828531,0.0013717421124828531
4,72,5,0.027840763,0.055401366,0.040239718,67,0.06944444444444445,0.006858710562414266,0.008230452674897118
5,71,11,0.056338802,0.10263746,0.0771467,60,0.15492957746478872,0.015089163237311385,0.023319615912208505
6,72,13,0.10306941,0.19528034,0.14241745,59,0.18055555555555555,0.01783264746227709,0.0411522633744856
7,72,26,0.1953576,0.29839042,0.24638176,46,0.3611111111111111,0.03566529492455418,0.07681755829903977
8,71,25,0.2992952,0.38565016,0.34309635,46,0.352112676056338,0.03429355281207133,0.1111111111111111
9,72,39,0.38594696,0.48107696,0.43797317,33,0.5416666666666666,0.053497942386831275,0.1646090534979424
10,71,41,0.48303834,0.5692411,0.525783,30,0.5774647887323944,0.056241426611796985,0.22085048010973937
11,72,43,0.5696759,0.67761606,0.6242612,29,0.5972222222222222,0.05898491083676269,0.27983539094650206
12,72,44,0.67770433,0.733664,0.70685554,28,0.6111111111111112,0.06035665294924554,0.3401920438957476
13,71,51,0.73595333,0.8024483,0.76724327,20,0.7183098591549296,0.06995884773662552,0.4101508916323731
14,72,55,0.8031354,0.8519488,0.8258434,17,0.7638888888888888,0.07544581618655692,0.48559670781893005
15,71,52,0.8525525,0.88659275,0.86852753,19,0.7323943661971831,0.07133058984910837,0.5569272976680384
16,72,57,0.8873761,0.91795963,0.9038883,15,0.7916666666666666,0.07818930041152264,0.635116598079561
17,72,66,0.9179678,0.95090055,0.9356339,6,0.9166666666666666,0.09053497942386832,0.7256515775034293
18,71,60,0.9509764,0.97290695,0.9619292,11,0.8450704225352113,0.0823045267489712,0.8079561042524005
19,72,69,0.97322965,0.9893467,0.9820976,3,0.9583333333333334,0.09465020576131687,0.9026063100137174
20,71,71,0.9893742,0.9968118,0.99335724,0,1.0,0.09739368998628258,1.0
