n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,timestamp
807,5,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.49987457909001454,4.592488919658672,0.8649121480865454,0.016439100011768376,1764616778.7245224
367,4,0.19875765715516736,0.6225646316108401,0.88879950890673,4.692763545078752,0.007787658410143285,0.861111576857686,0.019606778645596516,1764616781.3144677
993,9,0.18737941654160148,0.6028265220878869,0.6092249700165663,2.623873301291946,3.998609717152556,0.864103793673522,0.015662643241935024,1764616786.4653203
94,12,0.07750368872478823,0.6362425738131283,0.847354403733235,1.9123099563358141,9.832308858067885,0.8505510899773945,0.028416530960379684,1764616788.966917
493,11,0.20728918619045614,0.7801997007878172,0.6053059844639466,4.711008778424265,5.632882178455394,0.8628063494671672,0.01958537625170275,1764616792.2997763
416,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,3.049983288913105,8.331949117361646,0.8619208581063937,0.021462900890201645,1764616795.1794643
215,7,0.06284846545853807,0.9021445641270611,0.7700623497964979,1.0397083143409445,5.677003278199916,0.8692154135661918,0.022856223969026705,1764616799.200656
80,11,0.14042869867723207,0.7580600944007259,0.9706635463175177,3.636359979282105,3.2654076880583545,0.8596472277087169,0.02099707357475018,1764616801.5272217
592,8,0.2887398870613113,0.9378135394712607,0.8989280440549523,2.6984606619453992,5.8675116566384835,0.8653382130533489,0.021716553135274423,1764616805.2323105
967,8,0.09003976278653758,0.718509402281633,0.666106775625201,0.07818203370596967,4.234014807063698,0.8705891517189961,0.017563004782174207,1764616812.8433475
68,3,0.2999924217221748,0.9936437344595641,0.7201005677448753,4.980667988955683,8.929311829585881,0.8570068777728223,0.02041819371730299,1764616814.1614778
790,8,0.12046847045797172,0.9483268097450934,0.7870351910940058,4.971705489341206,0.40215455626777646,0.8647134792275164,0.02256012047092152,1764616818.3869262
339,3,0.11184804370071631,0.6124869534590813,0.907922315287392,0.01784311734472244,1.270027367784229,0.8690475957602903,0.018496435333099366,1764616821.0152373
828,11,0.0366444414459401,0.6395466251256989,0.696093177467166,0.05083319070551315,0.06972597044694469,0.8756554125527272,0.018156252776669934,1764616828.3612468
958,10,0.27111982830789516,0.7404053580175074,0.9488256430350843,0.10103894878018439,8.270808440643584,0.868071190668078,0.01788795713044804,1764616835.2869473
831,10,0.01,0.8246902807399907,0.9980464139001665,0.4752403684324647,2.5046086082018433,0.8722522908211037,0.02223766354880675,1764616854.6768517
969,6,0.12923397817233484,0.750493126410478,0.9797663535105116,2.0605465439700934,0.09995758164348391,0.8661785083664852,0.018980103454364936,1764616860.3839772
858,3,0.21301462841715255,0.6249950781441236,0.9407387348471745,0.03977380291867839,9.285815409078769,0.8606695228109631,0.014145195150392004,1764616865.341043
220,10,0.2886874082639857,0.7722288805519064,0.7971866978661426,0.14686035999479766,0.040743558809666076,0.8605167672492969,0.022072511011179945,1764616867.6579082
734,4,0.01,0.7924246013658844,0.6,0.0,0.0,0.8744496412447281,0.026156533923874285,1764616872.783516
