n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,timestamp
807,5,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.49987457909001454,4.592488919658672,0.7372549019607842,0.06797385620915031,1764609153.79161
367,4,0.19875765715516736,0.6225646316108401,0.88879950890673,4.692763545078752,0.007787658410143285,0.7775163398692809,0.05760777046613176,1764609154.084963
993,9,0.18737941654160148,0.6028265220878869,0.6092249700165663,2.623873301291946,3.998609717152556,0.7801307189542482,0.048717325056804324,1764609154.568042
94,12,0.07750368872478823,0.6362425738131283,0.847354403733235,1.9123099563358141,9.832308858067885,0.7806535947712419,0.05445444752711145,1764609154.792845
493,11,0.20728918619045614,0.7801997007878172,0.6053059844639466,4.711008778424265,5.632882178455394,0.7843137254901962,0.03986392335157357,1764609155.1074219
416,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,3.049983288913105,8.331949117361646,0.7844444444444445,0.05413469467211733,1764609155.467663
215,7,0.06284846545853807,0.9021445641270611,0.7700623497964979,1.0397083143409445,5.677003278199916,0.7660130718954248,0.05186100503235914,1764609155.7977788
80,11,0.14042869867723207,0.7580600944007259,0.9706635463175177,3.636359979282105,3.2654076880583545,0.7840522875816993,0.08404893314035404,1764609156.037693
592,8,0.2887398870613113,0.9378135394712607,0.8989280440549523,2.6984606619453992,5.8675116566384835,0.7620915032679738,0.05205832091958137,1764609156.413806
967,8,0.09003976278653758,0.718509402281633,0.666106775625201,0.07818203370596967,4.234014807063698,0.7500653594771242,0.07829792568927584,1764609157.011776
1000,12,0.01,0.6,0.6,3.8660611786404613,0.0,0.7922875816993464,0.06306888136656837,1764609157.728607
180,11,0.01,0.7519486427516933,0.6684053606887532,5.0,5.860238047959268,0.75359477124183,0.045263502465832085,1764609158.0893362
1000,12,0.01,0.9510100896221703,0.9988919165796388,2.7063963820382595,2.621001155732854,0.7567320261437909,0.06833538848445679,1764609159.2136471
504,6,0.2985420828832036,0.8026252415574088,0.8608089573487171,4.080422956527016,0.35964353272406546,0.7688888888888888,0.07194246826913363,1764609159.640471
117,12,0.14969417292762768,0.8886999089839057,0.9586697887027593,4.12039181573734,4.592401908905367,0.76,0.0650691591449211,1764609159.965431
384,11,0.01,0.7026164779163809,0.9341691958361651,0.18411610229516956,9.051278992917242,0.7781699346405228,0.053616447075352396,1764609160.5409448
806,11,0.12308702213628686,0.6082667425903079,0.6,5.0,1.1995234190404147,0.7790849673202614,0.035414946886651144,1764609161.016937
225,4,0.3,0.8466768935790838,0.6,2.3772518676061156,0.5120977532053145,0.7475816993464053,0.0831216329302645,1764609161.2995698
868,6,0.09942451528662186,0.6732749778371128,1.0,2.652161142426249,7.3988414085271135,0.7773856209150327,0.059908084579421685,1764609161.911467
762,12,0.3,0.7748248898644123,1.0,3.657293109984534,8.592020057503712,0.775032679738562,0.06532862016701908,1764609162.380182
