decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,2,1,0.112450264,0.16354486,0.13799757,1,0.5,0.041666666666666664,0.041666666666666664
2,2,1,0.21039186,0.2284204,0.21940613,1,0.5,0.041666666666666664,0.08333333333333333
3,1,0,0.2602492,0.2602492,0.2602492,1,0.0,0.0,0.08333333333333333
4,2,1,0.2756405,0.6302949,0.4529677,1,0.5,0.041666666666666664,0.125
5,1,1,0.6519758,0.6519758,0.6519758,0,1.0,0.041666666666666664,0.16666666666666666
6,2,2,0.7237486,0.77071947,0.74723405,0,1.0,0.08333333333333333,0.25
7,1,1,0.78524226,0.78524226,0.78524226,0,1.0,0.041666666666666664,0.2916666666666667
8,2,1,0.83125216,0.8476229,0.8394375,1,0.5,0.041666666666666664,0.33333333333333337
9,1,1,0.8998959,0.8998959,0.8998959,0,1.0,0.041666666666666664,0.37500000000000006
10,2,2,0.90698117,0.93971556,0.92334837,0,1.0,0.08333333333333333,0.45833333333333337
11,1,1,0.9410022,0.9410022,0.9410022,0,1.0,0.041666666666666664,0.5
12,2,1,0.95573366,0.95573366,0.95573366,1,0.5,0.041666666666666664,0.5416666666666666
13,2,2,0.961346,0.9675483,0.96444714,0,1.0,0.08333333333333333,0.625
14,1,1,0.9705103,0.9705103,0.9705103,0,1.0,0.041666666666666664,0.6666666666666666
15,2,2,0.9720181,0.97390294,0.97296053,0,1.0,0.08333333333333333,0.75
16,1,1,0.9800642,0.9800642,0.9800642,0,1.0,0.041666666666666664,0.7916666666666666
17,2,1,0.9833928,0.9834661,0.98342943,1,0.5,0.041666666666666664,0.8333333333333333
18,1,1,0.9846405,0.9846405,0.9846405,0,1.0,0.041666666666666664,0.8749999999999999
19,2,2,0.99137044,0.9915604,0.99146545,0,1.0,0.08333333333333333,0.9583333333333333
20,1,1,0.9932753,0.9932753,0.9932753,0,1.0,0.041666666666666664,0.9999999999999999
