decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,72,0,0.0028112931,0.011362732,0.00816916,72,0.0,0.0,0.0
2,72,2,0.01139699,0.023596773,0.016420936,70,0.027777777777777776,0.0027434842249657062,0.0027434842249657062
3,71,2,0.023610504,0.054723445,0.037071973,69,0.028169014084507043,0.0027434842249657062,0.0054869684499314125
4,72,6,0.054749638,0.1034425,0.07563194,66,0.08333333333333333,0.00823045267489712,0.013717421124828533
5,71,11,0.104136586,0.1712551,0.13207482,60,0.15492957746478872,0.015089163237311385,0.02880658436213992
6,72,24,0.17365155,0.23575462,0.20347169,48,0.3333333333333333,0.03292181069958848,0.0617283950617284
7,72,33,0.23776759,0.31124607,0.27593794,39,0.4583333333333333,0.04526748971193416,0.10699588477366256
8,71,26,0.3119716,0.38224158,0.34986693,45,0.36619718309859156,0.03566529492455418,0.14266117969821673
9,72,32,0.38228524,0.44962808,0.41647875,40,0.4444444444444444,0.0438957475994513,0.18655692729766804
10,71,44,0.45167834,0.51333445,0.48077968,27,0.6197183098591549,0.06035665294924554,0.24691358024691357
11,72,47,0.5177002,0.591557,0.5525069,25,0.6527777777777778,0.0644718792866941,0.31138545953360763
12,72,50,0.59354466,0.661745,0.63185525,22,0.6944444444444444,0.06858710562414266,0.3799725651577503
13,71,48,0.6619555,0.7110813,0.6857873,23,0.676056338028169,0.06584362139917696,0.44581618655692723
14,72,48,0.7114496,0.7767231,0.742126,24,0.6666666666666666,0.06584362139917696,0.5116598079561042
15,71,44,0.77679634,0.82509094,0.79906654,27,0.6197183098591549,0.06035665294924554,0.5720164609053497
16,72,58,0.82511145,0.8719189,0.84878635,14,0.8055555555555556,0.07956104252400549,0.6515775034293553
17,72,50,0.8728187,0.9138244,0.89379215,22,0.6944444444444444,0.06858710562414266,0.7201646090534979
18,71,64,0.9143489,0.96862185,0.9432848,7,0.9014084507042254,0.0877914951989026,0.8079561042524005
19,72,70,0.9689539,0.98820215,0.9800137,2,0.9722222222222222,0.09602194787379972,0.9039780521262002
20,71,70,0.9882195,0.9952218,0.9916663,1,0.9859154929577465,0.09602194787379972,0.9999999999999999
