feature,importance,mean_signed_shap
Spectral_lap_eig_1,2.5863311,-1.1784437
Motif_triangle_edge_frac_ge2,0.4896478,-0.18926322
Motif_5_cycles,0.48107353,0.21420494
Motif_induced_g_4_4,0.34024784,0.06082684
Motif_induced_g_1_4,0.30834535,0.09869767
Motif_triangle_edge_frac_zero,0.29387057,-0.043154597
Motif_4_cycles,0.28351945,-0.14800118
Motif_triangle_edge_incidence_std,0.22432685,-0.026263168
Spectral_lap_eig_6,0.22184551,-0.025017995
Spectral_lap_eig_7,0.21999545,-0.011437015
Motif_induced_connected_per_4set,0.21372095,0.019666301
Spectral_lap_eig_2,0.20057632,0.027231485
Spectral_lap_eig_8,0.17582789,-0.027749361
Spectral_lap_eig_9,0.1710915,-0.036594454
Motif_induced_g_3_4,0.13986142,-0.030979343
Motif_5_cycles_per_Cn5,0.12799594,0.058117926
Spectral_lap_eig_3,0.11243661,-0.01469341
Spectral_lap_eig_4,0.11150196,-0.02402868
Motif_induced_g_2_4,0.10940297,0.007373127
Spectral_lap_eig_5,0.10906661,-0.004730966
Motif_induced_g_4_4_per_Cn4,0.098585024,0.021626871
Motif_induced_g_5_4,0.097345665,-0.049593605
Motif_4_cycles_per_Cn4,0.074812904,-0.029903393
Motif_induced5_g_15_5,0.059929945,-0.0008542589
Motif_induced_g_1_4_per_Cn4,0.056596022,0.02046032
Motif_induced5_g_16_5,0.055686433,0.0069435714
Motif_induced5_g_4_5,0.049178608,0.00032055232
Spectral_lap_eig_0,0.048021365,-0.0032467975
Motif_induced_g_3_4_per_Cn4,0.042650804,0.000302605
Motif_induced_g_5_4_per_Cn4,0.040040284,-0.016550018
Motif_induced5_g_6_5,0.038916234,-0.0065198075
Motif_induced_connected_per_5set,0.036376864,-0.010616489
Motif_induced5_g_2_5,0.035199348,-0.00013904666
Motif_induced5_g_8_5,0.03299766,-0.002640104
Motif_induced5_g_9_5,0.03243363,0.002135927
Motif_induced5_g_5_5,0.03234247,-0.0031970565
Motif_5_cycles_per_Kn,0.030823782,0.007749896
Motif_induced5_g_1_5,0.030649923,-0.00096980727
Motif_wedges,0.030572448,0.011453205
Motif_induced5_g_3_5,0.029858423,-0.0015072022
Motif_induced_g_2_4_per_Cn4,0.029753711,0.0028112615
Motif_induced5_g_7_5,0.02875547,-0.0017566062
Motif_induced5_g_10_5,0.028629154,0.0006745251
Motif_induced5_g_11_5,0.027203482,0.00040769135
Motif_triangle_edge_incidence_mean,0.025525339,-0.01535456
Motif_induced5_g_18_5,0.025271017,-0.0086525325
Motif_induced5_g_4_5_per_Cn5,0.013824521,-8.719901e-05
Motif_induced5_g_16_5_per_Cn5,0.013581859,0.00080717925
Motif_induced5_g_1_5_per_Cn5,0.011004531,-0.00018602249
Motif_induced5_g_8_5_per_Cn5,0.010900911,0.00038290353
Motif_induced5_g_2_5_per_Cn5,0.009937589,-0.00035602646
Motif_induced5_g_5_5_per_Cn5,0.00990575,-0.0005135091
Motif_induced5_g_7_5_per_Cn5,0.009451412,-0.0005111606
Motif_induced5_g_6_5_per_Cn5,0.009416105,-0.0010186911
Motif_induced5_g_9_5_per_Cn5,0.009115929,-0.0007046905
Motif_wedges_per_max,0.008832505,0.0015680891
Motif_induced5_g_0_5,0.008638337,-0.0016127216
Motif_induced5_g_11_5_per_Cn5,0.008584456,-0.00027799606
Motif_induced5_g_15_5_per_Cn5,0.007920459,-0.00013613072
Motif_induced5_g_10_5_per_Cn5,0.0077251005,0.00011492252
Motif_induced5_g_3_5_per_Cn5,0.00566582,-6.0378028e-05
Motif_triangles,0.004755633,-0.003112425
Motif_triangle_edge_incidence_median,0.0042889994,-0.0012642395
Motif_induced5_g_18_5_per_Cn5,0.0033584626,-0.00083506195
Motif_triangles_per_Cn3,0.002695793,-0.0006481355
Motif_induced5_g_12_5,0.002082406,-4.6953723e-05
Motif_induced5_g_0_5_per_Cn5,0.00090634584,2.28767e-05
Motif_induced5_g_12_5_per_Cn5,0.00053676334,1.5267222e-05
Motif_square_clustering_proxy,0.0,0.0
Motif_triangle_edge_incidence_q90,0.0,0.0
Motif_4_cliques_per_Cn4,0.0,0.0
Motif_4_cliques,0.0,0.0
Motif_induced5_g_13_5,0.0,0.0
Motif_induced5_g_13_5_per_Cn5,0.0,0.0
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5,0.0,0.0
Motif_induced5_g_14_5,0.0,0.0
Motif_induced5_g_14_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_induced_g_6_4,0.0,0.0
Motif_induced_g_6_4_per_Cn4,0.0,0.0
