threshold,precision,recall,f1,balanced_accuracy
0.01,0.7761904761904762,1.0,0.8721212121212121,0.5
0.02,0.7761904761904762,1.0,0.8721212121212121,0.5
0.03,0.7761904761904762,1.0,0.8721212121212121,0.5
0.04,0.7761904761904762,1.0,0.8721212121212121,0.5
0.05,0.7761904761904762,1.0,0.8721212121212121,0.5
0.060000000000000005,0.7761904761904762,1.0,0.8721212121212121,0.5
0.06999999999999999,0.7761904761904762,1.0,0.8721212121212121,0.5
0.08,0.7761904761904762,1.0,0.8721212121212121,0.5
0.09,0.7761904761904762,1.0,0.8721212121212121,0.5
0.09999999999999999,0.7761904761904762,1.0,0.8721212121212121,0.5
0.11,0.7761904761904762,1.0,0.8721212121212121,0.5
0.12,0.7761904761904762,1.0,0.8721212121212121,0.5
0.13,0.7761904761904762,1.0,0.8721212121212121,0.5
0.14,0.7761904761904762,1.0,0.8721212121212121,0.5
0.15000000000000002,0.7761904761904762,1.0,0.8721212121212121,0.5
0.16,0.7695238095238095,0.96,0.8503030303030303,0.48
0.17,0.7695238095238095,0.96,0.8503030303030303,0.48
0.18000000000000002,0.7695238095238095,0.96,0.8503030303030303,0.48
0.19,0.7695238095238095,0.96,0.8503030303030303,0.48
0.2,0.7695238095238095,0.96,0.8503030303030303,0.48
0.21000000000000002,0.7695238095238095,0.96,0.8503030303030303,0.48
0.22,0.7695238095238095,0.96,0.8503030303030303,0.48
0.23,0.7695238095238095,0.96,0.8503030303030303,0.48
0.24000000000000002,0.7695238095238095,0.96,0.8503030303030303,0.48
0.25,0.7933333333333333,0.96,0.8654545454545455,0.53
0.26,0.7933333333333333,0.96,0.8654545454545455,0.53
0.27,0.7933333333333333,0.96,0.8654545454545455,0.53
0.28,0.7933333333333333,0.96,0.8654545454545455,0.53
0.29000000000000004,0.8266666666666668,0.96,0.8836363636363636,0.58
0.3,0.8266666666666668,0.96,0.8836363636363636,0.58
0.31,0.8266666666666668,0.9199999999999999,0.8614141414141414,0.5599999999999999
0.32,0.8266666666666668,0.9199999999999999,0.8614141414141414,0.5599999999999999
0.33,0.8266666666666668,0.9199999999999999,0.8614141414141414,0.5599999999999999
0.34,0.8266666666666668,0.9199999999999999,0.8614141414141414,0.5599999999999999
0.35000000000000003,0.8266666666666668,0.9199999999999999,0.8614141414141414,0.5599999999999999
0.36000000000000004,0.8266666666666668,0.9199999999999999,0.8614141414141414,0.5599999999999999
0.37,0.8266666666666668,0.8800000000000001,0.8336363636363636,0.54
0.38,0.8266666666666668,0.8800000000000001,0.8336363636363636,0.54
0.39,0.8266666666666668,0.8800000000000001,0.8336363636363636,0.54
0.4,0.8266666666666668,0.8800000000000001,0.8336363636363636,0.54
0.41000000000000003,0.8266666666666668,0.8800000000000001,0.8336363636363636,0.54
0.42000000000000004,0.8533333333333335,0.8800000000000001,0.8514141414141413,0.5900000000000001
0.43,0.8533333333333335,0.8800000000000001,0.8514141414141413,0.5900000000000001
0.44,0.8533333333333335,0.8800000000000001,0.8514141414141413,0.5900000000000001
0.45,0.8533333333333335,0.8800000000000001,0.8514141414141413,0.5900000000000001
0.46,0.8533333333333335,0.8800000000000001,0.8514141414141413,0.5900000000000001
0.47000000000000003,0.8533333333333335,0.8800000000000001,0.8514141414141413,0.5900000000000001
0.48000000000000004,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.49,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.5,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.51,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.52,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.53,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.54,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.55,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.56,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.5700000000000001,0.8433333333333334,0.8400000000000001,0.8247474747474748,0.5700000000000001
0.5800000000000001,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.59,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.6,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.61,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.62,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.63,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.64,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.65,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.66,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.67,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.68,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.6900000000000001,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.7000000000000001,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.7100000000000001,0.8933333333333333,0.8400000000000001,0.8414141414141415,0.67
0.72,0.9266666666666667,0.8400000000000001,0.8595959595959595,0.77
0.73,0.9266666666666667,0.8400000000000001,0.8595959595959595,0.77
0.74,0.9266666666666667,0.8400000000000001,0.8595959595959595,0.77
0.75,0.9266666666666667,0.8400000000000001,0.8595959595959595,0.77
0.76,0.9266666666666667,0.8400000000000001,0.8595959595959595,0.77
0.77,0.9266666666666667,0.8400000000000001,0.8595959595959595,0.77
0.78,0.9266666666666667,0.8400000000000001,0.8595959595959595,0.77
0.79,0.9266666666666667,0.8400000000000001,0.8595959595959595,0.77
0.8,0.9199999999999999,0.76,0.802063492063492,0.7300000000000001
0.81,0.9199999999999999,0.76,0.802063492063492,0.7300000000000001
0.8200000000000001,0.9199999999999999,0.76,0.802063492063492,0.7300000000000001
0.8300000000000001,0.9199999999999999,0.76,0.802063492063492,0.7300000000000001
0.8400000000000001,0.9199999999999999,0.76,0.802063492063492,0.7300000000000001
0.85,0.9199999999999999,0.76,0.802063492063492,0.7300000000000001
0.86,0.9099999999999999,0.67,0.7385714285714287,0.6849999999999999
0.87,0.8933333333333333,0.62,0.7028571428571428,0.6599999999999999
0.88,0.8933333333333333,0.62,0.7028571428571428,0.6599999999999999
0.89,0.8933333333333333,0.5800000000000001,0.6806349206349205,0.64
0.9,0.8933333333333333,0.5800000000000001,0.6806349206349205,0.64
0.91,0.86,0.49000000000000005,0.5853968253968254,0.595
0.92,0.86,0.45,0.5576190476190477,0.575
0.93,0.95,0.37,0.5085714285714286,0.585
0.9400000000000001,0.75,0.32,0.42857142857142855,0.5599999999999999
0.9500000000000001,0.75,0.32,0.42857142857142855,0.5599999999999999
0.9600000000000001,0.75,0.28,0.38095238095238093,0.5399999999999999
0.97,0.8,0.24,0.35,0.62
0.98,0.4,0.08,0.13333333333333333,0.54
0.99,0.0,0.0,0.0,0.5
