loop,colset,n_features,auc,auc_mean,oof_auc_train,oof_auc_train_mean,average_precision,uniqueness_ratio,n_rows,n_unique_rows,duplicate_rows,holdout_auc
8,motifs_eig_centrality,98,0.8727167713522489,0.8733008036931693,0.8726918686631303,0.8756554125527272,0.8694894272769341,1.0,1432,1432,0,0.8632080054405906
8,motifs_eig,84,0.8481795635791738,0.849654047731516,0.8542939636070638,0.8571903353487119,0.8447283575597824,0.9986033519553073,1432,1430,2,0.8513067133003012
8,eig,10,0.8188246726258422,0.8190273532301594,0.8126880840907565,0.8145801592704247,0.8114476568004065,0.9986033519553073,1432,1430,2,0.8301758476634606
8,motifs,74,0.8080497651647749,0.808396047531466,0.8155967110845243,0.8154075580608996,0.814365953141232,0.9986033519553073,1432,1430,2,0.7921402895171475
