Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,count
-8.627630546577377e-16,0.3972545425960327,2.499995630912285,3.518585535654177,4.000000000000002,4.17431139620455,4.421535290742815,4.641975028699007,5.166724321037142,5.86023983452462,16
1.5501034415980216e-16,0.3058391251766389,2.6843914536215427,3.3819660112501047,3.450119034721506,4.0,4.381966011250108,4.4419812672751,5.559408417021898,5.618033988749901,12
2.0482941301505344e-15,0.437186994839881,2.7940538849489056,3.428029955246437,3.662373699779788,4.246298535355327,4.413009694756234,4.5989679988893455,5.5869903052437655,5.766207278605871,10
5.552270649813272e-17,0.3624501227452262,2.2660703156428013,3.999999999999998,3.999999999999999,4.000000000000006,4.436169071522252,4.674236260860075,5.1641039946292455,5.192782586670076,10
-1.2680448659078664e-15,0.443421018342461,2.5638185111349774,3.999999999999997,4.0,4.4074743052006085,4.464139267909291,4.738645223741175,5.185716979025376,5.594732350107663,8
5.772436341241478e-16,0.4006716691022326,2.549882984469105,3.381966011250108,4.000000000000001,4.000000000000005,4.450748092262687,4.677284643101878,5.173600863568305,5.618033988749891,8
2.4698809962477248e-15,0.256715016313209,2.418685929155192,3.4108876668494084,4.0,4.0,4.381966011250107,4.439591436870573,5.151725657894866,5.787732847602335,8
-1.4635701737069846e-15,0.552477477984486,2.512228528429253,3.546141410800627,3.9999999999999982,4.2871002507582485,4.557834357247807,4.8234841417777465,5.2055765481389225,6.000000000000002,8
-2.526013577633546e-15,0.4749737185546302,3.0373760499635307,3.154187599006076,3.9999999999999982,4.335351140326091,4.609363728337626,5.081776386606981,5.301820277935715,5.598862974957047,8
-2.2336225426478305e-16,0.4724637098084143,2.9743019305353213,3.5218416143694213,4.000000000000002,4.187324928974332,4.549927864356998,4.788319363136402,5.465202423569358,6.000000000000002,8
1.6110900738100334e-15,0.3760256210232999,2.7940538849489047,2.99050373723176,3.662373699779788,4.0,4.413009694756234,4.511183115360805,5.4228906285778224,5.586990305243764,6
-3.3411748383540107e-15,0.318897389219823,2.897757777444812,3.412071767127648,3.999999999999996,4.0,4.381966011250106,4.730526489912533,5.429600393534733,5.999999999999998,6
-6.650653459401002e-16,0.3775318566193876,2.585786437626901,3.3819660112501087,3.5050311992444434,4.000000000000002,4.381966011250107,4.527835938934846,5.414213562373097,5.6180339887499,6
6.177638585241367e-16,0.39405996432862,2.591415794623422,3.3517852960345844,3.465062343880561,4.000000000000001,4.363870391840549,4.553296575477213,5.257302272714958,5.797448428037947,4
-2.270211438900052e-16,0.4153994036568982,2.748934579157352,3.438447187191173,3.9999999999999982,4.000000000000002,4.381966011250103,4.629319760399213,5.689194807313231,6.0,4
-2.1037837388425124e-15,0.550389783134248,2.336465345843338,3.999999999999998,3.9999999999999982,4.274865805703371,4.46376199456233,4.827209226544665,5.166888679694016,5.380024431755325,4
2.304688483903549e-15,0.4002536354989065,2.894015005971605,3.381966011250107,3.5920848380154102,3.877666086691824,4.4085419653658695,5.272514625519787,5.54324468206129,5.618033988749895,4
-1.9910990760209567e-16,0.3954325065499027,2.7904080810895207,3.4649649243110447,3.999999999999997,3.999999999999999,4.528636419823041,4.564784385352394,5.343002180984146,5.999999999999997,4
-1.1750199162593582e-15,0.4235476567124722,2.629216441653212,3.4663314826691742,4.000000000000001,4.381966011250108,4.401128669475231,4.5645938725262285,5.211734536341631,5.79882253003748,4
1.5591947768383409e-15,0.543537771635789,2.8615566402864103,3.1017229600284546,3.531552525769821,4.0,4.480564598325369,5.021622368690951,5.588544711357094,5.845579489228155,4
9.271400414872317e-16,0.4972956732759155,2.6213783534277604,3.0500902170169453,3.381966011250103,4.25841570585896,4.473430413191078,4.589181466411113,5.350626644608437,5.548810930057883,4
-1.8645454111499183e-16,0.4750101921077887,2.596829492253655,3.012084852505042,3.606202372768287,4.236451826680286,4.391027675642799,4.614583496804193,5.127291844522653,5.584561122413441,4
5.191289626788774e-16,0.3896673445138553,2.8848018206589443,3.3819660112501038,3.672784424026032,4.16789432802522,4.486994778776993,5.000000000000001,5.489710772974042,5.618033988749893,4
-5.811467538007465e-16,0.4153994036568986,2.725401389618063,2.7489345791573494,3.999999999999999,4.000000000000002,4.299983410889531,4.6293197603992144,5.509552481096071,5.689194807313231,4
5.259497087321536e-16,0.4666729401454467,2.955760709603837,3.4005246558000404,3.668970160937644,4.000000000000002,4.397127719241492,4.784375851881366,5.456837586037261,5.697967809314871,4
-2.456502647862881e-15,0.4732250424471983,3.0496648030674183,3.618734560380836,4.286761982338164,4.381966011250103,4.650319037194908,5.000000000000002,5.654604295013154,6.430229235436823,4
9.628747770783337e-16,0.5801991058403315,2.5891235771709447,3.5597753668614533,4.1499952715977,4.320690105152447,4.46803354746,4.841847924383345,5.309263714789585,5.895527944398756,4
-2.4552234072450704e-15,0.5813377690752842,2.713899140399894,3.6613390505815913,4.000000000000002,4.548943069875168,4.820419895281121,5.000000000000003,5.2058059355400506,5.999999999999998,4
5.332085909139185e-16,0.4599985626419712,2.7771634970496217,3.423942338975514,3.732672226132121,4.000000000000004,4.46807305439667,4.892452582420871,5.134654382506292,5.751622619202836,4
-1.0288833451321966e-16,0.5785231709825585,2.76221629506993,3.214844441592729,3.9999999999999982,4.126393670178499,4.597996177601164,5.056302727486792,5.313489627779563,5.599124845936291,4
2.212046681595289e-15,0.5455211800064079,2.854897308799576,3.07977913033001,4.248975856050209,4.444291358991345,4.476023602918136,4.815896620188565,5.291366890235572,6.0,4
-1.0677996818211457e-15,0.4659479647563752,2.5136678430350017,3.416692920909849,3.9999999999999982,4.000000000000003,4.391107167571377,5.000000000000004,5.1939639135140405,5.844357403147313,4
