threshold,precision,recall,f1,balanced_accuracy
0.01,0.6168394497196518,0.9933476394849785,0.7610688802703305,0.7310049357809223
0.02,0.6473554388373468,0.9870386266094421,0.781892147069032,0.7620152482640706
0.03,0.6664213031661942,0.9820600858369097,0.7940136180750959,0.779370767234789
0.04,0.68003541433699,0.9770815450643777,0.8019239606524751,0.7905917703148939
0.05,0.6906858510102378,0.9725751072961373,0.8077297106218417,0.7987413600043141
0.060000000000000005,0.6997087671717195,0.9685836909871245,0.8124655795196659,0.805300714673163
0.06999999999999999,0.7075764280721251,0.9645064377682404,0.8162891758851206,0.8106161161494565
0.08,0.7150421666747657,0.9603004291845494,0.8197066500699783,0.8153682485907965
0.09,0.7209502646531606,0.956695278969957,0.8222455756656126,0.8189056587015344
0.09999999999999999,0.7264808501335416,0.9530901287553647,0.8244836708149934,0.8220365647472315
0.11,0.7321538395919233,0.9496995708154505,0.8268452868092515,0.825256289472766
0.12,0.7363916354650428,0.9460944206008584,0.8281602238404769,0.8272231156958469
0.13,0.74023912521528,0.9426609442060088,0.8292639825999087,0.8289062296787618
0.14,0.7446171368640077,0.9389699570815451,0.8305624424601667,0.8308301374469069
0.15000000000000002,0.7484069742821504,0.9356652360515021,0.8316137278334624,0.832411331994709
0.16,0.7522714894977354,0.9327467811158799,0.8328329473548571,0.8341302272172155
0.17,0.7559665835682592,0.9291845493562232,0.8336608456113568,0.8354533241976977
0.18000000000000002,0.7587286636960687,0.925579399141631,0.8338787983365561,0.8360712960231437
0.19,0.7615686708146093,0.9225751072961372,0.8343657245749603,0.8369342646606335
0.2,0.7648779404196888,0.9192274678111589,0.8349695870571402,0.837958153713414
0.21000000000000002,0.7683262000470231,0.9163519313304722,0.835826698661721,0.8392180942683403
0.22,0.7713978612731328,0.9139914163090129,0.8366536469579652,0.8403844738603453
0.23,0.7743466660237772,0.9112017167381975,0.837209766272266,0.8412808288051666
0.24000000000000002,0.7768163863437328,0.9082403433476396,0.8373935943231221,0.8417772300625854
0.25,0.779376095047883,0.9055793991416309,0.8377395322443455,0.8424238459122788
0.26,0.7823152786282188,0.9024463519313304,0.8380864244713339,0.8431115721223541
0.27,0.7848552081842772,0.8997854077253219,0.8383875634439008,0.8437027555995419
0.28,0.7871944282234248,0.8965236051502146,0.8382947903246951,0.8439196000621729
0.29000000000000004,0.7897737658024215,0.8937339055793991,0.8385296600452516,0.8444464058569576
0.3,0.7921212101413567,0.8909871244635192,0.8386386143518788,0.8448283737616931
0.31,0.7943153940634945,0.8882403433476395,0.8386453678321837,0.8450994769214176
0.32,0.7964643403871839,0.885107296137339,0.8384404601267661,0.8451774470339319
0.33,0.7988198899959121,0.8821030042918455,0.8383863975307071,0.8454121821163589
0.34,0.8012420892200902,0.8799999999999999,0.838766105229726,0.8460236511456023
0.35000000000000003,0.8037111603310985,0.8765665236051502,0.8385474219863596,0.8461177037833586
0.36000000000000004,0.8059702324423353,0.8741201716738198,0.8386497759191259,0.8464651117053503
0.37,0.8080490886058133,0.8715879828326181,0.8386045174481234,0.8466587364273955
0.38,0.8101876281607406,0.8687124463519312,0.8384168207365479,0.8467361197022036
0.39,0.8119924158627988,0.8656652360515021,0.8379553205648793,0.846542891492122
0.4,0.8140770690194659,0.8627896995708154,0.8377106649615019,0.8465648423944246
0.41000000000000003,0.8160337982425705,0.8597854077253219,0.8373227934062074,0.8464485057843165
0.42000000000000004,0.8182560700491965,0.8564377682403433,0.8368960588910813,0.8463267924719824
0.43,0.8202028589325423,0.853304721030043,0.8364098221988027,0.8461276007219689
0.44,0.8222375498962913,0.8495278969957081,0.8356439692825507,0.8456989078474475
0.45,0.823983990294835,0.8458798283261804,0.8347693016779107,0.8451498180803112
0.46,0.8260281023655107,0.8424034334763949,0.8341116436127688,0.8448159074255589
0.47000000000000003,0.8281314819553727,0.8393991416309012,0.8337042118645215,0.8446995708154506
0.48000000000000004,0.829990488414985,0.8362231759656652,0.8330732203716342,0.8443680550929583
0.49,0.8315785763325885,0.8332188841201716,0.8323767361662631,0.8439560791628204
0.5,0.833735298102906,0.8303004291845493,0.8319926093448597,0.843864183550146
0.51,0.8359204575362842,0.8267381974248927,0.8312863795889573,0.84350583189796
0.52,0.8377325552066447,0.8236051502145922,0.8305914601389531,0.843121865572928
0.53,0.8396937965879008,0.8203433476394849,0.8298874835505042,0.8427474313955001
0.54,0.841521103064421,0.817038626609442,0.8290757526362812,0.8422776281605969
0.55,0.8431874006709625,0.813047210300429,0.8278230980236737,0.841427522371205
0.56,0.8450415418270214,0.8100858369098713,0.8271774572078824,0.8410924380410407
0.5700000000000001,0.8469542344772559,0.8068669527896996,0.8264110285548275,0.840665553261073
0.5800000000000001,0.8489368914423749,0.8032188841201716,0.8254299083257501,0.8400795085789328
0.59,0.8507771293266222,0.7994849785407726,0.8243217268464755,0.8393766356118497
0.6,0.8529989904866048,0.7960085836909871,0.8235062497764911,0.8389503376695882
0.61,0.8546246468115495,0.7918025751072962,0.822002462793826,0.8379190259128497
0.62,0.8562796200740397,0.7881545064377682,0.8207959027964815,0.8371297291981893
0.63,0.8582266662349308,0.7844206008583691,0.8196553629735475,0.8364268562311062
0.64,0.8601527791417078,0.7809012875536481,0.818598716037731,0.8357943244863584
0.65,0.8618495164023564,0.777038626609442,0.8172333407259025,0.8348977316343589
0.66,0.8636660007549193,0.7730042918454936,0.8158044556864865,0.8339707342449938
0.67,0.8659908728330624,0.769098712446352,0.814653756172623,0.8333113665705522
0.68,0.8674359143672448,0.7647210300429185,0.812826116425664,0.8320463982439279
0.6900000000000001,0.8695823161336573,0.7612017167381974,0.8117680758515331,0.8314508214141838
0.7000000000000001,0.8720855586421333,0.7566952789699571,0.8102796643016283,0.8305649343852002
0.7100000000000001,0.8745255461206982,0.7520600858369099,0.8086616568831235,0.8295777147588097
0.72,0.8769191126095869,0.7467811158798283,0.8066159068726186,0.828268606720402
0.73,0.8786603238541446,0.7425321888412016,0.804863864731504,0.8271234484486867
0.74,0.8807642397198249,0.7381115879828326,0.8031340009287892,0.8260402729271148
0.75,0.8830365495019876,0.7330042918454935,0.8010343404633963,0.8247061370535672
0.76,0.8854418447797343,0.7278969957081545,0.7989514604908925,0.8234089560950233
0.77,0.8880012569154043,0.7215450643776824,0.7961426662595025,0.821600322284924
0.78,0.8906554628437057,0.7157081545064379,0.793630445008165,0.8200307217469366
0.79,0.8926826764589546,0.7094420600858369,0.7905587154127058,0.818006321986747
0.8,0.8956810816356888,0.7024463519313305,0.7873560639157045,0.8160051419671435
0.81,0.8979823054404378,0.6948497854077254,0.7834372338791815,0.8134448483579646
0.8200000000000001,0.9007406604898742,0.6878969957081544,0.780030479669483,0.8113173079058141
0.8300000000000001,0.9030410577933086,0.6809012875536482,0.7763673183538282,0.8089835336511773
0.8400000000000001,0.906212829646301,0.6732188841201717,0.7724987594492754,0.806620528534587
0.85,0.9100610924756566,0.665450643776824,0.7687314936885734,0.8044178569955813
0.86,0.912813030983951,0.6566523605150214,0.7637867927563324,0.8013306148473112
0.87,0.9160651515738799,0.6475107296137338,0.7586864451582882,0.7982195185393134
0.88,0.9191596363527891,0.6366094420600859,0.7521963175408138,0.7942101164476334
0.89,0.9221887167059066,0.6275107296137339,0.7467999157697414,0.7909726597070886
0.9,0.9255517274629966,0.6169957081545066,0.7403814452426962,0.7871379132051173
0.91,0.9295649510893865,0.6045493562231761,0.7325959922516259,0.7825592309571164
0.92,0.9336761337981481,0.5903433476394848,0.7233034207918534,0.7771191978404373
0.93,0.9374325226458415,0.5735193133047211,0.7116157779582579,0.7702777645607123
0.9400000000000001,0.9428822640621084,0.5551931330472103,0.698823690781176,0.7631102398421565
0.9500000000000001,0.9475473323727615,0.5345922746781115,0.6834799140351849,0.754546691662781
0.9600000000000001,0.9517159356833943,0.5075107296137339,0.6619740186198846,0.7426688903057583
0.97,0.958505020658334,0.47484978540772527,0.6350522043885543,0.7285741905604776
0.98,0.9687718112596387,0.4327038626609442,0.5981864357861039,0.7103467576423717
0.99,0.9791070133351667,0.36369098712446346,0.530316008572785,0.6785010737543973
