n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,timestamp
807,5,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.49987457909001454,4.592488919658672,0.68,0.1469693845669907,1762072275.117717
367,4,0.19875765715516736,0.6225646316108401,0.88879950890673,4.692763545078752,0.007787658410143285,0.5,0.0,1762072275.3951318
993,9,0.18737941654160148,0.6028265220878869,0.6092249700165663,2.623873301291946,3.998609717152556,0.6449999999999999,0.07810249675906657,1762072275.7943168
94,12,0.07750368872478823,0.6362425738131283,0.847354403733235,1.9123099563358141,9.832308858067885,0.655,0.2712931993250107,1762072276.0304875
493,11,0.20728918619045614,0.7801997007878172,0.6053059844639466,4.711008778424265,5.632882178455394,0.5,0.0,1762072276.3392036
416,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,3.049983288913105,8.331949117361646,0.7375,0.08139410298049855,1762072276.6400514
215,7,0.06284846545853807,0.9021445641270611,0.7700623497964979,1.0397083143409445,5.677003278199916,0.64,0.1854723699099141,1762072276.898776
80,11,0.14042869867723207,0.7580600944007259,0.9706635463175177,3.636359979282105,3.2654076880583545,0.5,0.0,1762072277.125865
592,8,0.2887398870613113,0.9378135394712607,0.8989280440549523,2.6984606619453992,5.8675116566384835,0.6599999999999999,0.1854723699099141,1762072277.453953
967,8,0.09003976278653758,0.718509402281633,0.666106775625201,0.07818203370596967,4.234014807063698,0.72,0.19390719429665318,1762072277.8467155
570,3,0.22206786978973592,0.9481783528188314,0.7354484637432432,2.548669115911582,8.37270340736352,0.6599999999999999,0.1854723699099141,1762072278.284082
50,3,0.036855154006433494,0.9382015437063844,0.6041099128270775,0.23520881231887053,6.8781345703061,0.61,0.14966629547095767,1762072278.6921048
935,10,0.022905323821349292,0.6,0.72022517855977,0.0,1.2326667616618594,0.765,0.19209372712298547,1762072279.3941994
507,8,0.15706574532665754,1.0,0.6115460597636648,0.0,0.0,0.75,0.07745966692414837,1762072279.8981879
721,11,0.1917288309310089,0.6908838001142094,0.7846000322989332,3.34058822884784,10.0,0.6050000000000001,0.11000000000000001,1762072280.436986
726,12,0.2774280478701425,0.8212421443668576,0.6310639364606341,0.2842676427745851,0.0,0.8025,0.12658988901172163,1762072280.9975772
373,12,0.2764255923542824,0.6231766089446411,0.951698050237698,0.5883902772206946,0.0,0.725,0.15652475842498528,1762072281.4822476
415,12,0.3,0.9638988291521902,0.9735330087262483,0.0891374941131832,0.0,0.775,0.0921954445729289,1762072282.1529436
1000,3,0.24636112996859602,0.9699860549537588,0.6350694776739361,1.652028080396878,0.0,0.6525000000000001,0.12459935794377114,1762072282.8837168
1000,12,0.09407266005355948,0.8579406927861288,0.6,0.21151548017244987,0.0,0.765,0.14456832294800961,1762072283.6280568
