Motif_triangles,Motif_wedges,Motif_4_cycles,Motif_4_cliques,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_std,Motif_square_clustering_proxy,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_frac_zero,Motif_triangle_edge_frac_ge2,Motif_induced_K1_3,Motif_induced_P4,Motif_induced_C4,Motif_induced_TailedTriangle,Motif_induced_Diamond,Motif_induced_K4,Motif_induced_connected_per_4set,Motif_triangles_per_Cn3,Motif_4_cycles_per_Cn4,Motif_4_cliques_per_Cn4,Motif_wedges_per_max,Motif_induced_K1_3_per_Cn4,Motif_induced_P4_per_Cn4,Motif_induced_C4_per_Cn4,Motif_induced_TailedTriangle_per_Cn4,Motif_induced_Diamond_per_Cn4,Motif_induced_K4_per_Cn4,Motif_5_cycles,Motif_5_cliques,Motif_induced_g_1_4,Motif_induced_g_2_4,Motif_induced_g_3_4,Motif_induced_g_4_4,Motif_induced_g_5_4,Motif_induced_g_6_4,Motif_induced5_g_0_5,Motif_induced5_g_1_5,Motif_induced5_g_2_5,Motif_induced5_g_3_5,Motif_induced5_g_4_5,Motif_induced5_g_5_5,Motif_induced5_g_6_5,Motif_induced5_g_7_5,Motif_induced5_g_8_5,Motif_induced5_g_9_5,Motif_induced5_g_10_5,Motif_induced5_g_11_5,Motif_induced5_g_12_5,Motif_induced5_g_13_5,Motif_induced5_g_14_5,Motif_induced5_g_15_5,Motif_induced5_g_16_5,Motif_induced5_g_17_5,Motif_induced5_g_18_5,Motif_induced5_g_20_5,Motif_induced_connected_per_5set,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4_per_Cn4,Motif_5_cycles_per_Cn5,Motif_5_cliques_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5_per_Cn5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_20_5_per_Cn5,count
16,46,30,0,1.7142857142857142,0.5890150893739514,2.0,2.0,2.0,0.0714285714285714,0.7857142857142857,8.0,55.0,8.0,24.0,22.0,0.0,0.1636363636363636,0.0559440559440559,0.0419580419580419,0.0,0.0536130536130536,0.0111888111888111,0.0769230769230769,0.0111888111888111,0.0335664335664335,0.0307692307692307,0.0,54,0,55.0,8.0,8.0,24.0,22.0,0.0,0.0,2.0,6.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.017094017094017,0.0769230769230769,0.0111888111888111,0.0111888111888111,0.0335664335664335,0.0307692307692307,0.0,0.0419580419580419,0.0,0.0419580419580419,0.0,0.0015540015540015,0.0046620046620046,0.0,0.0007770007770007,0.0038850038850038,0.0015540015540015,0.0,0.0,0.0007770007770007,0.0,0.0,0.0,0.0,0.0,0.0015540015540015,0.0,0.0,0.0023310023310023,0.0,4
20,54,39,0,2.0,0.3651483716701107,2.0,2.0,2.0,0.0,0.9333333333333332,12.0,70.0,7.0,40.0,32.0,0.0,0.2251748251748251,0.0699300699300699,0.0545454545454545,0.0,0.0629370629370629,0.0167832167832167,0.0979020979020979,0.0097902097902097,0.0559440559440559,0.0447552447552447,0.0,74,0,70.0,12.0,7.0,40.0,32.0,0.0,0.0,2.0,8.0,1.0,1.0,8.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0256410256410256,0.0979020979020979,0.0167832167832167,0.0097902097902097,0.0559440559440559,0.0447552447552447,0.0,0.0574980574980574,0.0,0.0574980574980574,0.0,0.0015540015540015,0.0062160062160062,0.0007770007770007,0.0007770007770007,0.0062160062160062,0.0,0.0,0.0038850038850038,0.0031080031080031,0.0007770007770007,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0,0.0015540015540015,0.0,3
18,40,34,0,1.9285714285714288,0.4573660169594891,2.0,2.0,2.0,0.0,0.8571428571428571,4.0,36.0,6.0,16.0,28.0,0.0,0.1258741258741259,0.0629370629370629,0.0475524475524475,0.0,0.0466200466200466,0.0055944055944055,0.0503496503496503,0.0083916083916083,0.0223776223776223,0.0391608391608391,0.0,58,0,36.0,4.0,6.0,16.0,28.0,0.0,0.0,2.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0124320124320124,0.0503496503496503,0.0055944055944055,0.0083916083916083,0.0223776223776223,0.0391608391608391,0.0,0.045066045066045,0.0,0.045066045066045,0.0,0.0015540015540015,0.0046620046620046,0.0,0.0015540015540015,0.0015540015540015,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0,0.0015540015540015,0.0,3
13,47,24,0,1.4444444444444444,0.6849348892187752,2.0,2.0,2.0,0.1111111111111111,0.5555555555555556,10.0,60.0,9.0,24.0,15.0,0.0,0.165034965034965,0.0454545454545454,0.0335664335664335,0.0,0.0547785547785547,0.0139860139860139,0.0839160839160839,0.0125874125874125,0.0335664335664335,0.0209790209790209,0.0,40,0,60.0,10.0,9.0,24.0,15.0,0.0,0.0,2.0,8.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.017094017094017,0.0839160839160839,0.0139860139860139,0.0125874125874125,0.0335664335664335,0.0209790209790209,0.0,0.031080031080031,0.0,0.031080031080031,0.0,0.0015540015540015,0.0062160062160062,0.0,0.0,0.0031080031080031,0.0015540015540015,0.0,0.0007770007770007,0.0007770007770007,0.0007770007770007,0.0007770007770007,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0007770007770007,0.0,2
14,52,22,0,1.5,0.6267831705280087,2.0,2.0,2.0,0.0714285714285714,0.5714285714285714,10.0,85.0,6.0,34.0,16.0,0.0,0.2111888111888112,0.0489510489510489,0.0307692307692307,0.0,0.0606060606060606,0.0139860139860139,0.1188811188811188,0.0083916083916083,0.0475524475524475,0.0223776223776223,0.0,43,0,85.0,10.0,6.0,34.0,16.0,0.0,0.0,5.0,12.0,0.0,6.0,7.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0341880341880341,0.1188811188811188,0.0139860139860139,0.0083916083916083,0.0475524475524475,0.0223776223776223,0.0,0.0334110334110334,0.0,0.0334110334110334,0.0,0.0038850038850038,0.0093240093240093,0.0,0.0046620046620046,0.0054390054390054,0.0007770007770007,0.0007770007770007,0.0015540015540015,0.0023310023310023,0.0,0.0023310023310023,0.0,0.0,0.0,0.0023310023310023,0.0007770007770007,0.0,0.0,0.0,2
14,52,25,0,1.5,0.6267831705280087,2.0,2.0,2.0,0.0714285714285714,0.5714285714285714,11.0,75.0,9.0,33.0,16.0,0.0,0.2013986013986014,0.0489510489510489,0.0349650349650349,0.0,0.0606060606060606,0.0153846153846153,0.1048951048951049,0.0125874125874125,0.0461538461538461,0.0223776223776223,0.0,47,0,75.0,11.0,9.0,33.0,16.0,0.0,0.0,5.0,7.0,0.0,3.0,7.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0248640248640248,0.1048951048951049,0.0153846153846153,0.0125874125874125,0.0461538461538461,0.0223776223776223,0.0,0.0365190365190365,0.0,0.0365190365190365,0.0,0.0038850038850038,0.0054390054390054,0.0,0.0023310023310023,0.0054390054390054,0.0015540015540015,0.0007770007770007,0.0,0.0015540015540015,0.0,0.0,0.0,0.0,0.0,0.0015540015540015,0.0007770007770007,0.0,0.0015540015540015,0.0,2
14,44,22,0,1.5555555555555556,0.5665577237325317,2.0,2.0,2.0,0.037037037037037,0.5925925925925926,4.0,55.0,6.0,28.0,16.0,0.0,0.1524475524475524,0.0489510489510489,0.0307692307692307,0.0,0.0512820512820512,0.0055944055944055,0.0769230769230769,0.0083916083916083,0.0391608391608391,0.0223776223776223,0.0,37,0,55.0,4.0,6.0,28.0,16.0,0.0,0.0,0.0,12.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.017094017094017,0.0769230769230769,0.0055944055944055,0.0083916083916083,0.0391608391608391,0.0223776223776223,0.0,0.0287490287490287,0.0,0.0287490287490287,0.0,0.0,0.0093240093240093,0.0,0.0015540015540015,0.0031080031080031,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0,0.0,0.0,0.0015540015540015,0.0,0.0,0.0007770007770007,0.0,2
13,55,24,0,1.3928571428571428,0.6729087029077419,2.0,1.5,2.0,0.1071428571428571,0.5,15.0,87.0,10.0,33.0,14.0,0.0,0.2223776223776223,0.0454545454545454,0.0335664335664335,0.0,0.0641025641025641,0.0209790209790209,0.1216783216783216,0.0139860139860139,0.0461538461538461,0.0195804195804195,0.0,48,0,87.0,15.0,10.0,33.0,14.0,0.0,0.0,5.0,15.0,2.0,1.0,8.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0318570318570318,0.1216783216783216,0.0209790209790209,0.0139860139860139,0.0461538461538461,0.0195804195804195,0.0,0.0372960372960372,0.0,0.0372960372960372,0.0,0.0038850038850038,0.0116550116550116,0.0015540015540015,0.0007770007770007,0.0062160062160062,0.0038850038850038,0.0,0.0,0.0023310023310023,0.0,0.0007770007770007,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0,0.0,2
15,58,26,0,1.5517241379310345,0.5623967734586237,2.0,2.0,2.0,0.0344827586206896,0.5862068965517241,14.0,94.0,9.0,44.0,17.0,0.0,0.2489510489510489,0.0524475524475524,0.0363636363636363,0.0,0.0675990675990676,0.0195804195804195,0.1314685314685314,0.0125874125874125,0.0615384615384615,0.0237762237762237,0.0,56,0,94.0,14.0,9.0,44.0,17.0,0.0,0.0,3.0,13.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024087024087024,0.1314685314685314,0.0195804195804195,0.0125874125874125,0.0615384615384615,0.0237762237762237,0.0,0.0435120435120435,0.0,0.0435120435120435,0.0,0.0023310023310023,0.0101010101010101,0.0,0.0007770007770007,0.0031080031080031,0.0015540015540015,0.0007770007770007,0.0007770007770007,0.0015540015540015,0.0,0.0023310023310023,0.0007770007770007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
15,59,25,0,1.5517241379310345,0.4973174173053778,2.0,2.0,2.0,0.0,0.5517241379310345,14.0,94.0,9.0,50.0,16.0,0.0,0.2559440559440559,0.0524475524475524,0.0349650349650349,0.0,0.0687645687645687,0.0195804195804195,0.1314685314685314,0.0125874125874125,0.0699300699300699,0.0223776223776223,0.0,55,0,94.0,14.0,9.0,50.0,16.0,0.0,0.0,3.0,10.0,0.0,4.0,8.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0279720279720279,0.1314685314685314,0.0195804195804195,0.0125874125874125,0.0699300699300699,0.0223776223776223,0.0,0.0427350427350427,0.0,0.0427350427350427,0.0,0.0023310023310023,0.0077700077700077,0.0,0.0031080031080031,0.0062160062160062,0.0023310023310023,0.0007770007770007,0.0007770007770007,0.0015540015540015,0.0,0.0015540015540015,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0007770007770007,0.0,2
