Spectral_algebraic_connectivity,Spectral_algebraic_connectivity_over_avgdeg,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Spectral_laplacian_heat_trace_t0.1,Spectral_laplacian_heat_trace_t0.1_per_node,Spectral_laplacian_heat_trace_t1.0,Spectral_laplacian_heat_trace_t1.0_per_node,Spectral_laplacian_heat_trace_t5.0,Spectral_laplacian_heat_trace_t5.0_per_node,Spectral_laplacian_mean,Spectral_laplacian_skew,Spectral_laplacian_std,Spectral_spectral_gap,Spectral_spectral_gap_rel,Spectral_adjacency_energy,Spectral_adjacency_estrada_index,Spectral_adjacency_moment_2,Spectral_adjacency_moment_3,Spectral_adjacency_moment_4,Spectral_kirchhoff_index,Spectral_laplacian_heat_trace_t0.5,Spectral_laplacian_heat_trace_t2.0,sample_index
-0.62812805,-3.1540124,-0.24409927,-0.14270626,-0.22368278,-0.041028053,-0.252178,-0.28322777,-0.4018459,0.16094422,-0.030378627,-0.20626338,-0.037294492,-0.044843126,-0.36280924,-0.1315794,-0.26680624,-0.14399038,-0.00043384294,-0.104269065,-0.0013668359,-0.07779808,-1.3218907,0.23971575,-0.4093452,-7.8856516e-05,-0.17502613,-0.2902255,-0.050041676,-0.058489174,-0.17980056,0
-0.54426354,-1.4637873,-0.28763333,-0.112245895,-0.16478156,0.118897796,-0.25062206,0.091428734,-0.6022832,0.048098806,-0.24452426,-0.41461906,-0.08314105,-0.056883015,-0.5928192,-0.15294011,-0.3940716,-0.20423186,-0.00079599966,-0.09370494,-0.018588671,-0.068748854,-0.59380996,0.12741904,-0.46388894,-0.0010043875,-0.2680297,-0.29174262,-0.22404085,-0.08550075,-0.2421558,1
-0.5275468,-0.8115725,-0.12337568,-0.122117706,-0.25751972,0.032891247,-0.53508884,0.2143617,-0.3312309,-0.63636637,-0.65070295,-0.15076499,-0.035474926,-0.038264584,-0.324714,-0.088262424,-0.36130992,-0.1597833,-0.0018234048,-0.09051441,-0.017596971,-0.06982196,-0.35888278,0.30212528,-0.069073245,-7.709737e-05,-0.10248631,-0.609864,-0.031268314,0.00010354849,-0.13873741,2
0.39124632,1.1107502,0.2658094,0.09992593,0.39867458,-0.08734576,-0.25333646,0.52403665,0.123504266,0.19104646,0.15551116,0.58406234,-0.04243551,-0.008293806,-0.17203131,-0.033772063,0.30282283,0.15241446,-0.00043618446,0.03756087,0.05498683,0.05148544,0.3573604,-0.07105852,0.4826666,-7.017784e-05,0.096636824,0.16562788,0.008249043,-0.08965238,0.09011796,3
-0.9399488,-3.7735481,-0.23537682,-0.20385623,-0.07472575,0.07103901,0.09365688,-0.21278892,-0.5367526,-0.13273211,0.13275698,-0.15439706,0.079690695,0.002874007,-0.099856265,-0.042176194,-0.39541635,-0.18847425,-0.00043050942,-0.047161058,-0.00450996,-0.07918984,-1.5058658,-0.07988898,0.6253189,-6.8592555e-05,0.006002598,0.15783942,-0.19767395,0.014368918,-0.20165806,4
0.108489536,0.45189703,0.18463837,-0.012679746,-0.2295924,-0.35849273,-0.022185784,-1.1157993,0.21820657,-0.3899004,-0.41243905,-0.4637821,-0.102046646,-0.064468935,-0.27337703,-0.1190005,-0.0020985424,0.00054741144,-0.0008274814,-0.20977047,-0.06396824,0.0051561845,0.1276229,-0.01973592,-0.3202781,-5.9953578e-05,0.069300346,-0.015875446,-0.20540814,-0.22065936,-0.19266291,5
0.44187596,0.82961965,0.46722665,0.09211398,0.32654452,0.07497633,0.38746986,-0.16164069,-0.4213966,0.37364647,-0.064784676,-0.3839642,0.037334833,0.005254611,0.12573601,0.04600039,0.17551799,0.11471674,-0.00086378714,-0.08875019,0.052463524,0.061259203,0.29053825,0.6161442,0.20912448,-8.012348e-05,-0.0042342436,0.18356591,-0.10754659,-0.01468133,0.17691076,6
0.25118163,0.79032046,-0.20564657,0.047405638,-0.15666792,-0.43310547,-0.5386775,0.081480205,-0.50305265,-0.19006841,0.008585376,-0.8456191,-0.07949526,-0.028513303,-0.20568882,-0.08001747,0.042867236,0.025335986,-0.00049124804,-0.1437904,-0.04090207,0.05017638,0.29663202,-0.19531016,-0.06996473,-6.522412e-05,0.0685845,0.09903567,-0.015795598,-0.15669669,-0.19630651,7
-0.13812405,-0.619655,-0.08498695,-0.07898788,-0.047081824,-0.39574078,0.4338015,-0.25993422,-0.25668022,0.014307768,0.02007397,-0.33291015,-0.044184346,0.017440742,0.12526408,0.011247355,-0.02239737,-0.01918078,-0.001491131,0.083506376,-0.022158101,-0.032707516,-0.17813651,-0.44692552,-0.041467763,-6.913101e-05,0.15378681,-0.3933377,-0.040999893,-0.043198068,-0.16493711,8
0.34744236,0.66356975,-0.09802786,0.071232945,0.1244841,0.21245824,0.51296943,0.045702454,-0.2087441,-0.013027838,-0.58713514,-0.29247326,0.010788934,-0.055122945,1.2378036,0.45489892,0.101886764,0.07629358,0.024984056,0.32467023,0.09844199,0.024330089,0.27585933,0.47461262,0.36774266,0.004071973,-0.22420579,-0.11371344,0.035998203,-0.038100556,1.5960218,9
