Spectral_algebraic_connectivity,Spectral_spectral_gap,Spectral_laplacian_mean,Spectral_laplacian_std,Spectral_laplacian_skew,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Spectral_laplacian_heat_trace_t0.1,Spectral_laplacian_heat_trace_t1.0,Spectral_laplacian_heat_trace_t5.0,Spectral_algebraic_connectivity_over_avgdeg,Spectral_spectral_gap_rel,Spectral_laplacian_heat_trace_t0.1_per_node,Spectral_laplacian_heat_trace_t1.0_per_node,Spectral_laplacian_heat_trace_t5.0_per_node,Spectral_kirchhoff_index,Spectral_laplacian_heat_trace_t0.5,Spectral_laplacian_heat_trace_t2.0,Spectral_adjacency_energy,Spectral_adjacency_estrada_index,Spectral_adjacency_moment_2,Spectral_adjacency_moment_3,Spectral_adjacency_moment_4,count
0.631061334311775,0.6310613343117737,4.461538461538462,2.205426336435608,-0.5939614555717365,1.3089901678819842e-15,0.631061334311775,2.997960721021653,3.5741389364037373,3.999999999999999,4.153740048818827,4.7237699697125946,5.140766729984851,5.660142328599895,6.0,8.534578916736722,1.6677972357151687,1.0426256564617185,0.1414447818285013,0.1414447818285009,0.6565060705182094,0.128292095055013,0.0802019735739783,50.279988803832765,2.753395512585453,1.2870453816817269,21.577743501847458,144.7563116359101,4.46153846153846,7.846153846153834,55.23076923076916,2
0.6760575940810196,0.6760575940810192,4.307692307692308,2.12619614785927,-0.5972331755201583,4.156078330668254e-16,0.6760575940810196,2.6787417942572262,3.56470618702584,3.712597698315393,4.326464894570244,4.4106787949414565,5.11435347101482,5.284227759217301,5.798250298589374,8.651151633402696,1.6732125927912678,1.0340392037145287,0.1569419414830938,0.1569419414830937,0.6654732025694382,0.1287086609839436,0.0795414772088099,50.18607269181142,2.831567078981925,1.265201386850361,21.4147056146354,123.86041917136492,4.307692307692308,6.461538461538463,48.61538461538463,2
0.6866282091632931,0.6866282091632926,4.615384615384615,2.305126779041799,-0.505907643821676,5.260326543634826e-16,0.6866282091632931,2.9406556045285948,4.000000000000002,4.195351410339119,4.390748391022067,4.66326381869714,5.118731331136567,5.323706819022818,6.338717326642469,8.422880249044137,1.6260344265184117,1.0322857862966548,0.1487694453187135,0.1487694453187134,0.6479138653110875,0.125079571270647,0.0794065989458965,47.75668911230738,2.6709315216835545,1.2569416138979017,21.183202278838536,168.29804323844115,4.615384615384618,8.769230769230786,63.38461538461547,2
0.7176020676144654,0.7176020676144654,4.307692307692308,2.1261961478592704,-0.5492158555092596,-1.7589903096081714e-17,0.7176020676144654,3.009873735044501,3.2852956018317565,3.60641951843356,4.185596779311974,4.378261915470541,5.158032947501492,5.493489153136423,5.736592100152008,8.650507897122264,1.646519511292592,1.0276536769474105,0.1665861942676437,0.1665861942676437,0.6654236843940203,0.126655347022507,0.0790502828421084,48.99615072712136,2.814973111134453,1.243090388188868,21.728801041998345,121.1428878500519,4.307692307692308,5.999999999999998,48.0,2
0.7276547019718677,0.7276547019718707,4.307692307692308,2.1261961478592704,-0.6452504955310562,-3.015848785221204e-15,0.7276547019718677,2.376301598738302,3.561339791754792,3.774016861239112,4.330062598961822,4.6568027019207845,4.903571055585831,5.494344081590005,5.9354421707819895,8.651727980218947,1.6679265769154668,1.026304650023159,0.1689198415291835,0.1689198415291842,0.665517536939919,0.1283020443781128,0.078946511540243,49.23201216085652,2.8384525583219355,1.243639119085041,21.45445518746994,124.20291224773834,4.307692307692308,6.923076923076923,47.38461538461539,2
0.7427353766360727,0.7427353766360714,4.307692307692308,2.1261961478592686,-0.5972331755201593,1.3738217268381153e-15,0.7427353766360727,2.669408295395942,3.283865619238721,3.8092475692481855,4.22861537502822,4.490315180828128,4.999999999999999,5.640671687180872,5.7315440751321445,8.651086366673349,1.6477193144181874,1.0243893652733986,0.172420712433374,0.1724207124333736,0.665468182051796,0.1267476395706298,0.0787991819441076,48.64360836564191,2.823098573244895,1.2335054318214564,21.70391060217909,121.4399074573093,4.307692307692307,6.461538461538461,46.76923076923075,2
0.7532760512747169,0.7532760512747168,4.307692307692308,2.126196147859269,-0.5972331755201589,8.400395857910745e-17,0.7532760512747169,2.8326718591999347,3.072358544294913,3.804566274322867,4.217078368207486,4.3865199152738645,5.11325445790458,5.4805909785299525,6.108822416522659,8.6510650204529,1.6416805203455738,1.0231365827734722,0.1748676547602021,0.1748676547602021,0.6654665400348385,0.1262831169496595,0.0787028140594978,48.38962578460857,2.8206361767433883,1.228213787202366,21.853597503564018,121.6639115836642,4.307692307692306,6.461538461538448,46.76923076923069,2
0.758904283818032,0.758904283818032,4.461538461538461,2.170267073794751,-0.6476110707061074,2.443526030116079e-17,0.758904283818032,2.962048139999653,3.6022767479255053,3.809489932559082,4.350142659556507,4.657813187532338,5.114292239497588,5.644920528568247,6.1344088883093,8.528339468080302,1.606366243607971,1.0224940589486076,0.1700992360281795,0.1700992360281796,0.6560261129292541,0.12356663412369,0.0786533891498929,46.878613167982266,2.712705440654103,1.2234133099467703,21.854363488486044,138.48134512643327,4.46153846153846,7.384615384615373,52.46153846153839,2
0.7665946227624512,0.7665946227624488,4.461538461538462,2.2054263364356084,-0.5509355293001434,2.3608583923869304e-15,0.7665946227624512,2.733805426263543,3.6650477455512607,3.796124461796161,4.362085786751183,4.845067924524675,5.174813972859344,5.523097636942173,5.999999999999998,8.533898678406448,1.6136086080856102,1.0216463411706322,0.1718229326881356,0.1718229326881351,0.6564537444928037,0.1241237390835084,0.0785881800900486,46.96977745031696,2.729987329843576,1.2215106030101237,21.631288550574133,140.80674311566764,4.461538461538464,7.384615384615397,54.000000000000085,2
0.7876290542100024,0.7876290542100004,4.461538461538463,2.2054263364356084,-0.5509355293001454,2.048555426064116e-15,0.7876290542100024,2.770312200886017,3.41969640327901,4.19942220483784,4.350293025513587,4.532473983686935,5.000000000000002,5.715313609800456,5.999999999999998,8.533858446919979,1.6045054867831867,1.0194853227686682,0.1765375466332764,0.1765375466332759,0.6564506497630753,0.123423498983322,0.0784219479052821,46.5462546422815,2.7260664484902963,1.212522850690941,21.82375306098028,139.24141089803896,4.461538461538463,7.384615384615399,52.769230769230845,2
