decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,7663,0,1.3977353e-07,0.0005204324,0.00015220551,7663,0.0,0.0,0.0
2,7663,1,0.0005204349,0.0030820584,0.0015600695,7662,0.00013049719431032232,1.950724694223904e-05,1.950724694223904e-05
3,7662,11,0.0030823804,0.010508802,0.0062343506,7651,0.0014356564865570347,0.00021457971636462946,0.0002340869633068685
4,7663,61,0.0105097,0.026390878,0.017633403,7602,0.007960328852929662,0.0011899420634765815,0.0014240290267834499
5,7662,241,0.02639317,0.051897552,0.038139857,7421,0.03145392847820412,0.004701246513079609,0.006125275539863059
6,7663,491,0.05190385,0.087392405,0.06899541,7172,0.06407412240636827,0.00957805824863937,0.01570333378850243
7,7663,827,0.08739263,0.12700112,0.106876455,6836,0.10792117969463656,0.016132493221231687,0.03183582700973411
8,7662,1125,0.12700273,0.17046945,0.14844607,6537,0.14682850430696945,0.021945652810018923,0.053781479819753036
9,7663,1427,0.17047516,0.21509613,0.19258647,6236,0.18621949628082995,0.027836841386575113,0.08161832120632814
10,7662,1795,0.21511118,0.26306337,0.23885849,5867,0.23427303576089795,0.03501550826131908,0.11663382946764722
11,7663,2242,0.26306573,0.3140189,0.28809428,5421,0.29257470964374266,0.04373524764449993,0.16036907711214715
12,7663,2734,0.31402028,0.36892018,0.3410456,4929,0.35677932924442124,0.05333281314008154,0.2137018902522287
13,7662,3079,0.36892352,0.42826688,0.3984067,4583,0.4018533020099191,0.06006281333515401,0.2737647035873827
14,7663,3614,0.42826954,0.49032846,0.45925087,4049,0.4716168602375049,0.0704991904492519,0.3442638940366346
15,7663,4028,0.49033225,0.55344576,0.52170455,3635,0.5256426986819783,0.07857519068333886,0.42283908471997345
16,7662,4451,0.5534548,0.62146485,0.58726305,3211,0.5809188201513965,0.08682675613990598,0.5096658408598794
17,7663,5046,0.62146604,0.7021904,0.6604249,2617,0.6584888424898865,0.0984335680705382,0.6080994089304176
18,7662,5785,0.70221746,0.80571777,0.75145435,1877,0.7550247977029496,0.11284942356085285,0.7209488324912704
19,7663,6741,0.80572045,0.9383946,0.87133443,922,0.8796815868458828,0.13149835163763338,0.8524471841289037
20,7662,7564,0.93839955,0.99970585,0.97900075,98,0.9872096058470373,0.14755281587109612,0.9999999999999999
