Motif_4_cliques,Motif_4_cliques_per_Cn4,Motif_4_cycles,Motif_4_cycles_per_Cn4,Motif_induced_connected_per_4set,Motif_square_clustering_proxy,Motif_triangle_edge_frac_ge2,Motif_triangle_edge_frac_zero,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_incidence_std,Motif_triangles,Motif_triangles_per_Cn3,Motif_wedges,Motif_wedges_per_max,Motif_5_cliques,Motif_5_cliques_per_Cn5,Motif_5_cycles,Motif_5_cycles_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_10_5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_1_5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_20_5,Motif_induced5_g_20_5_per_Cn5,Motif_induced5_g_2_5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5,Motif_induced5_g_9_5_per_Cn5,Motif_induced_connected_per_5set,Motif_induced_g_1_4,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4,Motif_induced_g_6_4_per_Cn4,count
0,0.0,34,0.0339660339660339,0.1388611388611388,2.0,0.8064516129032258,0.0,1.8387096774193548,2.0,2.0,0.4469808535661618,19,0.0521978021978022,52,0.0476190476190476,0,0.0,63,0.0314685314685314,0.0314685314685314,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,3.0,0.0014985014985014,0.0,0.0,0.0,0.0,11.0,0.0054945054945054,1.0,0.0004995004995004,2.0,0.0009990009990009,4.0,0.0019980019980019,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,4.0,0.0019980019980019,0.0144855144855144,63.0,0.0629370629370629,6.0,0.0059940059940059,7.0,0.0069930069930069,36.0,0.0359640359640359,27.0,0.0269730269730269,0.0,0.0,16
0,0.0,29,0.0289710289710289,0.1208791208791208,2.0,0.7,0.0,1.7,2.0,2.0,0.4582575694955839,17,0.0467032967032967,49,0.0448717948717948,0,0.0,57,0.0284715284715284,0.0284715284715284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,6.0,0.0029970029970029,0.0,0.0,2.0,0.0009990009990009,4.0,0.0019980019980019,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,3.0,0.0014985014985014,0.0089910089910089,54.0,0.0539460539460539,3.0,0.0029970029970029,8.0,0.0079920079920079,35.0,0.0349650349650349,21.0,0.0209790209790209,0.0,0.0,12
0,0.0,37,0.0369630369630369,0.1298701298701298,2.0,0.8709677419354839,0.0,1.935483870967742,2.0,2.0,0.4351850826849046,20,0.0549450549450549,50,0.0457875457875457,0,0.0,64,0.0319680319680319,0.0319680319680319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,3.0,0.0014985014985014,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,10.0,0.0049950049950049,1.0,0.0004995004995004,1.0,0.0004995004995004,5.0,0.0024975024975024,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0129870129870129,55.0,0.0549450549450549,8.0,0.0079920079920079,6.0,0.0059940059940059,30.0,0.0299700299700299,31.0,0.0309690309690309,0.0,0.0,10
0,0.0,31,0.0309690309690309,0.1468531468531468,2.0,0.7419354838709677,0.0,1.7419354838709675,2.0,2.0,0.4375696763306625,18,0.0494505494505494,54,0.0494505494505494,0,0.0,62,0.0309690309690309,0.0309690309690309,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0014985014985014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,10.0,0.0049950049950049,0.0,0.0,2.0,0.0009990009990009,7.0,0.0034965034965034,1.0,0.0004995004995004,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0139860139860139,70.0,0.0699300699300699,4.0,0.0039960039960039,8.0,0.0079920079920079,42.0,0.0419580419580419,23.0,0.0229770229770229,0.0,0.0,10
0,0.0,39,0.0389610389610389,0.1618381618381618,2.0,0.84375,0.0,1.875,2.0,2.0,0.414578098794425,20,0.0549450549450549,58,0.0531135531135531,0,0.0,77,0.0384615384615384,0.0384615384615384,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0,0.0,15.0,0.0074925074925074,0.0,0.0,6.0,0.0029970029970029,8.0,0.0039960039960039,1.0,0.0004995004995004,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0199800199800199,69.0,0.0689310689310689,9.0,0.0089910089910089,10.0,0.0099900099900099,45.0,0.0449550449550449,29.0,0.0289710289710289,0.0,0.0,8
0,0.0,32,0.0319680319680319,0.1078921078921078,2.0,0.7666666666666667,0.0,1.8,2.0,2.0,0.4760952285695233,18,0.0494505494505494,46,0.0421245421245421,0,0.0,59,0.0294705294705294,0.0294705294705294,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0,0.0,4.0,0.0019980019980019,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0079920079920079,46.0,0.0459540459540459,3.0,0.0029970029970029,7.0,0.0069930069930069,27.0,0.0269730269730269,25.0,0.0249750249750249,0.0,0.0,8
0,0.0,37,0.0369630369630369,0.1628371628371628,2.0,0.84375,0.0,1.875,2.0,2.0,0.414578098794425,20,0.0549450549450549,57,0.0521978021978022,0,0.0,76,0.0379620379620379,0.0379620379620379,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,2.0,0.0009990009990009,2.0,0.0009990009990009,0.0,0.0,13.0,0.0064935064935064,1.0,0.0004995004995004,2.0,0.0009990009990009,8.0,0.0039960039960039,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,6.0,0.0029970029970029,0.0194805194805194,76.0,0.0759240759240759,7.0,0.0069930069930069,8.0,0.0079920079920079,43.0,0.0429570429570429,29.0,0.0289710289710289,0.0,0.0,8
0,0.0,35,0.0349650349650349,0.1428571428571428,2.0,0.7741935483870968,0.0,1.8387096774193548,2.0,2.0,0.5141089500164266,19,0.0521978021978022,53,0.0485347985347985,0,0.0,63,0.0314685314685314,0.0314685314685314,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,2.0,0.0009990009990009,0.0,0.0,7.0,0.0034965034965034,1.0,0.0004995004995004,2.0,0.0009990009990009,4.0,0.0019980019980019,1.0,0.0004995004995004,0.0,0.0,1.0,0.0004995004995004,5.0,0.0024975024975024,0.0134865134865134,64.0,0.0639360639360639,9.0,0.0089910089910089,7.0,0.0069930069930069,35.0,0.0349650349650349,28.0,0.0279720279720279,0.0,0.0,8
0,0.0,37,0.0369630369630369,0.1758241758241758,2.0,0.84375,0.0,1.875,2.0,2.0,0.414578098794425,20,0.0549450549450549,59,0.054029304029304,0,0.0,72,0.0359640359640359,0.0359640359640359,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,3.0,0.0014985014985014,2.0,0.0009990009990009,0.0,0.0,10.0,0.0049950049950049,1.0,0.0004995004995004,3.0,0.0014985014985014,5.0,0.0024975024975024,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,4.0,0.0019980019980019,0.0174825174825174,81.0,0.0809190809190809,11.0,0.0109890109890109,8.0,0.0079920079920079,47.0,0.0469530469530469,29.0,0.0289710289710289,0.0,0.0,8
0,0.0,41,0.0409590409590409,0.1528471528471528,2.0,0.875,0.0,1.96875,2.0,2.0,0.4666620163458774,21,0.0576923076923076,55,0.0503663003663003,0,0.0,76,0.0379620379620379,0.0379620379620379,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0,0.0,10.0,0.0049950049950049,0.0,0.0,1.0,0.0004995004995004,7.0,0.0034965034965034,1.0,0.0004995004995004,0.0,0.0,1.0,0.0004995004995004,3.0,0.0014985014985014,0.0149850149850149,68.0,0.0679320679320679,9.0,0.0089910089910089,7.0,0.0069930069930069,35.0,0.0349650349650349,34.0,0.0339660339660339,0.0,0.0,8
