decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,699,0,0.014454699,0.018307373,0.016206631,699,0.0,0.0,0.0
2,699,2,0.018309833,0.03027047,0.02317877,697,0.002861230329041488,0.0003532944709415298,0.0003532944709415298
3,698,21,0.03028907,0.05317249,0.041551493,677,0.03008595988538682,0.0037095919448860626,0.004062886415827593
4,699,33,0.05319869,0.0920118,0.07181441,666,0.04721030042918455,0.005829358770535241,0.009892245186362834
5,698,72,0.09214704,0.13662715,0.11346504,626,0.10315186246418338,0.012718600953895072,0.022610846140257906
6,699,111,0.136702,0.1856532,0.16100709,588,0.15879828326180256,0.0196078431372549,0.04221868927751281
7,699,158,0.18584684,0.24029616,0.21308444,541,0.22603719599427755,0.02791026320438085,0.07012895248189366
8,698,187,0.24029638,0.29272255,0.2662699,511,0.2679083094555874,0.03303303303303303,0.1031619855149267
9,699,202,0.2927592,0.34257087,0.31728557,497,0.28898426323319026,0.0356827415650945,0.1388447270800212
10,698,238,0.34262964,0.39177638,0.3668991,460,0.34097421203438394,0.042042042042042045,0.18088676912206325
11,699,316,0.3917948,0.43900156,0.4149909,383,0.4520743919885551,0.0558205264087617,0.23670729553082495
12,699,310,0.43903908,0.4870493,0.46349156,389,0.4434907010014306,0.054760642995937116,0.29146793852676206
13,698,416,0.48719192,0.5352545,0.5109167,282,0.5959885386819485,0.07348524995583819,0.3649531884826003
14,699,380,0.53529865,0.5802372,0.55719405,319,0.5436337625178826,0.06712594947889065,0.43207913796149094
15,698,428,0.5803307,0.62742734,0.60362065,270,0.6131805157593123,0.07560501678148737,0.5076841547429783
16,699,461,0.6274679,0.6744927,0.65053236,238,0.6595135908440629,0.08143437555202261,0.5891185302950009
17,699,506,0.6745648,0.7329655,0.70359135,193,0.7238912732474965,0.08938350114820703,0.678502031443208
18,698,535,0.73317146,0.8044346,0.76658374,163,0.7664756446991404,0.09450627097685921,0.7730083024200671
19,699,601,0.80472106,0.896759,0.84997594,98,0.8597997138769671,0.1061649885179297,0.8791732909379968
20,698,684,0.8967998,0.971624,0.93583053,14,0.9799426934097422,0.12082670906200318,1.0
