threshold,precision,recall,f1,balanced_accuracy
0.01,0.40520712521961155,1.0,0.5767222558195988,0.5
0.02,0.4266270795838727,1.0,0.5980898438119995,0.5421930673184088
0.03,0.44660423667027127,0.9997792494481235,0.6174061601081304,0.5778825754982886
0.04,0.45909005327667296,0.9988960033173564,0.6290537271909888,0.5984995809454957
0.05,0.46819612117268933,0.996246752771578,0.6370038594673809,0.612592676045774
0.060000000000000005,0.47719968869004453,0.9953635066408107,0.6450965214352913,0.6261404847992152
0.06999999999999999,0.48363930028808105,0.9940387594062907,0.650669019859249,0.6354059216788521
0.08,0.4920123836336125,0.9924930176966326,0.6578697845236928,0.6471188929688886
0.09,0.4978944956605522,0.99050553095996,0.6626635009455875,0.6549243485007373
0.09999999999999999,0.5031166905307112,0.9871937848352909,0.6665120033011279,0.6613907563098816
0.11,0.5101517775788598,0.9841023014159745,0.6719373014886975,0.6700736901265112
0.12,0.5145435499120817,0.981673557498811,0.6751607720333725,0.6752522757311374
0.13,0.5208709871427392,0.9788033124778945,0.6798959987420854,0.6826163521208642
0.14,0.526668762553703,0.9748290707743343,0.6838390116033921,0.6889030195773266
0.15000000000000002,0.5328555883994854,0.9708543412242507,0.68803933768484,0.695414950445456
0.16,0.5384175312417082,0.9671006061493055,0.6917053526495368,0.7010593126188291
0.17,0.5443627578256767,0.9604776017464906,0.694868008847436,0.7063218980065977
0.18000000000000002,0.5494199996723458,0.9547366238581343,0.6974514922329508,0.7105962463248761
0.19,0.5546528062716417,0.950983620552974,0.7006397633111643,0.7153383792949699
0.2,0.5588656298644201,0.9461268644884321,0.7026569130559193,0.7186257579229727
0.21000000000000002,0.5638834691441097,0.9392814020709086,0.7046871396630674,0.7221224132165843
0.22,0.5696366482429307,0.9335413998755993,0.707519479532136,0.7264726070758478
0.23,0.5745157723863314,0.9291251692217628,0.7099932758369144,0.7301310769478186
0.24000000000000002,0.5806314673423852,0.9244881880160503,0.7132629114428019,0.7347315768234157
0.25,0.5844660491543598,0.9174217311233885,0.7140194437031641,0.7364629772178096
0.26,0.5897335145687648,0.9119010159403851,0.7162431914226977,0.7397950516091998
0.27,0.5950789210059849,0.9057192687180613,0.7182350538223863,0.7428714019269346
0.28,0.6003634646333347,0.8997585159708755,0.7201722652956293,0.7458329118718469
