Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,sample_index
-0.033654224,-2.5920649,-0.41763055,-0.06747183,-0.18398869,-0.06498424,-0.15083897,-0.0035069278,-0.05242027,-0.025877766,0
-0.04093258,-2.039001,-0.23000512,-0.13928916,-0.09941129,-0.02034383,-0.25225803,0.04684701,-0.048946403,-0.14585161,1
-0.032136697,-1.1180519,-0.021535058,-0.096383706,-0.40423548,-0.056936216,-0.11461941,-0.23521973,-0.16463202,0.08297866,2
0.06716456,1.158536,0.25708732,0.012267353,-0.043347675,0.08322877,-0.056396123,0.009422299,0.07648616,0.12713604,3
-0.0137214055,-3.2369034,-0.116122246,-0.0926544,0.069438174,-0.059385374,-0.107157536,-0.05999497,-0.014912047,-0.060279347,4
-0.13060035,0.5980522,-0.1313658,-0.10033202,0.05833472,-0.26930502,0.12465479,-0.19995922,-0.05304647,-0.15118659,5
0.05137496,0.83018714,0.40473753,0.03590948,0.20605142,-0.02790482,-0.17831266,0.081805795,-0.029484881,-0.06455189,6
-0.027781114,1.0256137,-0.017511496,0.093690574,-0.32141894,0.003361013,-0.20807381,0.036950633,-0.027904812,-0.395408,7
-0.0150044495,-0.4504002,-0.1751814,-0.35716566,0.3075259,0.04713759,-0.13796069,0.008931397,-0.019795345,-0.14419858,8
-0.014432001,1.1198275,0.077596426,0.03020089,0.31502822,-0.03839049,-0.15263028,-0.03201848,-0.45432007,-0.11689898,9
0.04088177,0.98086786,-0.13212341,-0.021508627,-0.114496775,0.005481167,0.061125163,0.054277934,0.5343509,0.08572682,10
-0.024863686,-0.85147876,0.4215332,-0.25120714,-0.16958702,0.05540252,-0.04776235,-0.17394544,-0.20784472,-0.056237377,11
0.41147912,-1.6116892,-0.18354325,-0.11623741,-0.16935137,-0.029178454,-0.23290767,-0.010809241,0.2608644,0.040430065,12
-0.096189074,0.9588579,0.38397205,0.9187266,0.12713392,-0.001215025,0.033884086,0.009051858,-0.029394297,-0.028617254,13
-0.004071992,0.2206159,0.02201116,-0.024938473,-0.059591614,0.10673869,-0.12237702,0.1702524,0.18683237,0.16156343,14
0.03216838,-0.39574775,0.019954143,-0.014691549,-0.18554598,0.16077714,-0.16005102,0.105209045,-0.05495574,0.13646884,15
