"COEFFICIENTS","COLOR_COVERS4","COLOR_COVERS5","COLOR_COVERS6","CYCLE_COUNT3","CYCLE_COUNT4","CYCLE_COUNT5","CYCLE_COUNT6","CYCLE_COUNT7","CYCLE_COUNT8","CYCLE_COUNT9"
-1,0,3840,334080,30,75,196,486,1032,1744,2170
0,0,34440,1363680,18,34,70,157,344,600,790
0,432,41520,1222560,19,49,124,312,689,1181,1526
0,0,22680,931680,21,43,118,314,698,1187,1492
-1,0,14160,744480,23,45,104,275,656,1173,1504
-1,48,12600,594720,26,65,167,396,794,1274,1506
0,144,27000,983520,21,53,135,315,627,1017,1239
0,648,69840,1921320,15,30,79,192,392,613,724
1,480,58680,1741680,16,30,72,188,382,606,712
0,3552,233340,4938960,8,9,20,52,116,181,204
0,0,4200,288000,33,101,272,624,1231,2012,2574
1,0,5400,352800,32,79,196,446,885,1492,1976
0,696,56760,1455480,18,55,136,299,622,1060,1446
0,0,22680,918720,22,48,121,278,579,1016,1372
-1,96,21240,851760,23,52,115,254,527,942,1269
1,0,4800,295200,34,99,277,654,1259,1921,2251
1,24,9840,469080,29,74,199,506,1056,1716,2049
-1,0,8280,510480,27,67,169,383,745,1154,1364
1,192,43800,1499760,18,35,77,164,304,476,590
0,96,22800,880560,23,57,140,305,555,824,964
0,816,98640,2687040,13,22,40,82,165,287,380
-1,0,12720,679680,25,55,126,280,545,834,988
2,528,78000,2343600,15,20,30,67,171,325,428
-1,96,27000,1065600,21,42,92,210,433,715,872
-1,0,22800,1015200,22,48,103,211,390,634,836
-1,0,15600,777600,23,55,145,320,574,829,964
1,576,72240,2099520,15,27,61,133,250,368,426
1,0,6600,439200,32,77,177,372,679,992,1052
0,0,18600,806400,24,56,135,282,523,794,890
-1,96,27720,1080720,22,43,93,209,420,656,736
0,576,86760,2504160,14,25,37,72,153,260,334
1,0,5400,352800,31,80,211,505,982,1473,1604
-1,168,32160,1165320,22,46,105,239,456,708,837
1,384,57120,1710720,17,35,83,177,312,450,546
0,1104,114240,2918160,12,21,42,90,176,302,392
1,192,29880,1113840,20,45,108,231,426,713,934
1,0,7560,458640,32,78,183,368,604,790,820
-1,168,37920,1385640,20,39,86,169,264,353,405
1,0,10200,590400,31,79,168,257,309,326,308
1,0,3240,246960,34,97,261,621,1229,1960,2356
-1,72,22080,893160,22,53,136,315,596,928,1152
1,0,11760,673920,24,54,125,278,574,990,1290
-1,72,18720,808920,23,56,133,284,541,918,1215
-1,96,21960,862560,23,52,123,285,579,965,1217
0,96,23880,862560,23,61,173,424,874,1471,1869
1,192,46560,1568160,17,32,73,168,339,565,727
-1,2544,206280,4626000,9,10,18,42,96,178,227
0,384,62160,1814400,16,36,86,168,294,481,684
1,336,44280,1476720,18,37,78,151,288,525,716
0,288,39720,1189440,20,53,136,297,580,1012,1430
0,0,27000,1022400,21,49,141,328,604,904,1084
1,0,5400,352800,32,82,212,499,972,1477,1650
0,336,54720,1697760,16,30,74,184,384,618,730
0,1344,117240,2926080,12,21,37,93,201,313,372
0,0,22680,918720,22,48,127,310,639,1007,1146
-1,96,24600,936000,22,50,124,304,618,979,1140
1,0,13680,738720,23,50,120,291,627,1031,1212
1,192,42000,1468800,18,35,77,165,311,484,568
0,816,96960,2658960,13,20,38,89,188,307,373
-1,72,27840,1113480,22,43,100,232,452,701,830
