"COEFFICIENTS","DEN_WALKS2","DEN_WALKS3","DEN_WALKS4","DEN_WALKS5","DEN_WALKS6","DEN_WALKS7","DEN_WALKS8","DEN_WALKS9","DEN_WALKS10","DEN_WALKS11","FGRAPH_WALKS2","FGRAPH_WALKS3","FGRAPH_WALKS4","FGRAPH_WALKS5","FGRAPH_WALKS6","FGRAPH_WALKS7","FGRAPH_WALKS8","FGRAPH_WALKS9","FGRAPH_WALKS10","FGRAPH_WALKS11"
1,27,54,377,1540,8241,39599,201265,1000098,5029247,25167065,32,108,796,4505,28556,174510,1084612,6703587,41542397,257207852
0,26,48,324,1240,6377,29134,141892,673599,3242851,15523431,30,72,614,2850,17952,97216,569838,3207600,18447290,104909156
-1,26,48,324,1240,6377,29134,141892,673599,3242851,15523431,30,84,598,3000,17736,98826,567966,3227340,18453470,105268350
1,25,42,285,995,5038,21574,101801,459600,2128885,9743943,28,66,456,2050,11344,58156,310240,1631676,8649208,45722864
-1,25,42,285,995,5038,21574,101801,459600,2128885,9743943,28,60,464,1965,11452,57148,310880,1617990,8633253,45459436
0,24,36,256,805,4110,16380,75892,325323,1461884,6408270,26,54,366,1500,7952,37968,191918,947088,4736546,23550098
-1,25,42,289,995,5074,21560,102053,459375,2130485,9741336,28,63,464,1990,11419,57344,310304,1619379,8624368,45459238
0,26,48,328,1235,6425,29043,142312,672483,3245696,15510044,30,75,602,2900,17733,97762,566482,3209457,18382270,104752824
0,26,48,334,1275,6680,30541,150514,717609,3485586,16787089,30,84,646,3290,20196,114954,677806,3938304,23040010,134397626
-1,26,48,334,1265,6653,30268,149326,710247,3448331,16583556,30,87,630,3265,19647,112000,655366,3796746,22104795,128440268
-1,26,48,336,1315,6881,32060,158376,764040,3730036,18119387,29,78,573,2865,16943,94143,537905,3040899,17273049,97932175
1,24,36,248,800,3939,16009,72580,313470,1391864,6104208,26,42,366,1290,7484,33348,172126,821202,4093766,19926874
1,24,36,252,800,4011,16065,73696,315873,1411434,6172430,26,48,362,1370,7550,34594,176178,849738,4230126,20704706
0,27,54,385,1565,8403,40334,205317,1021491,5146277,25803558,31,87,711,3605,22966,131978,799067,4720272,28238851,167895783
1,27,54,385,1565,8403,40334,205317,1021491,5146277,25803558,32,114,816,4690,29576,182140,1135552,7061280,43984712,273906336
0,25,42,289,1000,5050,21518,101213,455784,2106815,9626947,28,54,476,1865,11488,55202,306628,1568331,8424233,43974722
-1,25,42,289,1000,5050,21518,101213,455784,2106815,9626947,28,66,464,2020,11296,56868,304096,1585542,8393788,44152944
0,26,48,332,1255,6494,29477,143884,681834,3287386,15739284,30,81,610,3005,18093,100555,581722,3311388,19004825,108708490
1,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,32,99,736,4025,25139,150122,914568,5531931,33567117,203436695
1,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,32,96,752,4015,25580,151564,929952,5619678,34211197,207571628
0,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,32,87,768,3905,25835,150402,932968,5607303,34240877,207421423
0,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,32,96,748,4020,25520,151648,929252,5620308,34201092,207557152
-1,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,32,105,744,4125,25451,152586,928120,5626257,34175577,207511403
1,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,31,87,635,3225,19498,110383,646015,3730830,21691696,125761757
1,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,32,99,736,4065,25367,152096,927400,5622525,34169837,207483947
0,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,31,81,635,3165,19522,109907,646415,3727188,21696376,125733575
-1,26,48,320,1240,6335,29141,141640,674004,3243276,15537016,30,78,598,2930,17784,98364,570014,3231906,18528590,105650798
0,26,48,320,1240,6335,29141,141640,674004,3243276,15537016,30,81,598,2980,17823,99323,572926,3259134,18667420,106615762
-1,26,48,320,1240,6335,29141,141640,674004,3243276,15537016,30,75,602,2920,17853,98756,572610,3250623,18639310,106383442
1,25,42,281,1005,5017,21826,102389,465567,2153555,9889682,28,60,460,2020,11572,59108,319332,1682088,8971408,47570732
1,25,42,285,1005,5077,21882,103269,467853,2170135,9956408,28,63,464,2055,11707,59892,323864,1708011,9125893,48460137
0,25,42,281,995,4966,21469,100565,455622,2103195,9632128,28,60,456,1945,11212,56210,303616,1581468,8399233,44171600
-1,26,48,324,1240,6371,29134,141844,673788,3243546,15531175,30,78,594,2940,17646,98280,566386,3219288,18413310,105040672
1,27,54,387,1575,8547,41062,210555,1049481,5313037,26709342,32,114,828,4830,30776,191352,1202756,7537920,47307492,296790582
0,26,48,324,1240,6350,29008,140900,668496,3213326,15369288,30,78,598,2910,17580,96992,559838,3168798,18112470,103078338
0,26,48,324,1240,6350,29008,140900,668496,3213326,15369288,30,75,602,2860,17673,96306,561058,3159003,18117170,102898400
0,25,42,285,1000,5032,21595,101553,458628,2121215,9706290,28,57,464,1930,11395,56504,308288,1599897,8537908,44878746
0,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,32,90,768,3960,25892,151732,938368,5655384,34526112,209447392
1,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,32,99,764,4100,26027,154847,950612,5764527,35165582,214010511
0,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,32,96,756,4075,25940,154602,949636,5760141,35142957,213867368
1,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,31,87,647,3285,19906,112980,662471,3838155,22374121,130132981
-1,27,54,367,1510,7926,38108,191615,948510,4734547,23565146,31,90,659,3320,20071,113330,664243,3841704,22392511,130174770
0,26,48,324,1245,6371,29183,141820,673896,3242056,15523783,30,75,606,2895,17859,97986,570246,3225810,18512755,105485468
-1,26,48,324,1245,6371,29183,141820,673896,3242056,15523783,30,81,602,2965,17793,98623,569258,3230784,18496905,105501330
0,25,42,289,1015,5101,21952,103061,466683,2158435,9898350,28,60,468,2020,11644,59080,319892,1681584,8975728,47564660
0,25,42,285,1000,5014,21588,101269,458430,2117770,9701186,28,57,472,1915,11479,56350,308936,1599159,8543073,44886633
-1,25,42,285,1000,5014,21588,101269,458430,2117770,9701186,28,63,464,1975,11371,56840,307896,1602927,8534253,44914969
1,25,42,285,1000,5014,21588,101269,458430,2117770,9701186,28,66,468,2020,11452,57442,309556,1613640,8579528,45187890
1,27,54,373,1520,8145,39018,198389,983367,4940407,24671790,32,102,780,4360,27764,168644,1045252,6428604,39668892,244460898
1,27,54,373,1520,8145,39018,198389,983367,4940407,24671790,31,93,663,3555,21496,125293,742487,4377414,25869751,152769111
0,26,48,324,1230,6356,28889,140972,667551,3214166,15364030,30,75,594,2880,17493,96558,557506,3155673,18030210,102580104
-1,26,48,324,1230,6356,28889,140972,667551,3214166,15364030,30,81,586,2935,17361,96747,554586,3146202,17937505,102076392
0,25,42,289,995,5137,21742,103845,466305,2174355,9938522,28,60,468,2015,11776,59416,324484,1701465,9122753,48335848
0,25,42,285,985,5005,21294,100565,452463,2094315,9564214,28,60,448,1940,10984,55510,297040,1550022,8191328,43038864
-1,25,42,285,985,5005,21294,100565,452463,2094315,9564214,28,63,444,1970,10939,55769,296676,1552401,8190218,43068993
1,24,39,252,825,4014,16275,73796,318153,1415214,6206739,26,51,354,1405,7493,35105,176730,860370,4267641,20974844
0,25,42,285,985,4993,21196,100037,449061,2077855,9473112,28,57,456,1870,11047,54096,294752,1515675,8058108,42049722
0,25,42,285,985,4993,21196,100037,449061,2077855,9473112,28,54,460,1845,11080,53928,294884,1514601,8056513,42038150
0,25,42,285,985,4993,21196,100037,449061,2077855,9473112,28,63,448,1955,10903,55034,292872,1525239,8037073,42145609
-1,26,48,330,1255,6584,29995,147910,703182,3412211,16393839,30,87,618,3230,19317,110264,643138,3720885,21609010,125303948
-1,26,48,330,1275,6611,30464,149362,714252,3461116,16680763,30,84,642,3300,20166,115178,678226,3944766,23072710,134636282
1,24,36,252,795,3999,15974,73316,314082,1402509,6132489,26,45,362,1325,7493,33887,173802,833868,4154221,20275574
0,25,42,287,1020,5143,22337,105351,479814,2228265,10261768,28,66,476,2195,12436,65128,353924,1895709,10223093,54980618
1,27,54,383,1560,8460,40670,208323,1038240,5249017,26369277,32,111,840,4845,31355,194656,1230760,7726917,48662337,306077563
1,27,54,383,1560,8460,40670,208323,1038240,5249017,26369277,30,87,598,3100,18180,102956,592810,3397866,19520410,112074314
0,26,48,330,1260,6584,30058,147918,703776,3412456,16399680,29,63,545,2355,14696,75607,432477,2335572,13022654,71340555
0,26,48,330,1260,6584,30058,147918,703776,3412456,16399680,29,72,525,2470,14417,76965,430073,2354778,13028144,71727469
-1,26,48,330,1260,6584,30058,147918,703776,3412456,16399680,30,90,622,3290,19536,112084,653582,3792186,22056590,128188610
0,24,36,268,780,4296,15876,77780,317628,1474224,6291252,26,54,366,1480,7868,37282,188510,926334,4626566,22934472
0,25,42,293,975,5095,21021,101053,447036,2087235,9453708,28,57,464,1855,11143,53816,295880,1511985,8071453,42007053
0,25,42,293,975,5095,21021,101053,447036,2087235,9453708,28,63,440,1955,10807,55076,292280,1527219,8041913,42215745
-1,25,42,293,975,5095,21021,101053,447036,2087235,9453708,28,69,448,2015,10891,55566,293000,1530951,8047653,42243201
-1,26,48,336,1295,6833,31507,156104,749118,3656126,17705182,29,78,561,2780,16331,89999,511297,2869989,16203144,91259322
0,25,42,287,1015,5161,22330,105851,481299,2240545,10314447,28,63,488,2160,12679,65226,359328,1914381,10378728,55776072
0,24,36,248,790,3930,15806,72052,309402,1375994,6016054,26,45,350,1290,7199,32473,165438,788922,3908236,18950558
1,24,36,248,790,3930,15806,72052,309402,1375994,6016054,26,48,350,1320,7196,32704,165342,790572,3906606,18961624
0,22,24,190,460,2368,7840,34574,128652,535102,2080320,22,24,190,460,2368,7840,34574,128652,535102,2080320
0,27,54,399,1600,8790,41993,216503,1079523,5484562,27636829,31,99,747,4040,25444,151193,924291,5587434,33964396,205991522
1,27,54,399,1600,8790,41993,216503,1079523,5484562,27636829,30,93,630,3285,19221,109284,632002,3645165,21081495,121910393
0,25,42,297,1000,5158,21518,102333,455928,2117755,9632755,28,54,488,1850,11668,54908,308992,1564848,8458328,43962776
0,25,42,297,1000,5158,21518,102333,455928,2117755,9632755,28,66,460,2035,11248,57106,303876,1589475,8401273,44243166
-1,25,42,297,1000,5158,21518,102333,455928,2117755,9632755,28,69,476,2070,11491,57589,307076,1597713,8450658,44425359
1,27,54,391,1625,8841,43092,222051,1117494,5692552,28842055,31,99,743,4130,25918,155911,954723,5808015,35430731,215908704
1,27,54,391,1625,8841,43092,222051,1117494,5692552,28842055,30,87,614,3180,18879,107289,622382,3586740,20736060,119758958
-1,26,48,338,1325,6932,32291,159678,770421,3765466,18302295,29,81,569,2890,16874,94150,536281,3033828,17217659,97608291
1,24,36,254,825,4101,16716,76378,331002,1479919,6520844,26,54,378,1555,8354,40201,205026,1020537,5145951,25805043
0,25,42,289,1045,5245,23051,108753,498795,2323270,10754161,28,69,512,2395,13951,74116,411976,2244489,12349693,67641057
0,23,30,227,630,3200,11662,52271,209631,901858,3737844,24,39,280,905,4683,18928,89288,388353,1779369,7930879
-1,25,42,297,1035,5329,22925,109409,497679,2327890,10745537,28,75,504,2455,13843,74606,410936,2248257,12340873,67669393
2,23,36,227,680,3188,11998,52111,211743,900398,3750736,24,45,272,965,4575,19418,88248,392121,1770549,7959215
-1,25,42,301,1040,5434,23184,111745,506337,2382530,10990309,27,63,423,1840,9978,49805,260175,1336545,6932077,35829002
-1,25,42,309,1060,5626,23933,116397,528072,2500585,11573023,27,63,439,1930,10626,53571,283123,1469313,7703927,40234722
-1,26,48,350,1390,7436,35042,176066,859422,4257396,20942570,28,69,504,2440,13951,75278,416032,2279769,12536868,68853312
