"DOUBLE_TRIANGLES"
18
18
18
18
18
18
18
9
9
9
10
10
15
8
7
14
10
16
13
8
8
11
14
9
2
9
12
5
8
17
10
10
10
13
5
7
12
16
16
13
13
5
10
12
14
9
19
19
19
11
11
10
10
6
8
8
14
8
11
6
7
11
11
9
9
11
11
11
11
11
11
11
11
11
13
13
13
10
8
7
13
16
12
12
8
15
15
15
15
15
10
10
9
12
12
12
18
18
14
14
8
8
8
9
10
10
10
15
14
8
12
16
16
13
13
13
7
10
10
10
14
9
8
8
2
17
17
8
8
8
15
15
14
5
7
5
4
7
9
8
12
6
17
9
9
7
14
10
9
3
11
16
8
15
17
10
12
8
6
10
4
4
7
8
10
11
13
7
5
8
8
10
7
2
8
4
4
7
16
6
10
4
9
18
18
10
10
8
6
7
8
4
10
10
10
9
7
12
10
7
9
9
5
4
8
7
5
4
15
15
9
11
10
4
6
5
9
5
9
6
