loop,colset,timestamp,best_params_json,bayes_history_csv,thresholds_csv,shap_full_csv,shap_summary_png,shap_sample_csv,roc_curve_png,pr_curve_png,deciles_csv,decile_precision_png,decile_recall_cumulative_png,auc,average_precision,uniqueness_ratio,n_rows,n_unique_rows,duplicate_rows,duplicate_groups_csv,optimizer_artifacts_dir,holdout_auc
6,motifs_eig,,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_best_params.json,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_bayes_history.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_thresholds.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_shap_full.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_shap_summary.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_shap_sample.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_roc_curve.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_pr_curve.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_deciles_metrics.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_decile_precision.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_/loop6_motifs_eig_decile_recall_cumulative.png,0.5595238095238095,0.8213442689281119,1.0,31,31,0,,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/bayes_results/loop6_20251201-172849,0.7
6,motifs,,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_best_params.json,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_bayes_history.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_thresholds.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_shap_full.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_shap_summary.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_shap_sample.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_roc_curve.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_pr_curve.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_deciles_metrics.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_decile_precision.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_/loop6_motifs_decile_recall_cumulative.png,0.5803571428571429,0.8121880379833992,1.0,31,31,0,,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/bayes_results/loop6_20251201-172855,0.4
6,eig,,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_best_params.json,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_bayes_history.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_thresholds.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_shap_full.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_shap_summary.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_shap_sample.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_roc_curve.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_pr_curve.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_deciles_metrics.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_decile_precision.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/eig_/loop6_eig_decile_recall_cumulative.png,0.41666666666666663,0.7581152577076286,1.0,31,31,0,,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/bayes_results/loop6_20251201-172902,0.8
6,motifs_eig_centrality,,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_best_params.json,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_bayes_history.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_thresholds.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_shap_full.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_shap_summary.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_shap_sample.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_roc_curve.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_pr_curve.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_deciles_metrics.csv,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_decile_precision.png,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/Tree_classifier_for_graphs/new_stuff/bayes_results/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_decile_recall_cumulative.png,0.49404761904761907,0.7719474408423388,1.0,31,31,0,,/Users/rezadoobary/Documents/MLCORRELATORS/ML-correlator/bayes_results/loop6_20251201-172907,0.5
