decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,9,3,0.25416893,0.35775447,0.28833506,6,0.3333333333333333,0.028037383177570093,0.028037383177570093
2,8,2,0.35869998,0.39299512,0.3723575,6,0.25,0.018691588785046728,0.04672897196261682
3,8,4,0.39384422,0.4248006,0.41535306,4,0.5,0.037383177570093455,0.08411214953271028
4,8,2,0.4256424,0.46806028,0.44765586,6,0.25,0.018691588785046728,0.102803738317757
5,8,4,0.4706594,0.517294,0.49307528,4,0.5,0.037383177570093455,0.14018691588785046
6,9,3,0.52026707,0.5652412,0.5369061,6,0.3333333333333333,0.028037383177570093,0.16822429906542055
7,8,6,0.56968176,0.5926848,0.58191395,2,0.75,0.056074766355140186,0.22429906542056074
8,8,4,0.59930164,0.6683594,0.6210592,4,0.5,0.037383177570093455,0.2616822429906542
9,8,7,0.66990435,0.6959754,0.6811625,1,0.875,0.06542056074766354,0.32710280373831774
10,8,7,0.70264375,0.72224826,0.71067,1,0.875,0.06542056074766354,0.3925233644859813
11,9,7,0.72370976,0.73963904,0.7307074,2,0.7777777777777778,0.06542056074766354,0.45794392523364486
12,8,6,0.7399193,0.7656401,0.7567735,2,0.75,0.056074766355140186,0.514018691588785
13,8,5,0.76646286,0.7729538,0.7698213,3,0.625,0.04672897196261682,0.5607476635514018
14,8,6,0.7742361,0.79144573,0.7828983,2,0.75,0.056074766355140186,0.616822429906542
15,8,7,0.7917788,0.80378115,0.7996163,1,0.875,0.06542056074766354,0.6822429906542056
16,9,9,0.8052083,0.81456167,0.80915964,0,1.0,0.08411214953271028,0.7663551401869159
17,8,6,0.81532824,0.8288921,0.8230185,2,0.75,0.056074766355140186,0.822429906542056
18,8,6,0.83039683,0.8454375,0.8376002,2,0.75,0.056074766355140186,0.8785046728971962
19,8,6,0.84625655,0.856662,0.8506966,2,0.75,0.056074766355140186,0.9345794392523364
20,8,7,0.85671616,0.8906648,0.8729303,1,0.875,0.06542056074766354,1.0
