Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,sample_index
0.035253417,0.5099037,-0.33112347,-0.0046306397,0.06751694,0.15544304,0.24900009,0.1599173,-0.015505535,0.057090245,0
0.09146307,0.55296475,-0.033520512,-0.013054043,0.06604366,0.13671352,0.21064298,0.19849338,-0.010886201,0.07403361,1
-0.084757164,0.43178055,0.06456931,0.053947285,-0.014394203,0.14791301,0.21108049,0.16444428,0.06494472,0.03631289,2
0.07031814,0.5299496,0.05351664,0.052108396,-0.029307023,-0.2974138,0.19787455,0.16979074,0.06557303,0.066399224,3
0.07560121,0.45999584,0.17274103,0.09238244,-0.021875149,0.19525237,0.2000218,0.13136773,-0.03782752,0.015943225,4
0.04650104,0.31452253,0.23687047,-0.051833484,-0.028474124,-0.2446871,-0.119379275,0.018880688,0.03571602,-0.09876842,5
0.033548974,0.45078623,0.18082826,0.042398404,-0.01948591,0.20018752,0.17212738,0.16583338,-0.038455833,0.084782325,6
0.0140765635,0.3279588,0.08562011,0.03283073,-0.028678041,-0.3409791,0.13600975,0.0113581205,-0.059378818,0.029453993,7
0.06807654,0.5309912,-0.004882117,0.024645966,0.03770334,0.1411181,0.1960178,0.21875523,0.034366928,0.016487174,8
0.10090641,0.46603328,0.24336222,-0.015921922,0.05963499,0.18467595,-0.11973698,0.1599864,-0.03665553,0.015013377,9
0.017567374,0.28553146,0.36265576,0.0065043075,-0.037646074,0.15939593,-0.115243986,-0.17142929,0.02835671,-0.16196395,10
0.055538867,0.2474044,0.46525118,0.018926518,-0.009978496,-0.059638813,-0.085452735,-0.13452695,0.024491608,-0.10793416,11
0.0701696,0.28978434,0.3750075,0.054855455,-0.022809241,0.11420887,-0.09687723,0.005121638,0.035517633,-0.07330789,12
-0.017423095,0.4663652,0.21462356,-0.0032042207,-0.018403554,0.1798946,0.18985039,0.026872111,-0.052909546,0.043598328,13
-0.26375693,0.35807914,0.12667976,-0.078290164,-0.032361556,0.14301845,-0.13216914,0.008579934,-0.067005515,0.0072295666,14
-0.094594814,-0.20525657,0.4630967,-0.038060013,-0.035979807,-0.2163347,-0.07625309,-0.1455632,-0.037404303,-0.12396121,15
