n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,timestamp
807,6,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.9997491581800291,4.592488919658672,0.8464121736849008,0.06212374089926466,1762036384.534212
367,5,0.19875765715516736,0.6225646316108401,0.88879950890673,9.385527090157504,0.007787658410143285,0.786494818313,0.03669777460591692,1762036385.2228043
993,13,0.18737941654160148,0.6028265220878869,0.6092249700165663,5.247746602583892,3.998609717152556,0.8346910665092484,0.05618966221580578,1762036386.8062212
94,20,0.07750368872478823,0.6362425738131283,0.847354403733235,3.8246199126716283,9.832308858067885,0.8241571559753378,0.045777897451960106,1762036387.3600123
493,18,0.20728918619045614,0.7801997007878172,0.6053059844639466,9.42201755684853,5.632882178455394,0.8185950413223141,0.05224732491622618,1762036388.1393666
416,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,6.09996657782621,8.331949117361646,0.8309982946346584,0.04560173256704285,1762036389.1576257
215,10,0.06284846545853807,0.9021445641270611,0.7700623497964979,2.079416628681889,5.677003278199916,0.8421028466483012,0.040621203927992365,1762036390.2606828
80,17,0.14042869867723207,0.7580600944007259,0.9706635463175177,7.27271995856421,3.2654076880583545,0.8127640036730945,0.05284978040739778,1762036390.5675707
592,12,0.2887398870613113,0.9378135394712607,0.8989280440549523,5.3969213238907985,5.8675116566384835,0.8155188246097337,0.05594931824560486,1762036391.607541
967,13,0.09003976278653758,0.718509402281633,0.666106775625201,0.15636406741193934,4.234014807063698,0.8392496392496392,0.04025715522126245,1762036394.3254254
667,3,0.02384179278700042,0.7045183422717206,0.7030820659744386,0.7573360431157607,9.806804498929614,0.8464777646595827,0.04660236397072856,1762036396.7622454
57,7,0.01,0.7112927683016527,0.9567259771566694,0.1593558118340404,4.891960814149971,0.8042568542568542,0.02751643876780316,1762036397.4383926
922,3,0.19966873066698831,0.8736070194273282,0.6868782974059001,0.0,4.692231278612529,0.8476911976911976,0.05820311295442486,1762036400.0556345
482,3,0.18642832755980726,0.9843951162765024,0.6,0.0,10.0,0.8414075823166731,0.06382475853613764,1762036401.7602575
69,3,0.26909205367249994,0.6940365736966763,0.6,0.0,0.0,0.8432047750229568,0.043298390427532696,1762036402.3501558
503,3,0.3,0.9764831269801514,0.6791337069524045,2.065934764603073,8.782032071980066,0.8513249376885739,0.05725522404150162,1762036403.493743
422,3,0.01,0.6490303274026882,0.6,3.255384826918712,0.8197916767649237,0.838239538239538,0.04178831110451604,1762036405.2039459
546,3,0.01,0.6321089505603827,0.726997855939984,4.85122279711061,1.5018729502080723,0.8306834579561853,0.042871955987304124,1762036407.2670531
981,20,0.3,0.9830135098358094,0.6,2.500651627247905,7.285165607009643,0.8482028072937163,0.05006450264935313,1762036409.2996798
647,7,0.03244653989180782,0.760522786708585,0.9988705503990436,4.30370275900597,5.175315599838056,0.832211727666273,0.05611173672025459,1762036412.2117703
