decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,2,2,0.7481225,0.7501893,0.7491559,0,1.0,0.08333333333333333,0.08333333333333333
2,2,1,0.75447756,0.75902957,0.75675356,1,0.5,0.041666666666666664,0.125
3,1,1,0.7593002,0.7593002,0.7593002,0,1.0,0.041666666666666664,0.16666666666666666
4,2,1,0.7607209,0.7637663,0.7622436,1,0.5,0.041666666666666664,0.20833333333333331
5,1,1,0.7659816,0.7659816,0.7659816,0,1.0,0.041666666666666664,0.24999999999999997
6,2,2,0.7669677,0.76759964,0.7672837,0,1.0,0.08333333333333333,0.3333333333333333
7,1,1,0.7683496,0.7683496,0.7683496,0,1.0,0.041666666666666664,0.375
8,2,2,0.768582,0.76869607,0.768639,0,1.0,0.08333333333333333,0.4583333333333333
9,1,0,0.769523,0.769523,0.769523,1,0.0,0.0,0.4583333333333333
10,2,2,0.76974374,0.7704072,0.77007544,0,1.0,0.08333333333333333,0.5416666666666666
11,2,2,0.77118754,0.7725177,0.7718526,0,1.0,0.08333333333333333,0.625
12,1,1,0.7903606,0.7903606,0.7903606,0,1.0,0.041666666666666664,0.6666666666666666
13,2,0,0.79106236,0.79106236,0.79106236,2,0.0,0.0,0.6666666666666666
14,1,1,0.79144394,0.79144394,0.79144394,0,1.0,0.041666666666666664,0.7083333333333333
15,2,1,0.79159755,0.79678196,0.79418975,1,0.5,0.041666666666666664,0.7499999999999999
16,1,1,0.7974257,0.7974257,0.7974257,0,1.0,0.041666666666666664,0.7916666666666665
17,2,2,0.7977,0.8001941,0.79894704,0,1.0,0.08333333333333333,0.8749999999999999
18,1,1,0.80039907,0.80039907,0.80039907,0,1.0,0.041666666666666664,0.9166666666666665
19,2,1,0.8007421,0.8016925,0.8012173,1,0.5,0.041666666666666664,0.9583333333333331
20,1,1,0.80513996,0.80513996,0.80513996,0,1.0,0.041666666666666664,0.9999999999999998
