loop,colset,n_features,auc,average_precision,uniqueness_ratio,n_rows,n_unique_rows,duplicate_rows
7,all_columns,242,0.853418593212002,0.9198871142296088,1.0,164,164,0
7,spectral,31,0.8317757009345794,0.9105215567226184,1.0,164,164,0
7,motifs_eig,96,0.7748811280537794,0.8674148675857292,1.0,164,164,0
7,eig,10,0.7297917691424824,0.8183844325859841,1.0,164,164,0
7,motifs,86,0.7263485817347106,0.8311223173451668,1.0,164,164,0
