COEFFICIENT_DEN,EV_DEN1,EV_DEN2,EV_DEN3,EV_DEN4,EV_DEN5,EV_DEN6,EV_DEN7,EV_DEN8,EV_DEN9,EV_DEN10,EV_FGRAPH0,DEN_WALKS2,DEN_WALKS3,DEN_WALKS4,DEN_WALKS5,DEN_WALKS6,DEN_WALKS7,DEN_WALKS8,DEN_WALKS9,DEN_WALKS10,DEN_WALKS11,CYCLES_MULT3,CYCLES_MULT4,CYCLES_MULT5,CYCLES_MULT6,CYCLES_MULT7,CYCLES_MULT8,CYCLES_MULT9,CYCLES_MULT10,CYCLES_MULT11,CONNECTIVITY,DOUBLE_TRIANGLES
1,-2.1181,-1.6504,-1.217,-1.0,-0.7888,-0.3404,0.7844,2.0152,2.439,4.6249,-2.7414,25,42,299,1010,5305,22246,107283,480876,2256165,10327504,14,23,50,120,274,485,611,497,200,4,11
1,-2.1263,-1.834,-1.667,-1.3076,-0.5053,-0.2916,1.475,1.7603,2.0643,4.8762,-2.8432,26,48,338,1325,6965,32473,160978,777540,3805806,18518830,16,27,74,194,391,599,697,561,235,4,14
0,-2.1518,-1.8445,-1.6682,-1.1684,-0.5946,-0.338,1.4635,1.9429,2.0653,4.6497,-3.092,25,42,289,1045,5290,23268,110313,506661,2366670,10973600,14,20,52,146,305,467,535,426,181,4,9
0,-2.2441,-1.7942,-1.204,-1.0,-0.6647,-0.335,1.4432,1.7549,2.3474,4.212,-2.7075,23,30,219,620,3104,11494,51227,206967,888318,3690841,10,12,27,73,158,251,296,239,99,4,2
1,-2.0,-2.0,-1.5321,-1.2531,-0.3907,-0.3473,1.3776,1.8794,2.2317,4.4326,-2.8207,24,36,250,820,4047,16625,75722,329256,1469949,6483213,12,15,38,108,221,337,390,314,132,4,9
1,-2.0,-1.8967,-1.4363,-1.4142,-0.103,0.0,0.8704,1.4142,2.2481,5.1482,-3.2778,27,54,417,1715,9699,47229,249361,1264725,6558597,33622501,18,40,113,248,435,626,710,575,252,4,12
1,-2.1246,-2.0,-1.4142,-1.1592,-0.3851,0.0,1.2057,1.4142,2.4936,4.4764,-2.9531,24,36,264,860,4356,17836,82496,360072,1626384,7227264,12,18,46,98,184,289,348,283,116,3,5
1,-2.3059,-1.8601,-1.4772,-1.2572,-0.257,-0.0,0.762,1.7963,2.3583,4.6921,-2.8573,25,42,305,1090,5650,24780,119137,549717,2595285,12125971,14,23,60,139,257,384,445,360,155,4,8
1,-2.1892,-1.8924,-1.4386,-1.1428,-0.4319,-0.2515,1.1231,1.3772,2.4513,5.0682,-2.5103,27,54,397,1610,8853,42560,219989,1100556,5605982,28318345,18,37,100,234,473,788,978,799,331,4,17
0,-2.1263,-1.8845,-1.5635,-1.2672,-0.5372,-0.2347,1.2006,1.5595,2.5034,4.8241,-2.7576,26,48,334,1275,6626,30282,148450,707034,3423171,16462094,16,27,70,178,376,630,786,647,269,4,10
1,-2.1283,-1.9034,-1.5615,-1.0932,-0.5633,-0.1942,0.9669,1.8389,2.4859,4.615,-3.0621,25,42,291,1020,5158,22190,104663,474396,2201185,10110397,14,21,51,131,283,470,574,467,192,4,10
1,-2.1283,-1.9034,-1.5615,-1.0932,-0.5633,-0.1942,0.9669,1.8389,2.4859,4.615,-2.6769,25,42,291,1020,5158,22190,104663,474396,2201185,10110397,14,21,51,131,283,470,574,467,192,4,10
0,-2.2036,-1.7433,-1.4089,-1.0,-0.4667,-0.13,0.6649,1.6672,2.6647,4.6282,-2.8341,25,42,303,1030,5362,22596,108199,486465,2274800,10432345,14,24,54,119,247,431,565,478,195,4,13
0,-2.1556,-1.5741,-1.3846,-1.0,-0.6317,-0.297,1.0505,1.6604,2.6218,4.41,-3.1246,24,36,260,800,4107,16016,74348,314082,1410359,6125196,12,18,37,89,197,336,424,353,145,4,5
1,-2.4437,-1.7104,-1.3655,-0.8825,-0.4989,-0.3813,0.7276,1.8512,2.5654,4.6216,-2.6535,25,42,299,1020,5275,22344,106483,480102,2237755,10269457,14,23,52,119,263,467,593,487,198,4,7
