COEFFICIENTS,EV_DEN,EV_FGRAPH
1,"[-2.49211709 -2.10283751 -1.74715035 -1.51531755 -1.         -0.91604158
 -0.41180341  1.42244042  1.83453201  2.31948374  4.60881132]","[-2.73372822 -2.07298267 -1.90206361 -1.51831415 -0.95426331 -0.64753091
 -0.33094778  1.00085504  1.61744988  2.21967491  5.32185082]"
0,"[-2.27346122 -2.27227328 -1.83822809 -1.43782878 -1.19327904 -0.76346739
 -0.42883267  1.34275451  2.12966813  2.14012267  4.59482517]","[-2.83740485 -2.24698612 -1.86270933 -1.         -1.         -0.80873692
 -0.44851283  1.02580766  1.77408357  2.12701149  5.27744732]"
-1,"[-2.27346122 -2.27197657 -1.91576981 -1.43782878 -1.23982663 -0.73508109
 -0.42883267  1.23210399  2.1318412   2.14012267  4.7987089 ]","[-2.61218509e+00 -2.34292308e+00 -2.00000000e+00 -1.57528596e+00
 -1.00000000e+00 -4.70683420e-01 -6.44045867e-17  5.22330686e-01
  1.81360650e+00  1.95574502e+00  5.70939535e+00]"
1,"[-2.62480115 -2.         -1.89039133 -1.75421536 -1.         -0.51298744
 -0.41421356  1.2581735   1.48297115  2.41421356  5.04125063]","[-2.38230181 -2.         -2.         -1.50695674 -1.         -0.69403524
 -0.41421356  0.23925033  1.06939741  2.41421356  6.27464605]"
0,"[-2.36125216 -2.         -2.         -1.73205081 -1.         -0.78433302
 -0.41421356  1.35157188  1.73205081  2.41421356  4.79401329]","[-2.78231873 -2.43650218 -1.61383748 -1.38391289 -1.14404308 -0.49359938
 -0.26386424  0.95178525  1.10909146  2.35750086  5.69970041]"
0,"[-2.36125216 -2.         -2.         -1.73205081 -1.         -0.78433302
 -0.41421356  1.35157188  1.73205081  2.41421356  4.79401329]","[-3.08775859 -1.9687119  -1.86080585 -1.51788136 -1.         -0.34169831
 -0.25410169  0.76846814  1.44838622  2.11490754  5.69919581]"
0,"[-2.48896091 -2.         -1.94439262 -1.44134731 -1.         -0.92138715
 -0.34079196  1.35493749  1.73717334  2.44678645  4.59798267]","[-2.98509247e+00 -2.18313058e+00 -1.92977821e+00 -1.41421356e+00
 -7.80574530e-01 -5.82336176e-01  5.69534664e-16  1.00763298e+00
  1.41421356e+00  2.16784190e+00  5.28543708e+00]"
0,"[-2.3013102  -2.         -2.         -1.7400819  -1.41421356 -0.61803399
 -0.3350768   1.41421356  1.61803399  2.39253713  4.98393178]","[-3.12095295e+00 -2.48119430e+00 -2.00000000e+00 -1.02174092e+00
 -6.88892183e-01 -2.06568421e-16  2.80170568e-18  2.18179234e-16
  1.17008649e+00  2.06336705e+00  6.07932682e+00]"
1,"[-2.3013102  -2.         -2.         -1.7400819  -1.41421356 -0.61803399
 -0.3350768   1.41421356  1.61803399  2.39253713  4.98393178]","[-2.76401493e+00 -2.53910642e+00 -1.69382246e+00 -1.19329878e+00
 -8.64807074e-01 -6.03661469e-01 -1.61961973e-16  1.28240173e-16
  1.06149885e+00  2.50625351e+00  6.09095876e+00]"
0,"[-2.3013102  -2.         -2.         -1.7400819  -1.41421356 -0.61803399
 -0.3350768   1.41421356  1.61803399  2.39253713  4.98393178]","[-2.83528927 -2.32040912 -1.80193774 -1.61803399 -0.88344428 -0.44504187
 -0.20944617  0.61803399  1.2469796   2.15796716  6.09062168]"
1,"[-2.3013102  -2.         -2.         -1.7400819  -1.41421356 -0.61803399
 -0.3350768   1.41421356  1.61803399  2.39253713  4.98393178]","[-2.9738197  -2.59243533 -1.77637812 -1.23392585 -0.87943519 -0.78370572
 -0.16829558  0.44271997  1.09118356  2.76668338  6.10740857]"
-1,"[-2.3013102  -2.         -2.         -1.7400819  -1.41421356 -0.61803399
 -0.3350768   1.41421356  1.61803399  2.39253713  4.98393178]","[-3.00000000e+00+0.00000000e+00j -2.73205081e+00+0.00000000e+00j
 -1.34755069e+00+0.00000000e+00j -1.00000000e+00+0.00000000e+00j
 -1.00000000e+00+0.00000000e+00j -7.99559262e-01+0.00000000e+00j
 -9.09962843e-18-5.18275377e-17j -9.09962843e-18+5.18275377e-17j
  7.32050808e-01+0.00000000e+00j  3.03895375e+00+0.00000000e+00j
  6.10815620e+00+0.00000000e+00j]"
0,"[-2.35679089 -2.         -1.92562624 -1.76607359 -1.23479104 -0.59965946
 -0.38296312  1.26494626  1.84437176  2.35817776  4.79840856]","[-2.96647428 -2.39131019 -1.79481615 -1.42159711 -0.58020239 -0.47276685
 -0.29527573  0.58740648  1.64163316  1.98152053  5.71188253]"
-1,"[-2.35679089 -2.         -1.92562624 -1.76607359 -1.23479104 -0.59965946
 -0.38296312  1.26494626  1.84437176  2.35817776  4.79840856]","[-2.78201197 -2.27783448 -1.58309543 -1.4035729  -1.19604403 -0.46548342
 -0.37514664  0.58875419  1.3069707   2.47576209  5.71170189]"
0,"[-2.3254951  -2.27969323 -1.85404702 -1.64229608 -1.         -0.54209447
 -0.34839278  1.17692269  1.66453828  2.54471389  4.60584381]","[-2.75030605e+00 -2.24859446e+00 -2.00000000e+00 -1.70130215e+00
 -5.99692541e-01 -3.50931046e-01 -2.18601909e-16  5.37810919e-01
  1.53540391e+00  2.26472833e+00  5.31288308e+00]"
0,"[-2.31443718 -2.23189536 -2.         -1.2871329  -1.22782519 -0.59026863
 -0.41777266  1.07422251  2.1176162   2.27973884  4.59775437]","[-2.90767103 -2.71338646 -1.32545899 -1.20429728 -0.86553208 -0.40848126
 -0.31911946  0.57816069  1.65864251  2.22157883  5.28556453]"
-1,"[-2.31443718 -2.23189536 -2.         -1.2871329  -1.22782519 -0.59026863
 -0.41777266  1.07422251  2.1176162   2.27973884  4.59775437]","[-2.90767103 -2.17645117 -1.55764858 -1.32545899 -0.86553208 -0.60160028
 -0.40848126  0.23320544  2.10249459  2.22157883  5.28556453]"
1,"[-2.31443718 -2.23189536 -2.         -1.2871329  -1.22782519 -0.59026863
 -0.41777266  1.07422251  2.1176162   2.27973884  4.59775437]","[-2.86619826+0.00000000e+00j -2.        +0.00000000e+00j
 -1.75367579+0.00000000e+00j -1.        -1.40380915e-16j
 -1.        +1.40380915e-16j -0.80886254+0.00000000e+00j
 -0.39894165+0.00000000e+00j  0.21075588+0.00000000e+00j
  1.65544238+0.00000000e+00j  2.67333295+0.00000000e+00j
  5.28814704+0.00000000e+00j]"
1,"[-2.52952951 -2.19037357 -1.73205081 -1.49030763 -1.         -0.8333664
 -0.72697024  1.55115698  1.73205081  2.21437166  5.0050187 ]","[-2.66893139 -2.20262529 -2.         -1.35320915 -1.         -0.66825251
 -0.44375401  0.82210279  1.31628406  2.03335467  6.16503082]"
1,"[-2.52952951 -2.19037357 -1.73205081 -1.49030763 -1.         -0.8333664
 -0.72697024  1.55115698  1.73205081  2.21437166  5.0050187 ]","[-2.67513087 -2.25885125 -1.94302524 -1.53918887 -1.43899212 -0.58815441
 -0.4347922   0.94812981  1.21431974  2.53629947  6.17938594]"
0,"[-2.44795142 -2.21646881 -1.75202071 -1.43354737 -1.         -0.81351592
 -0.71815269  1.39522346  1.90269804  2.28965932  4.7940761 ]","[-2.74528901 -2.46742959 -1.92171211 -1.49936964 -0.84355789 -0.45786772
 -0.16837546  0.94976082  1.45428529  2.0023548   5.6972005 ]"
-1,"[-2.44795142 -2.21646881 -1.75202071 -1.43354737 -1.         -0.81351592
 -0.71815269  1.39522346  1.90269804  2.28965932  4.7940761 ]","[-2.47328577 -2.39125118 -1.65215637 -1.50487868 -1.26869616 -0.74899989
 -0.37883548  0.94390598  1.44540034  2.33430118  5.69449603]"
0,"[-2.68373787 -2.         -1.73205081 -1.         -1.         -1.
 -0.79870176  1.48011767  1.73205081  2.39377177  4.6085502 ]","[-2.93815169 -2.02853596 -1.80193774 -1.57735159 -0.97285652 -0.44504187
 -0.32774698  1.2469796   1.45418242  2.06945305  5.32100725]"
0,"[-2.49706942 -2.27657809 -1.69200706 -1.         -1.         -1.
 -0.73864384  1.25629651  2.07634355  2.27953637  4.59212199]","[-2.64248251 -2.26185901 -2.         -1.43708226 -0.96167153 -0.66551138
 -0.21537156  1.02610627  1.75498758  2.13815275  5.26473166]"
-1,"[-2.49706942 -2.27657809 -1.69200706 -1.         -1.         -1.
 -0.73864384  1.25629651  2.07634355  2.27953637  4.59212199]","[-2.39012531 -2.36692113 -1.78778903 -1.63090573 -0.93059313 -0.67167025
 -0.6072993   1.0945574   1.76593282  2.25990886  5.2649048 ]"
1,"[-2.40758436 -2.23606798 -1.627654   -1.         -1.         -1.
 -0.75498763  1.0565203   2.23606798  2.31884465  4.41486105]","[-2.64861771 -2.         -1.53208889 -1.502837   -1.34764771 -0.74033858
 -0.34729636  1.12060344  1.87938524  2.18694412  4.93189345]"
0,"[-2.58054603 -2.06592559 -1.70425606 -1.43272291 -1.         -0.87599661
 -0.49305591  1.19951442  1.97112126  2.39373605  4.58813139]","[-3.03871233 -2.15614142 -1.75832756 -1.19048447 -1.         -0.69895023
 -0.28438508  1.24708057  1.42404832  2.20137665  5.25449554]"
0,"[-2.58054603 -2.06592559 -1.70425606 -1.43272291 -1.         -0.87599661
 -0.49305591  1.19951442  1.97112126  2.39373605  4.58813139]","[-3.00783121e+00 -2.52113147e+00 -1.58913602e+00 -1.36822383e+00
 -8.35243235e-01 -5.27902764e-01  2.45146219e-16  1.02412503e+00
  1.47730804e+00  2.09365993e+00  5.25437553e+00]"
0,"[-2.58054603 -2.06592559 -1.70425606 -1.43272291 -1.         -0.87599661
 -0.49305591  1.19951442  1.97112126  2.39373605  4.58813139]","[-2.59651352 -2.29743948 -1.72307844 -1.47083959 -0.87401171 -0.76936632
 -0.5652201   1.1589335   1.35836997  2.52462477  5.25454091]"
-1,"[-2.60082858 -2.04266176 -1.76646591 -1.43849348 -1.         -0.83920595
 -0.66205727  1.41847015  1.95275658  2.1558225   4.82266372]","[-2.58457989 -1.94499792 -1.68025106 -1.40125181 -1.36571762 -1.
 -0.50636434  0.98905961  1.5510534   2.14142021  5.80162943]"
-1,"[-2.37882088 -2.16361382 -1.83713766 -1.73205081 -1.         -0.80498981
 -0.33788517  1.41210345  1.73205081  2.28037676  4.82996712]","[-2.65764131e+00 -2.32362097e+00 -2.00000000e+00 -1.26070451e+00
 -1.00000000e+00 -6.62408071e-01  1.53629198e-16  9.35894845e-01
  1.00000000e+00  2.12879775e+00  5.83968226e+00]"
1,"[-2.51602642 -2.27047413 -1.68548068 -1.27704492 -1.         -0.76079895
 -0.42046722  1.17250926  2.10281032  2.24435631  4.41061643]","[-2.82345955 -2.41416709 -1.75834482 -1.25511499 -0.71932793 -0.44384867
 -0.36673052  0.98013129  1.91392928  1.96950038  4.9174326 ]"
0,"[-2.35606207 -2.22511749 -1.83961559 -1.58544839 -1.         -0.75540561
 -0.35088388  1.30021401  1.89966286  2.29130634  4.62134983]","[-2.42427828 -2.30854759 -1.95964491 -1.49877656 -0.92505085 -0.81927416
 -0.22800048  1.18588325  1.42074037  2.17387696  5.38307224]"
1,"[-2.43894567 -2.43890352 -1.73778268 -1.3539275  -1.11688435 -0.73507029
 -0.5192545   1.28684593  1.77747383  2.24105537  5.03539336]","[-2.73722481 -2.17645117 -1.55764858 -1.46751301 -0.82646271 -0.60160028
 -0.58051644  0.23320544  1.31941037  2.10249459  6.29230659]"
1,"[-2.43894567 -2.43890352 -1.73778268 -1.3539275  -1.11688435 -0.73507029
 -0.5192545   1.28684593  1.77747383  2.24105537  5.03539336]","[-3.07262029 -2.30538788 -1.73622532 -1.69510112 -0.94996897 -0.7476568
 -0.29964045  0.12544154  1.71142638  2.66382846  6.30590446]"
0,"[-2.57252556 -2.         -1.83258074 -1.38672034 -1.30277564 -0.61803399
 -0.60462401  1.57373985  1.61803399  2.30277564  4.8227108 ]","[-3.12307836e+00 -3.10946830e+00 -1.48434308e+00 -1.14391965e+00
 -6.95770655e-01 -3.69109503e-01 -1.68417742e-16  6.78842688e-01
  1.49346675e+00  1.91496870e+00  5.83841142e+00]"
0,"[-2.57252556 -2.         -1.83258074 -1.38672034 -1.30277564 -0.61803399
 -0.60462401  1.57373985  1.61803399  2.30277564  4.8227108 ]","[-3.27445521 -1.9711806  -1.88450823 -1.32525612 -1.14380197 -0.53135138
 -0.27484193  0.57705542  1.90716414  2.07966024  5.84151564]"
-1,"[-2.57252556 -2.         -1.83258074 -1.38672034 -1.30277564 -0.61803399
 -0.60462401  1.57373985  1.61803399  2.30277564  4.8227108 ]","[-2.40944747 -2.         -1.61803399 -1.50186917 -1.30277564 -1.13304323
 -0.40928238  0.61803399  1.64004594  2.30277564  5.81359632]"
0,"[-3.         -1.65144224 -1.56155281 -1.         -1.         -1.
 -0.59950071  1.          1.82620368  2.56155281  4.42473926]","[-2.61803399 -2.         -1.61803399 -1.39542603 -1.30277564 -0.57653473
 -0.38196601  0.61803399  2.          2.30277564  4.97196077]"
0,"[-2.80189813 -1.87227621 -1.65063958 -1.37032595 -1.         -0.82883082
 -0.42872822  0.79681512  2.12190436  2.44578704  4.58819238]","[-3.13985371e+00 -2.17645117e+00 -1.55764858e+00 -1.41823838e+00
 -7.02894006e-01 -6.01600277e-01 -2.04294845e-17  2.33205437e-01
  2.00647041e+00  2.10249459e+00  5.25451569e+00]"
0,"[-2.80189813 -1.87227621 -1.65063958 -1.37032595 -1.         -0.82883082
 -0.42872822  0.79681512  2.12190436  2.44578704  4.58819238]","[-2.46947526 -2.14358956 -1.85010358 -1.71652695 -0.87578704 -0.87237726
 -0.48370113  1.04694518  1.96085495  2.1484207   5.25533995]"
-1,"[-2.80189813 -1.87227621 -1.65063958 -1.37032595 -1.         -0.82883082
 -0.42872822  0.79681512  2.12190436  2.44578704  4.58819238]","[-2.30538788 -2.14358956 -1.73622532 -1.71652695 -0.87237726 -0.7476568
 -0.48370113  0.12544154  1.96085495  2.66382846  5.25533995]"
-1,"[-2.51223622 -2.15864941 -1.94552812 -1.28894993 -1.         -0.86654669
 -0.51316156  1.61007488  1.68525494  2.13334256  4.85639955]","[-2.82450336 -2.41980886 -1.86039599 -1.44392352 -0.77113373 -0.6694006
 -0.46152933  0.85872385  1.30442255  2.32934557  5.95820343]"
0,"[-2.49991064 -2.08489827 -1.88556467 -1.36621382 -1.         -0.79499338
 -0.57108746  1.46899223  1.9118982   2.19804575  4.62373207]","[-2.85000249 -2.37065644 -1.56372596 -1.30800754 -1.         -0.60806297
 -0.31538978  1.20801584  1.33694606  2.08039415  5.39048913]"
0,"[-2.43913757 -2.23606798 -1.86032512 -1.         -1.         -1.
 -0.50127311  1.39799382  2.          2.23606798  4.40274198]","[-2.85554271 -2.1924845  -1.51808121 -1.50097191 -1.1377298  -0.55345496
 -0.27493127  1.55310135  1.63442512  1.95825237  4.88741752]"
1,"[-2.43913757 -2.23606798 -1.86032512 -1.         -1.         -1.
 -0.50127311  1.39799382  2.          2.23606798  4.40274198]","[-2.81847134 -2.         -1.56365233 -1.37423266 -1.30277564 -0.61803399
 -0.41951575  1.28849113  1.61803399  2.30277564  4.88738094]"
0,"[-2.61803399 -2.         -2.         -1.30277564 -0.61803399 -0.61803399
 -0.38196601  1.61803399  1.61803399  2.30277564  4.        ]","[-2.61803399 -2.         -2.         -1.30277564 -0.61803399 -0.61803399
 -0.38196601  1.61803399  1.61803399  2.30277564  4.        ]"
0,"[-2.60432072 -2.40876867 -1.80193774 -1.44924062 -1.         -0.44504187
 -0.1847454   1.          1.2469796   2.59024199  5.05683342]","[-2.87938524e+00 -2.80848618e+00 -1.55425298e+00 -1.00000000e+00
 -8.88463486e-01 -6.52703645e-01  2.95264903e-16  3.89529744e-01
  5.32088886e-01  2.49550973e+00  6.36616317e+00]"
1,"[-2.60432072 -2.40876867 -1.80193774 -1.44924062 -1.         -0.44504187
 -0.1847454   1.          1.2469796   2.59024199  5.05683342]","[-2.87938524 -2.61803399 -1.73352986 -1.28143725 -0.88672523 -0.65270364
 -0.38196601  0.40910129  0.53208889  3.11159297  6.38099808]"
0,"[-2.69242837 -2.06149885 -1.79728991 -1.44146794 -1.         -0.39633853
 -0.34861054  0.69382246  1.76401493  2.68504266  4.5947541 ]","[-3.28553420e+00+0.00000000e+00j -2.48119430e+00+0.00000000e+00j
 -1.56761014e+00+0.00000000e+00j -8.93825530e-01+0.00000000e+00j
 -6.88892183e-01+0.00000000e+00j -3.30891409e-16+0.00000000e+00j
  7.98277897e-17-7.71975207e-17j  7.98277897e-17+7.71975207e-17j
  1.17008649e+00+0.00000000e+00j  2.46970997e+00+0.00000000e+00j
  5.27725990e+00+0.00000000e+00j]"
0,"[-2.69242837 -2.06149885 -1.79728991 -1.44146794 -1.         -0.39633853
 -0.34861054  0.69382246  1.76401493  2.68504266  4.5947541 ]","[-2.5969011  -2.06674342 -1.80193774 -1.61803399 -1.2092519  -0.44504187
 -0.16898044  0.61803399  1.2469796   2.76436767  5.27750918]"
-1,"[-2.69242837 -2.06149885 -1.79728991 -1.44146794 -1.         -0.39633853
 -0.34861054  0.69382246  1.76401493  2.68504266  4.5947541 ]","[-2.76401493e+00 -2.07536936e+00 -1.69382246e+00 -1.34556247e+00
 -8.93805682e-01 -6.03661469e-01 -1.53332341e-16  4.53581514e-17
  1.06149885e+00  3.03576607e+00  5.27897144e+00]"
1,"[-2.54924581 -2.1063697  -1.837025   -1.55929595 -1.54561962 -0.34613641
 -0.15759673  1.16509438  1.65816801  2.20146392  5.07656293]","[-2.71376521 -2.14112853 -1.90363576 -1.68344327 -1.12124535 -0.62913509
  0.16676661  0.21567551  1.26835332  2.05966119  6.48189657]"
1,"[-2.54924581 -2.1063697  -1.837025   -1.55929595 -1.54561962 -0.34613641
 -0.15759673  1.16509438  1.65816801  2.20146392  5.07656293]","[-3.67062252 -2.21109339 -1.57357647 -1.36268307 -0.90326782 -0.65512103
 -0.4505825   0.20583671  1.48258991  2.58687134  6.55164883]"
-1,"[-2.4508597  -2.         -1.85860131 -1.66913609 -1.54561407 -0.41601141
 -0.12269318  1.27171985  1.68770879  2.23257079  4.87091634]","[-2.92028423 -2.         -1.69005289 -1.46601169 -1.32218412 -0.71444483
 -0.13856888  0.40474718  1.48641916  2.32716212  6.03321818]"
1,"[-2.45476883 -2.1109591  -1.89894226 -1.43189763 -1.28573203 -0.49627336
 -0.10932777  1.20582132  1.7353019   2.41199329  4.43478445]","[-2.4620473  -2.33350188 -1.55926965 -1.44195338 -1.33194901 -0.4292014
 -0.1306146   0.62118449  1.70646826  2.33545814  5.02542632]"
0,"[-2.27988171 -2.18527292 -1.76698541 -1.64917966 -1.54782873 -0.39780742
 -0.1191891   1.10488492  1.96656251  2.23369008  4.64100743]","[-2.71338646 -2.2295016  -1.78272797 -1.22351944 -1.20429728 -0.31911946
 -0.2934848   0.57816069  1.65864251  2.04365939  5.48557442]"
0,"[-2.46050487 -2.45024439 -1.7658374  -1.16246321 -1.         -0.40421136
 -0.23912328  1.          1.69962815  2.56659906  4.21615731]","[-2.71338646 -2.14004124 -1.73246679 -1.20429728 -0.90122237 -0.39902531
 -0.31911946  0.57816069  1.65864251  2.65816797  4.51458773]"
-1,"[-2.52498162 -2.27988171 -1.64917966 -1.54782873 -1.15339804 -0.39780742
 -0.21837699  0.72351534  2.17324132  2.23369008  4.64100743]","[-2.2295016  -2.17645117 -1.78272797 -1.55764858 -1.22351944 -0.60160028
 -0.2934848   0.23320544  2.04365939  2.10249459  5.48557442]"
2,"[-2.45024439 -2.06962793 -1.7658374  -1.16246321 -1.         -0.58277198
 -0.40421136  0.36198928  2.29041062  2.56659906  4.21615731]","[-2.17645117 -2.14004124 -1.73246679 -1.55764858 -0.90122237 -0.60160028
 -0.39902531  0.23320544  2.10249459  2.65816797  4.51458773]"
-1,"[-2.70802807 -1.95416447 -1.85711254 -1.39322436 -1.20487203 -0.44375015
 -0.19861966  0.75766797  1.95374921  2.39746522  4.65088887]","[-2.936621   -2.08553243 -1.76966679 -1.36039173 -0.85029611 -0.79124192
 -0.29666573  0.22095955  1.67147326  2.65655601  5.54142688]"
-1,"[-2.75798563 -2.06149885 -1.84852735 -1.34750844 -1.         -0.39633853
 -0.22383698  0.69382246  1.76401493  2.5050117   4.6728467 ]","[-2.71376521 -2.14112853 -1.93283996 -1.65628904 -0.88675295 -0.62913509
  0.18792944  0.21567551  1.26835332  2.66849165  5.61946086]"
-1,"[-2.55204048e+00 -2.00000000e+00 -1.82647939e+00 -1.73205081e+00
 -1.41421356e+00 -4.56919918e-01 -1.88011576e-16  1.41421356e+00
  1.73205081e+00  1.90433493e+00  4.93110486e+00]","[-3.56155281e+00+0.00000000e+00j -2.30277564e+00+0.00000000e+00j
 -2.00000000e+00+0.00000000e+00j -1.67289016e+00+0.00000000e+00j
 -7.34885747e-01+0.00000000e+00j  3.56206147e-17-6.32486409e-17j
  3.56206147e-17+6.32486409e-17j  5.61552813e-01+0.00000000e+00j
  1.30277564e+00+0.00000000e+00j  2.04564404e+00+0.00000000e+00j
  6.36213187e+00+0.00000000e+00j]"
1,"[-2.29314866e+00 -2.17532775e+00 -2.00000000e+00 -1.64843384e+00
 -1.12603250e+00 -4.83844193e-01 -1.86495299e-16  1.12603250e+00
  1.95832589e+00  2.17532775e+00  4.46710080e+00]","[-3.10946830e+00 -2.00000000e+00 -1.92042850e+00 -1.48434308e+00
 -8.98228643e-01 -4.35361181e-01  2.08972903e-16  6.78842688e-01
  1.91496870e+00  2.04504687e+00  5.20897146e+00]"
1,"[-2.94493366 -2.1835118  -1.80193774 -1.16448979 -1.         -0.44504187
 -0.23902064  1.          1.2469796   2.39096981  5.14098609]","[-3.30277564e+00 -2.53208889e+00 -1.72454913e+00 -1.34729636e+00
 -1.23420196e+00 -8.10286698e-01 -4.69406128e-16  3.02775638e-01
  8.79385242e-01  2.99652240e+00  6.77251539e+00]"
0,"[-2.63865763 -2.07607027 -1.91898595 -1.30972147 -1.20183335 -0.30439224
 -0.28462968  0.83083003  1.68250707  2.58108965  4.63986383]","[-2.54884782 -2.06799247 -1.80193774 -1.61803399 -1.1021724  -0.44504187
 -0.20533398  0.61803399  1.2469796   2.45018774  5.47415893]"
-1,"[-2.63865763 -2.07607027 -1.91898595 -1.30972147 -1.20183335 -0.30439224
 -0.28462968  0.83083003  1.68250707  2.58108965  4.63986383]","[-2.9738197  -2.07835414 -1.77637812 -1.32956172 -0.86297937 -0.78370572
 -0.20508207  0.44271997  1.09118356  2.9721249   5.5038524 ]"
0,"[-3.0825472  -1.80193774 -1.47079287 -1.15658334 -1.         -0.44504187
 -0.35007558  1.          1.2469796   2.83983997  4.22015902]","[-2.83339675 -1.80193774 -1.61803399 -1.38689841 -0.90176665 -0.44504187
 -0.3399683   0.61803399  1.2469796   2.9314316   4.53059851]"
1,"[-2.76997352 -2.         -1.86080585 -1.69315773 -1.         -0.42315779
 -0.25410169  1.          1.77417587  2.11490754  5.11211317]","[-3.73205081 -1.86080585 -1.70673927 -1.29544053 -1.         -0.56989388
 -0.26794919 -0.25410169  1.90445414  2.11490754  6.66761954]"
-1,"[-2.33395979 -2.17632671 -2.         -1.65406977 -1.         -0.54438193
 -0.25139951  1.09993083  2.01120458  2.19740589  4.65159641]","[-3.24765476+0.0000000e+00j -2.18770608+0.0000000e+00j
 -1.54144045+0.0000000e+00j -1.        -5.9886079e-17j
 -1.        +5.9886079e-17j -0.75954455+0.0000000e+00j
 -0.28265567+0.0000000e+00j  0.2803611 +0.0000000e+00j
  1.9362725 +0.0000000e+00j  2.26295107+0.0000000e+00j
  5.53941683+0.0000000e+00j]"
1,"[-2.30277564 -2.19291536 -1.86080585 -1.72048276 -1.         -0.58021362
 -0.25410169  1.30277564  2.06128559  2.11490754  4.43232616]","[-2.76045662 -1.95020553 -1.86080585 -1.57896903 -1.         -0.32096356
 -0.25410169  0.82778877  1.76475704  2.11490754  5.01804894]"
0,"[-2.50785771 -2.38266326 -1.64104308 -1.29656933 -1.         -0.4326712
 -0.32646662  1.          2.02500989  2.35017296  4.21208835]","[-2.75030605 -2.33055622 -1.70130215 -1.         -0.8461379  -0.42807963
 -0.35093105  0.53781092  2.10702332  2.26472833  4.49775043]"
1,"[-2.40009843 -2.         -2.         -1.86080585 -1.         -0.3442466
 -0.25410169  1.          2.07257125  2.11490754  4.67177378]","[-3.00000000e+00 -2.34292308e+00 -2.00000000e+00 -1.00000000e+00
 -8.10821027e-01 -4.70683420e-01 -1.55179556e-16 -9.14120241e-17
  1.81360650e+00  2.19688678e+00  5.61393425e+00]"
1,"[-3.01515308e+00 -2.05371123e+00 -1.61803399e+00 -1.43283281e+00
 -1.41421356e+00  4.89251671e-19  1.85021561e-01  6.18033989e-01
  1.41421356e+00  2.10318367e+00  5.21349189e+00]","[-4.30277564 -1.88399511 -1.80193774 -1.19470714 -0.83469255 -0.69722436
 -0.44504187  0.24139734  1.2469796   2.43865797  7.2333395 ]"
-1,"[-2.69118712 -2.         -1.91898595 -1.46292947 -1.30972147 -0.28462968
  0.16755557  0.83083003  1.68250707  2.23168291  4.7548781 ]","[-3.67062252 -2.14532367 -1.49030573 -1.36268307 -0.93601582 -0.65512103
  0.19116023  0.20583671  1.48258991  2.29978715  6.08069785]"
1,"[-3.35889894e+00 -1.87938524e+00 -1.87938524e+00 -1.00000000e+00
 -1.00000000e+00 -4.60127785e-17  3.47296355e-01  3.47296355e-01
  1.53208889e+00  1.53208889e+00  5.35889894e+00]","[-5.         -1.87938524 -1.87938524 -1.         -1.         -1.
  0.34729636  0.34729636  1.53208889  1.53208889  8.        ]"
1,"[-2.66618486 -2.06827507 -1.81461362 -1.71036726 -1.07365298 -0.51450298
 -0.26919559  1.13439944  1.58088494  2.33539909  5.06610889]","[-2.85947261e+00 -2.43520795e+00 -1.55795497e+00 -1.34990921e+00
 -8.46310543e-01 -6.64384830e-01 -3.45080452e-01  1.70724654e-16
  1.27012138e+00  2.37698035e+00  6.41121883e+00]"
-1,"[-2.3628698  -2.1497211  -1.83750984 -1.71099144 -1.         -0.71326167
 -0.33423496  1.32689761  1.88139023  2.27460959  4.6256914 ]","[-2.68535963 -2.24703469 -1.91969579 -1.21803215 -0.87462798 -0.65048551
 -0.46105006  1.03405128  1.38595397  2.23326629  5.40301426]"
1,"[-2.32150134 -2.26379302 -1.93503568 -1.54056073 -1.09357058 -0.49834239
 -0.34997499  1.14709252  1.8932601   2.32719524  4.63523088]","[-2.34869395 -2.23357105 -1.94013769 -1.37059482 -0.86317725 -0.73861902
 -0.35600453  0.21103059  1.96432578  2.24469774  5.43074422]"
-1,"[-2.48147638 -2.14590454 -1.92162942 -1.59695357 -1.         -0.36244378
 -0.3269086   0.86692577  1.90560945  2.42869665  4.63408443]","[-2.64741432e+00 -2.27116905e+00 -1.93023261e+00 -1.16126115e+00
 -8.86915539e-01 -4.96226613e-01  1.11581006e-17  1.89022753e-16
  1.52997148e+00  2.43668957e+00  5.42655824e+00]"
-1,"[-2.52510478 -2.06803956 -1.79686254 -1.64893268 -1.09328449 -0.4985361
 -0.31604571  0.95711385  2.04287784  2.3251171   4.62169707]","[-2.66110731 -2.12235952 -1.76418108 -1.37967672 -0.8685452  -0.73660018
 -0.30056635  0.26234402  1.78089773  2.406594    5.3832006 ]"
0,"[-2.28610012 -2.26417722 -1.88413936 -1.69255093 -1.10259104 -0.64395235
 -0.32084284  1.23324686  1.78876072  2.34977153  4.82257476]","[-3.29904557e+00 -2.42432631e+00 -2.14668006e+00 -1.00000000e+00
 -6.86135210e-01 -4.16234809e-01  1.12081156e-16  5.24029974e-01
  1.56044371e+00  2.05093215e+00  5.83701613e+00]"
1,"[-2.55267888 -2.24007935 -1.71715041 -1.43771561 -1.         -0.44176608
 -0.30574956  0.8125246   2.08110229  2.39077367  4.41073935]","[-2.55192279 -2.19159695 -1.8787046  -1.37528692 -1.12141674 -0.47972864
 -0.12620673  0.57304651  1.74064707  2.49334498  4.91782481]"
