Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,sample_index
-0.010744739,0.07040666,-0.046670284,-0.00013335147,0.0,0.03157921,0.025553547,-0.0032452568,0.0,-0.028429933,0
-0.009449292,0.07100182,0.028891958,0.007007645,0.0,0.03157921,0.025553547,-0.0032452568,0.0,0.026465338,1
-0.010744739,0.07040666,0.029937867,-0.00013335147,0.0,0.03157921,0.025553547,-0.0032452568,0.0,-0.027399104,2
0.013531883,0.06768482,-0.0328884,0.004701307,0.0,0.03157921,0.026440006,0.01126037,0.0,0.027818635,3
-0.013509798,-0.041265488,0.028932575,-0.010384617,0.0,-0.0184383,0.026440006,-0.0064885123,0.0,-0.027399104,4
0.01845211,0.042964388,0.031297006,0.004701307,0.0,-0.017652756,0.026440006,0.01126037,0.0,0.026465338,5
-0.009449292,0.07100182,-0.045332067,0.007007645,0.0,0.03157921,0.025553547,-0.0032452568,0.0,0.027818635,6
-0.013509798,0.03800093,-0.04767558,-0.00013335147,0.0,-0.0184383,0.025553547,-0.0032452568,0.0,-0.028429933,7
0.013531883,0.06656596,0.0018712704,0.004701307,0.0,0.03157921,0.025553547,-0.0032452568,0.0,0.027818635,8
0.016454658,0.06656596,0.028891958,0.0017785328,0.0,0.03157921,0.025553547,-0.0032452568,0.0,0.026465338,9
-0.0069714766,0.07040666,0.032342914,-0.010384617,0.0,-0.017652756,0.025553547,-0.0032452568,0.0,-0.027399104,10
0.0003938487,0.07212068,0.031297006,0.007007645,0.0,-0.017652756,0.026440006,0.01126037,0.0,0.026465338,11
0.01845211,-0.14858727,0.032342914,0.004701307,0.0,-0.017652756,-0.063994646,-0.009221973,0.0,-0.025875278,12
0.016454658,0.06768482,0.027538665,-0.008472733,0.0,0.03157921,0.026440006,0.01126037,0.0,0.027818635,13
0.021374885,0.042369228,0.032342914,-0.008472733,0.0,-0.017652756,0.026440006,0.01126037,0.0,-0.027399104,14
0.016454658,0.06768482,-0.045332067,0.0017785328,0.0,0.03157921,0.026440006,0.01126037,0.0,0.027818635,15
-0.0036666568,0.03233829,-0.029411139,-0.00013335147,0.0,-0.0184383,-0.0077412566,0.01126037,0.0,-0.028429933,16
-0.0036666568,-0.15183671,-0.029411139,-0.010384617,0.0,-0.0184383,-0.063994646,-0.009221973,0.0,-0.026906107,17
-0.0122143505,0.03859609,-0.04633736,0.007007645,0.0,-0.0184383,0.025553547,-0.0032452568,0.0,0.027818635,18
-0.0023712094,4.0118815e-05,0.027886666,0.007007645,0.0,-0.0184383,0.020206807,-0.0064885123,0.0,0.026465338,19
-0.0122143505,-0.15183671,-0.029411139,0.007007645,0.0,-0.0184383,-0.063994646,0.008051821,0.0,-0.026906107,20
-0.009449292,0.07212068,-0.028072922,0.007007645,0.0,-0.0184383,0.026440006,0.01126037,0.0,0.027818635,21
-0.0122143505,0.03971495,0.031297006,0.007007645,0.0,-0.017652756,0.026440006,0.00022845087,0.0,0.026465338,22
0.013531883,0.06768482,0.030204356,0.004701307,0.0,0.030266814,-0.00022600102,0.01126037,0.0,0.026465338,23
0.013531883,0.06656596,-0.028353237,0.004701307,0.0,0.03157921,0.025553547,-0.0032452568,0.0,0.027818635,24
-0.009736535,0.03911979,0.032342914,-0.010384617,0.0,-0.017652756,-0.063994646,0.009944415,0.0,-0.027399104,25
0.021374885,0.042369228,0.028932575,0.0017785328,0.0,-0.0184383,0.025989931,0.008240628,0.0,-0.027399104,26
-0.013509798,-0.15183671,0.032342914,-0.010384617,0.0,-0.017652756,-0.063994646,-0.009221973,0.0,-0.025875278,27
-0.010744739,0.07152552,0.032342914,-0.00013335147,0.0,-0.017652756,0.026440006,0.01126037,0.0,-0.027399104,28
-0.0036666568,-0.15183671,-0.04767558,-0.0063531552,0.0,-0.0184383,-0.063994646,-0.009221973,0.0,-0.026906107,29
-0.0122143505,-0.15378402,-0.04633736,0.007007645,0.0,-0.0184383,-0.063994646,-0.009221973,0.0,0.026799995,30
