"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11"
0,-2.4914684604969324,-2.0000000000000004,-1.9383406783965766,-1.7633356180051043,-0.9999999999999998,-0.5498341101219858,-0.3372818425268298,1.0517968532263855,1.6645781860186355,2.5595596580062105,4.8043260122961975
1,-2.3511720678829118,-2.0000000000000004,-1.8216637715491626,-1.8158691869224872,-1.275417403422344,-0.8461690905829222,-0.42869763769023755,1.4881997686824286,1.893219019187057,2.179633093449657,4.977937276730922
1,-2.3361249104196533,-2.0000000000000013,-1.8909342243943257,-1.7097945993407175,-1.209326019331238,-0.8601700677804213,-0.40537893349807436,1.5967499969748167,1.8786931910006008,2.1374156977451793,4.7988698690438305
1,-2.279693228435092,-2.2360679774997907,-1.7320508075688776,-1.6422960770523423,-0.9999999999999999,-0.9999999999999987,-0.34839277752361,1.6645382751085547,1.7320508075688765,2.236067977499788,4.605843807902493
1,-2.492117086249371,-2.102837509917824,-1.7471503515215272,-1.5153175462798418,-0.9999999999999999,-0.9160415760283356,-0.4118034129296401,1.4224404198239728,1.834532006036999,2.3194837415399654,4.608811315525604
0,-2.273461217175994,-2.272273284746492,-1.8382280858367521,-1.4378287795591498,-1.1932790414375605,-0.7634673880585451,-0.4288326713887391,1.3427545066976927,2.129668128120744,2.1401226681238845,4.594825165260913
1,-2.273461217175995,-2.2719765662428375,-1.9157698108163774,-1.4378287795591485,-1.2398266259429411,-0.7350810900517993,-0.4288326713887425,1.2321039924139674,2.1318412037801093,2.1401226681238867,4.798708896859878
1,-2.6248011456402334,-1.9999999999999978,-1.8903913259410545,-1.7542153641707248,-1.0000000000000004,-0.512987441829287,-0.41421356237309614,1.258173496390035,1.4829711477449263,2.414213562373094,5.041250633446339
0,-2.3612521559998845,-1.9999999999999993,-1.999999999999998,-1.7320508075688774,-0.9999999999999998,-0.7843330159715558,-0.41421356237309553,1.3515718821151752,1.7320508075688767,2.4142135623730927,4.794013289856267
0,-2.4889609099509697,-2.0000000000000036,-1.9443926227748016,-1.441347306671665,-1.,-0.9213871533047904,-0.3407919641483237,1.354937493320314,1.7371733430271241,2.446786448837291,4.597982671665823
1,-2.3013102039081867,-1.9999999999999996,-1.9999999999999996,-1.740081904268867,-1.4142135623730951,-0.6180339887498927,-0.3350767959820898,1.4142135623730965,1.6180339887498931,2.392537129089928,4.983931775069217
1,-2.3567908866501917,-1.9999999999999973,-1.9256262419697883,-1.7660735861707095,-1.23479104278468,-0.5996594566273948,-0.38296311908289343,1.26494625856008,1.8443717587733521,2.358177758354985,4.798408557597238
0,-2.325495095608538,-2.2796932284350913,-1.8540470181169204,-1.6422960770523423,-1.0000000000000009,-0.5420944654049158,-0.3483927775236106,1.1769226864468687,1.6645382751085531,2.544713892683506,4.60584380790249
1,-2.3144371805708386,-2.231895360773252,-2.,-1.2871328997998048,-1.2278251886501388,-0.5902686304838345,-0.4177726586652227,1.074222507987846,2.1176162028666314,2.2797388394684206,4.597754368620194
1,-2.5295295059773566,-2.1903735677151066,-1.7320508075688772,-1.4903076294354547,-1.0000000000000016,-0.8333663978585648,-0.7269702379756526,1.5511569767175855,1.7320508075688767,2.2143716641100215,5.0050186981345295
1,-2.4479514174789725,-2.216468809110341,-1.7520207089745778,-1.433547370907015,-1.0000000000000009,-0.8135159201472222,-0.7181526938324365,1.3952234555534695,1.9026980437897318,2.2896593198078907,4.794076101299472
0,-2.683737873338913,-2.0000000000000004,-1.7320508075688774,-1.0000000000000013,-1.0000000000000004,-0.9999999999999998,-0.7987017629421792,1.4801176676709507,1.7320508075688776,2.393771772038768,4.608550196571375
1,-2.4970694179833943,-2.276578093815619,-1.6920070593211995,-1.0000000000000002,-0.9999999999999996,-0.9999999999999993,-0.7386438449268808,1.2562965093533067,2.076343547241022,2.279536367332282,4.592121992120482
1,-2.4075843571698288,-2.23606797749979,-1.627654003662271,-1.0000000000000007,-1.0000000000000004,-1.0000000000000002,-0.7549876301617059,1.056520300212999,2.2360679774997907,2.318844645043892,4.414861045736914
0,-2.580546032129855,-2.065925592181049,-1.7042560641689641,-1.432722906838528,-0.9999999999999993,-0.8759966135514685,-0.4930559089623549,1.1995144189568068,1.97112126499569,2.3937360472971547,4.588131386582568
1,-2.6008285771947492,-2.0426617638168945,-1.7664659068859034,-1.4384934825524065,-1.,-0.8392059526113911,-0.6620572689974077,1.4184701484786157,1.9527565770086348,2.15582250177162,4.82266372479988
1,-2.378820879463162,-2.1636138182015,-1.837137658972077,-1.732050807568878,-1.0000000000000004,-0.8049898095638816,-0.33788516587816075,1.412103452940113,1.7320508075688803,2.2803767578490883,4.829967121289577
1,-2.516026418003885,-2.2704741261919903,-1.6854806815834058,-1.2770449241147386,-0.9999999999999992,-0.7607989542493898,-0.42046721535509507,1.1725092649339404,2.102810317500138,2.2443563119948164,4.410616425069608
0,-2.3560620654632194,-2.2251174922687156,-1.8396155913680645,-1.5854483945398414,-1.0000000000000002,-0.7554056053539598,-0.350883884051286,1.3002140064846877,1.899662859005725,2.2913063374387095,4.6213498301159674
1,-2.438945666029659,-2.438903518626036,-1.737782680967537,-1.3539274961159928,-1.116884348716497,-0.7350702900016132,-0.5192544973196761,1.2868459349115915,1.7774738340402363,2.24105536983205,5.035393358993133
1,-2.572525558336629,-2.0000000000000004,-1.8325807415540234,-1.3867203440185727,-1.3027756377319941,-0.6180339887498949,-0.6046240087690504,1.5737398544402625,1.6180339887498947,2.3027756377319957,4.822710798238013
0,-3.000000000000001,-1.6514422366441963,-1.561552812808829,-1.,-0.9999999999999999,-0.999999999999999,-0.5995007089664901,0.9999999999999996,1.8262036820215788,2.5615528128088316,4.424739263589112
1,-2.8018981285716116,-1.8722762128531791,-1.6506395756619263,-1.3703259454760128,-1.0000000000000002,-0.8288308196787295,-0.42872822024015966,0.7968151158702351,2.1219043626548877,2.445787042458958,4.588192381497539
1,-2.512236219803954,-2.158649405964329,-1.9455281154224862,-1.2889499329896585,-1.0000000000000004,-0.8665466939210779,-0.5131615593562473,1.6100748803117082,1.6852549386739757,2.133342559927977,4.856399548544093
0,-2.49991064081748,-2.084898273061658,-1.8855646716759267,-1.3662138234188212,-0.999999999999998,-0.7949933836031332,-0.571087456172269,1.4689922322110056,1.9118981965202608,2.19804574847279,4.62373207154523
1,-2.4391375705079072,-2.2360679774997902,-1.860325117205239,-1.,-0.9999999999999998,-0.999999999999999,-0.5012731068445921,1.397993815424623,2.,2.2360679774997885,4.402741979133114
0,-2.6180339887498953,-2.,-2.,-1.3027756377319946,-0.6180339887498952,-0.6180339887498951,-0.38196601125010454,1.618033988749895,1.6180339887498958,2.302775637731995,4.
1,-2.604320720893152,-2.4087686729258073,-1.8019377358048394,-1.4492406192812461,-0.9999999999999998,-0.44504186791262823,-0.18474540047274798,1.0000000000000007,1.2469796037174676,2.5902419926425977,5.056833420930357
1,-2.6924283732193044,-2.0614988506846417,-1.797289912486387,-1.4414679371824224,-0.9999999999999998,-0.3963385310144533,-0.34861053589440405,0.6938224565045134,1.7640149251945825,2.6850426621997645,4.594754096582756
1,-2.5492458081655016,-2.1063697047870846,-1.8370250040755824,-1.5592959531732395,-1.5456196225947223,-0.34613640747542196,-0.1575967324700611,1.1650943780071554,1.6581680124232305,2.201463916804459,5.076562925506767
1,-2.450859703158755,-2.000000000000001,-1.8586013125649405,-1.6691360866529652,-1.5456140697848708,-0.4160114147878716,-0.12269317871069459,1.2717198494108,1.6877087863679978,2.2325707920673263,4.8709163378139735
1,-2.4547688281932825,-2.1109590982571915,-1.8989422560869906,-1.431897626428256,-1.2857320250664719,-0.4962733597291868,-0.10932777209093053,1.2058213173060277,1.7353019031050918,2.411993292455586,4.434784452985604
0,-2.279881707250757,-2.18527291817072,-1.7669854101616451,-1.6491796578003193,-1.5478287270677185,-0.39780741759901594,-0.1191891027018178,1.104884922939518,1.966562508094666,2.233690077669234,4.641007432048581
0,-2.460504870018765,-2.450244394554343,-1.7658373972351638,-1.1624632135624522,-1.0000000000000007,-0.4042113570094981,-0.23912327825655438,0.9999999999999992,1.699628148275319,2.5665990550257454,4.2161573073357115
1,-2.5249816239316907,-2.2798817072507576,-1.6491796578003195,-1.5478287270677187,-1.153398036843438,-0.39780741759901567,-0.2183769905353299,0.7235153355108719,2.1732413157995865,2.233690077669233,4.641007432048579
1,-2.450244394554343,-2.0696279303558995,-1.765837397235164,-1.1624632135624529,-0.9999999999999998,-0.5827719754125512,-0.4042113570094989,0.36198928490127247,2.290410620867179,2.566599055025744,4.2161573073357115
1,-2.708028074999704,-1.9541644657799444,-1.8571125428454334,-1.3932243562177449,-1.2048720270366036,-0.44375015159936104,-0.1986196565284175,0.7576679725390497,1.9537492132490835,2.3974652164971975,4.650888872721879
1,-2.7579856321508034,-2.061498850684642,-1.8485273499567463,-1.3475084379135276,-1.0000000000000002,-0.3963385310144525,-0.22383698091158316,0.6938224565045141,1.7640149251945814,2.50501170057991,4.672846700352753
1,-2.5520404781072625,-1.9999999999999964,-1.8264793893158777,-1.73205080756888,-1.414213562373095,-0.45691991826273143,-1.6653345369377348e-16,1.4142135623730956,1.7320508075688759,1.9043349294359933,4.9311048562498785
1,-2.2931486611993463,-2.175327747161075,-2.000000000000003,-1.6484338402179177,-1.1260325006104934,-0.48384419257119105,1.3954659758457304e-15,1.1260325006104943,1.9583258890153359,2.1753277471610746,4.467100804973121
1,-2.944933659800248,-2.1835118039204553,-1.8019377358048394,-1.1644897922316095,-1.0000000000000009,-0.4450418679126306,-0.23902064461432884,0.9999999999999994,1.2469796037174685,2.390969813450713,5.140986087115929
1,-2.638657625586233,-2.076070269373823,-1.918985947228995,-1.3097214678905702,-1.2018333452101664,-0.30439223961451944,-0.2846296765465701,0.8308300260037726,1.682507065662362,2.5810896485235713,4.639863831261172
0,-3.0825471967221563,-1.8019377358048394,-1.4707928703824706,-1.1565833397933163,-0.9999999999999991,-0.4450418679126272,-0.35007557849967397,0.9999999999999982,1.2469796037174654,2.8398399665907377,4.220159018806883
1,-2.7699735152991956,-2.,-1.8608058531117004,-1.6931577315768154,-0.9999999999999994,-0.42315779285789157,-0.25410168836505154,0.9999999999999988,1.7741758662507905,2.1149075414767555,5.112113173483106
1,-2.333959792634101,-2.176326709665295,-1.9999999999999991,-1.654069774484213,-0.9999999999999991,-0.5443819280769743,-0.2513995086563153,1.099930831305716,2.011204578633632,2.197405891478053,4.651596412099498
1,-2.302775637731995,-2.192915360345685,-1.8608058531117027,-1.7204827629998523,-1.0000000000000002,-0.5802136234964795,-0.2541016883650529,1.3027756377319946,2.0612855917878536,2.1149075414767555,4.432326155054167
0,-2.5078577063672127,-2.3826632605369102,-1.6410430818112522,-1.2965693294727065,-0.9999999999999989,-0.4326712024598554,-0.3264666169365491,1.0000000000000004,2.0250098852981373,2.3501729592847105,4.212088353001636
1,-2.400098429058138,-2.0000000000000004,-1.9999999999999996,-1.8608058531117004,-0.999999999999999,-0.34424660000575796,-0.25410168836505415,1.0000000000000004,2.0725712538200893,2.114907541476756,4.671773775243803
1,-3.015153077026235,-2.0537112337721735,-1.6180339887498945,-1.4328328095109608,-1.414213562373096,-1.4140585073656024e-16,0.18502156071543538,0.6180339887498942,1.4142135623730958,2.103183666813797,5.21349189278014
1,-2.69118711992749,-1.9999999999999991,-1.9189859472289945,-1.4629294677332916,-1.3097214678905704,-0.28462967654656973,0.16755557443321978,0.8308300260037733,1.682507065662362,2.2316829099779407,4.754878103249622
1,-3.3588989435406735,-1.8793852415718175,-1.8793852415718162,-1.0000000000000004,-1.,-1.5178830414797062e-16,0.34729635533386033,0.3472963553338605,1.5320888862379562,1.5320888862379567,5.3588989435406695
1,-2.6661848599685274,-2.068275070901359,-1.81461362234497,-1.710367258942915,-1.0736529751106396,-0.5145029761092258,-0.2691955944589659,1.134399440586091,1.5808849385114045,2.335399087897064,5.06610889084204
1,-2.36286980123385,-2.1497211021567617,-1.8375098381495623,-1.710991444144182,-1.0000000000000002,-0.7132616735243152,-0.334234960197037,1.3268976070056804,1.8813902266082545,2.2746095869556737,4.6256913988361
1,-2.321501339470057,-2.2637930153886328,-1.9350356783987124,-1.540560732774194,-1.0935705791105357,-0.49834239440971634,-0.34997499277245747,1.1470925175635067,1.893260097955797,2.327195238176039,4.635230878628961
1,-2.4814763810178184,-2.1459045442846425,-1.9216294246206824,-1.5969535692725232,-1.0000000000000009,-0.36244378457668897,-0.3269085971936443,0.866925770869099,1.905609452643769,2.4286966489334176,4.634084428519714
1,-2.5251047779258022,-2.0680395647988723,-1.7968625424336198,-1.6489326814238845,-1.0932844866328086,-0.4985360951123526,-0.3160457113597779,0.9571138497895564,2.0428778375531187,2.325117100372518,4.621697071971923
0,-2.28610011747738,-2.264177217753059,-1.8841393575152774,-1.6925509345712269,-1.1025910389469638,-0.6439523529785729,-0.32084284346505215,1.2332468595537154,1.788760721150475,2.3497715266520056,4.822574755351338
1,-2.5526788809079983,-2.2400793549521403,-1.7171504093225478,-1.437715613825545,-1.0000000000000007,-0.4417660753113643,-0.30574955923276675,0.8125245951590793,2.081102287255209,2.3907736657037857,4.410739345434288
1,-2.578255646544808,-1.9999999999999982,-1.730448891368141,-1.532088886237955,-0.769952145050306,-0.4649930716604199,-0.3472963553338596,0.974839055185556,1.879385241571816,2.568810699438119,3.9999999999999973
0,-2.4811943040920155,-2.142883258880052,-1.9999999999999993,-1.5668197614848307,-0.6972528668922736,-0.6888921825340185,-3.266455467617325e-16,1.1700864866260345,1.28903193891658,2.7007832029589656,4.417140745381608
1,-2.552664115400057,-2.1178875992023016,-1.8019377358048396,-1.7137794545346203,-0.7073300728503383,-0.44504186791262906,-0.3568460347059105,1.246979603717468,1.4010042438890642,2.6189585296426556,4.428544503161506
0,-2.4724484848089756,-2.2469796037174667,-1.9148425415206902,-1.6270251473503103,-0.570851160285167,-0.55495813208737,-0.3393499110124661,0.8019377358048371,1.613080340876362,2.7066259106495285,4.60481099345172
0,-2.4862719019718353,-2.0000000000000013,-1.9999999999999998,-1.5615528128088292,-1.0000000000000002,-0.8221870677862483,-1.1634106296076965e-15,1.0000000000000007,1.697498011945581,2.5615528128088294,4.610960957812505
1,-2.851035499841455,-2.0706302113522157,-1.8019377358048376,-1.298464279748553,-1.0000000000000002,-0.661515119518899,-0.4450418679126274,1.246979603717466,1.4648914537388422,2.3280777676761955,5.088675889046084
0,-2.7160241762129997,-2.0000000000000004,-1.7746517659897003,-1.0000000000000004,-0.9999999999999999,-0.9999999999999996,-0.40361881822153045,1.2108708888742648,1.761496853389548,2.5161621180779568,4.405764900082461
0,-2.8869064769958044,-1.8019377358048407,-1.7654264844611567,-1.1357465524039154,-1.0000000000000002,-0.5726416082247424,-0.44504186791262834,1.2469796037174674,1.5341190749296034,2.614416617955077,4.21218542920094
1,-2.500768636599144,-2.1440731102563864,-1.9999999999999998,-1.1797935015135783,-1.000000000000001,-0.826704042893651,-0.3450836800777129,1.028541676148064,1.91018896092078,2.4466166839725023,4.61107565029913
1,-2.5378682455756314,-2.1960189878301817,-1.8019377358048396,-1.261594576288711,-0.9999999999999996,-0.8457352306744198,-0.44504186791263006,1.2469796037174683,1.8176615331014696,2.4025489703990215,4.621006536868455
1,-2.6051747555989677,-2.1518289057900053,-1.800574365997637,-1.3018246371740754,-0.9999999999999996,-0.6765708184654253,-0.23791229491486296,1.0057555118664134,1.9948899132060625,2.337332624625744,4.4359077282427535
0,-2.7699493049241917,-2.110211374187035,-1.5752348773035678,-1.158042424907182,-1.0000000000000002,-0.6877525135221991,-0.34726086939398854,1.2224483402724904,1.6992301737526978,2.511368708340288,4.215404141872691
1,-2.49899951931718,-2.1546920834086145,-2.,-1.3430236324072948,-0.9999999999999991,-0.6646709436771723,-0.29473068652532164,1.1452200604168443,1.7950686350836038,2.3600433465006287,4.655784823334507
1,-2.4391375705079064,-2.270922454034393,-1.8603251172052386,-1.4651631709774695,-1.0000000000000002,-0.5012731068445913,-0.1801522788777146,1.2526781016043425,1.397993815424622,2.6635598022852367,4.402741979133114
0,-2.618033988749894,-2.0000000000000004,-1.6180339887498945,-1.4728339089952553,-0.618033988749895,-0.46259842297477477,-0.3819660112501067,0.6180339887498942,1.6180339887498956,2.935432331970031,4.000000000000002
1,-2.7839591945112017,-2.3027756377319952,-1.2774365643137215,-1.000000000000002,-0.9999999999999999,-0.9999999999999993,-0.9999999999999979,1.302775637731994,1.9999999999999996,2.0000000000000013,5.061395758824923
1,-2.698516137627805,-2.2867757518910268,-1.0000000000000009,-1.0000000000000004,-1.0000000000000002,-0.9999999999999998,-0.9999999999999997,1.2120451407868433,1.9999999999999996,2.3665306990133343,4.406716049718654
1,-2.4000984290581378,-2.302775637731994,-2.,-1.0000000000000004,-0.9999999999999999,-0.9999999999999999,-0.3442466000057597,1.302775637731993,2.,2.072571253820092,4.671773775243808
1,-2.5078577063672127,-2.5070186440929754,-1.2965693294727065,-1.0000000000000007,-0.9999999999999997,-0.9999999999999993,-0.43267120245985635,1.2218761622631913,2.0250098852981377,2.285142481829786,4.212088353001636
