loop,colset,timestamp,best_params_json,bayes_history_csv,thresholds_csv,shap_full_csv,shap_summary_png,shap_sample_csv,roc_curve_png,pr_curve_png,deciles_csv,decile_precision_png,decile_recall_cumulative_png,auc,average_precision,uniqueness_ratio,n_rows,n_unique_rows,duplicate_rows,duplicate_groups_csv,optimizer_artifacts_dir
6,all_columns,,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_best_params.json,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_bayes_history.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_thresholds.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_shap_full.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_shap_summary.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_shap_sample.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_roc_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_pr_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_deciles_metrics.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_decile_precision.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/all_columns_/loop6_all_columns_decile_recall_cumulative.png,0.6904761904761905,0.8791033309335123,1.0,31,31,0,,/home/ec2-user/ML-correlator/bayes_results/loop6_20251102-083039
6,motifs_eig,,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_best_params.json,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_bayes_history.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_thresholds.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_shap_full.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_shap_summary.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_shap_sample.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_roc_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_pr_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_deciles_metrics.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_decile_precision.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_/loop6_motifs_eig_decile_recall_cumulative.png,0.6607142857142858,0.8580101092406969,1.0,31,31,0,,/home/ec2-user/ML-correlator/bayes_results/loop6_20251102-083052
6,motifs,,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_best_params.json,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_bayes_history.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_thresholds.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_shap_full.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_shap_summary.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_shap_sample.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_roc_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_pr_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_deciles_metrics.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_decile_precision.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_/loop6_motifs_decile_recall_cumulative.png,0.5744047619047619,0.8038138386075292,1.0,31,31,0,,/home/ec2-user/ML-correlator/bayes_results/loop6_20251102-083103
6,spectral,,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_best_params.json,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_bayes_history.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_thresholds.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_shap_full.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_shap_summary.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_shap_sample.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_roc_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_pr_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_deciles_metrics.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_decile_precision.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/spectral_/loop6_spectral_decile_recall_cumulative.png,0.7291666666666667,0.8966124134128961,1.0,31,31,0,,/home/ec2-user/ML-correlator/bayes_results/loop6_20251102-083114
6,eig,,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_best_params.json,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_bayes_history.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_thresholds.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_shap_full.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_shap_summary.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_shap_sample.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_roc_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_pr_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_deciles_metrics.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_decile_precision.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/eig_/loop6_eig_decile_recall_cumulative.png,0.75,0.8984803051679007,1.0,31,31,0,,/home/ec2-user/ML-correlator/bayes_results/loop6_20251102-083126
6,motifs_eig_centrality,,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_best_params.json,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_bayes_history.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_thresholds.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_shap_full.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_shap_summary.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_shap_sample.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_roc_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_pr_curve.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_deciles_metrics.csv,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_decile_precision.png,/home/ec2-user/ML-correlator/Tree_classifier_for_graphs/new_stuff/results/bayes_shap_result/loop6/motifs_eig_centrality_/loop6_motifs_eig_centrality_decile_recall_cumulative.png,0.47023809523809523,0.7946072173069398,1.0,31,31,0,,/home/ec2-user/ML-correlator/bayes_results/loop6_20251102-083137
